title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Added capitalize first letter of every word,2017-12-11T19:26:34Z,2017-12-12T13:37:53Z,2017-12-12T13:37:53Z,2,CHANGES_REQUESTED,18.18861111111111,1,0,Merged
simple ES6 unique array  values,2017-12-11T20:20:36Z,,2017-12-12T00:29:50Z,1,CHANGES_REQUESTED,4.153888888888889,1,0,Closed
Update unique-values-of-array.md,2017-12-12T00:47:57Z,2017-12-12T08:56:25Z,2017-12-12T08:56:25Z,1,APPROVED,8.141111111111112,1,0,Merged
Replace the usage of ìndexOf` for `includes`,2017-12-12T01:34:13Z,2017-12-12T09:08:33Z,2017-12-12T09:08:33Z,1,APPROVED,7.572222222222222,1,0,Merged
Update RGB to hexadecimal to new bitwise version,2017-12-12T01:55:09Z,2017-12-12T18:52:34Z,2017-12-12T18:52:34Z,2,APPROVED,16.956944444444446,1,96,Merged
Capitalize first letter: safe against empty string,2017-12-12T02:29:46Z,2017-12-12T09:16:01Z,2017-12-12T09:16:01Z,1,APPROVED,6.770833333333333,1,48,Merged
Fixes a typo,2017-12-12T06:44:04Z,2017-12-12T09:13:49Z,2017-12-12T09:13:49Z,1,APPROVED,2.495833333333333,1,0,Merged
Add reverseString,2017-12-12T06:59:48Z,2017-12-12T09:25:35Z,2017-12-12T09:25:35Z,1,APPROVED,2.4297222222222223,1,0,Merged
Directly return object from arrow function,2017-12-12T07:11:37Z,2017-12-12T14:07:36Z,2017-12-12T14:07:36Z,6,CHANGES_REQUESTED,6.933055555555556,2,82,Merged
Create Check_for_palindrome.md,2017-12-12T10:39:03Z,2017-12-12T14:23:01Z,2017-12-12T14:23:01Z,3,CHANGES_REQUESTED,3.7327777777777778,1,0,Merged
Anagrams recursion refactor (code legibility),2017-12-12T12:40:16Z,,2017-12-12T16:23:00Z,1,CHANGES_REQUESTED,3.712222222222222,1,110,Closed
Added async function chain,2017-12-12T16:30:27Z,2017-12-13T10:12:43Z,2017-12-13T10:12:43Z,4,APPROVED,17.704444444444444,1,208,Merged
Add chunk array,2017-12-12T16:37:36Z,2017-12-13T10:04:56Z,2017-12-13T10:04:56Z,2,CHANGES_REQUESTED,17.455555555555556,1,148,Merged
get minimum value from an array,2017-12-12T17:53:37Z,2017-12-12T18:56:31Z,2017-12-12T18:56:31Z,2,APPROVED,1.0483333333333333,1,72,Merged
Refactor measure-time-taken-by-function from spread syntax to callback function,2017-12-12T18:25:00Z,2017-12-13T11:54:38Z,2017-12-13T11:54:38Z,1,APPROVED,17.49388888888889,1,397,Merged
Added getType function,2017-12-12T19:35:31Z,2017-12-13T09:31:51Z,2017-12-13T09:31:51Z,1,APPROVED,13.938888888888888,1,70,Merged
Collatz algorithm,2017-12-12T19:37:56Z,,2017-12-14T12:52:35Z,1,CHANGES_REQUESTED,41.244166666666665,1,133,Closed
"Make ""Anagrams of string"" fully functional",2017-12-12T20:32:03Z,2017-12-13T10:37:50Z,2017-12-13T10:37:50Z,1,APPROVED,14.096388888888889,2,214,Merged
refactor curry to account for variadic functions,2017-12-12T22:26:27Z,2017-12-13T11:33:50Z,2017-12-13T11:33:50Z,2,APPROVED,13.123055555555556,1,264,Merged
Create median-of-array-of-numbers.md,2017-12-12T23:04:02Z,2017-12-13T09:46:56Z,2017-12-13T09:46:56Z,1,APPROVED,10.715,1,0,Merged
Add bottomVisible,2017-12-13T05:48:51Z,2017-12-13T12:14:47Z,2017-12-13T12:14:47Z,1,APPROVED,6.432222222222222,2,81,Merged
Add value or default,2017-12-13T07:37:25Z,2017-12-13T09:36:29Z,2017-12-13T09:36:29Z,1,APPROVED,1.9844444444444445,1,81,Merged
Fixed a typo in README.md,2017-12-13T08:14:38Z,2017-12-13T09:29:41Z,2017-12-13T09:29:41Z,1,APPROVED,1.2508333333333332,1,89,Merged
Add promisify snippet,2017-12-13T10:36:06Z,2017-12-13T12:18:15Z,2017-12-13T12:18:15Z,13,APPROVED,1.7025,2,52,Merged
Create standard-deviation.md,2017-12-13T12:01:44Z,2017-12-14T09:29:31Z,2017-12-14T09:29:31Z,1,APPROVED,21.463055555555556,1,171,Merged
Get Ordinal Suffix of Number,2017-12-13T14:04:35Z,2017-12-14T08:15:55Z,2017-12-14T08:15:55Z,2,APPROVED,18.18888888888889,1,247,Merged
Create join_array_like_objects.md,2017-12-13T16:13:10Z,2017-12-14T10:48:26Z,2017-12-14T10:48:26Z,1,CHANGES_REQUESTED,18.587777777777777,3,0,Merged
Simplify the Even or odd number snippet,2017-12-13T19:20:42Z,2017-12-14T08:23:14Z,2017-12-14T08:23:14Z,1,APPROVED,13.042222222222222,2,123,Merged
Use Array.from instead of slice to capitalize a string,2017-12-13T20:06:52Z,,2017-12-14T08:31:50Z,3,REVIEW_REQUIRED,12.41611111111111,1,46,Closed
add sleep function - making delays in async functions,2017-12-13T20:43:35Z,2017-12-14T08:34:47Z,2017-12-14T08:34:47Z,1,APPROVED,11.853333333333333,1,105,Merged
group by,2017-12-13T20:49:20Z,2017-12-14T08:45:47Z,2017-12-14T08:45:47Z,3,APPROVED,11.940833333333334,1,101,Merged
add pick code snippet,2017-12-13T21:53:36Z,2017-12-13T23:32:58Z,2017-12-13T23:32:58Z,1,APPROVED,1.656111111111111,2,69,Merged
Remove duplicate shuffle array snippets. Simplify implementation,2017-12-13T21:56:54Z,2017-12-14T09:13:52Z,2017-12-14T09:13:52Z,1,APPROVED,11.282777777777778,0,0,Merged
"Add ""Object to key-value pairs""",2017-12-13T22:07:32Z,2017-12-13T23:44:46Z,2017-12-13T23:44:46Z,1,APPROVED,1.6205555555555555,2,0,Merged
Add set operations,2017-12-13T22:42:38Z,2017-12-13T23:48:01Z,2017-12-13T23:48:01Z,1,APPROVED,1.0897222222222223,5,174,Merged
Fix names and links,2017-12-14T00:12:43Z,2017-12-14T08:32:41Z,2017-12-14T08:32:41Z,1,APPROVED,8.332777777777778,3,126,Merged
Update URL Paramters snipper,2017-12-14T05:21:34Z,2017-12-14T08:25:29Z,2017-12-14T08:25:29Z,1,APPROVED,3.0652777777777778,1,92,Merged
add compact.md & ran npm run build-list,2017-12-14T06:23:25Z,2017-12-14T08:06:23Z,2017-12-14T08:06:23Z,1,APPROVED,1.7161111111111111,2,275,Merged
Added American to English date,2017-12-14T11:51:35Z,,2017-12-17T10:45:31Z,3,REVIEW_REQUIRED,70.89888888888889,2,0,Closed
Adding get-days-difference-between-dates,2017-12-14T12:39:17Z,2017-12-14T18:25:17Z,2017-12-14T18:25:17Z,1,APPROVED,5.766666666666667,1,63,Merged
Create sqaure_it.md,2017-12-14T13:20:44Z,2017-12-18T10:12:14Z,2017-12-18T10:12:14Z,1,CHANGES_REQUESTED,92.85833333333333,1,108,Merged
add json to file function,2017-12-14T14:32:25Z,2017-12-15T11:16:09Z,2017-12-15T11:16:09Z,3,APPROVED,20.72888888888889,1,61,Merged
minor refactor to curry,2017-12-14T15:11:52Z,2017-12-14T18:12:47Z,2017-12-14T18:12:47Z,1,APPROVED,3.015277777777778,1,0,Merged
"adding function to clean json objects, deeply.",2017-12-14T15:12:46Z,2017-12-16T12:23:49Z,2017-12-16T12:23:49Z,2,CHANGES_REQUESTED,45.18416666666667,1,61,Merged
Create Speech_synthesis.md,2017-12-14T16:57:37Z,2017-12-14T18:48:05Z,2017-12-14T18:48:05Z,2,APPROVED,1.8411111111111111,1,79,Merged
Added snippet to convert number to array of digits,2017-12-14T18:54:49Z,2017-12-14T20:54:56Z,2017-12-14T20:54:56Z,3,APPROVED,2.0019444444444443,1,40,Merged
method name,2017-12-14T19:40:39Z,2017-12-16T12:37:53Z,2017-12-16T12:37:53Z,4,CHANGES_REQUESTED,40.95388888888889,1,34,Merged
Create compose-functions.md,2017-12-14T22:04:44Z,2017-12-16T11:42:16Z,2017-12-16T11:42:16Z,4,APPROVED,37.62555555555556,1,0,Merged
Rewrote pipe such that the first function may have any arity.,2017-12-14T22:47:05Z,2017-12-15T10:43:06Z,2017-12-15T10:43:07Z,1,APPROVED,11.93361111111111,1,251,Merged
Array zip,2017-12-14T23:00:34Z,2017-12-15T10:42:50Z,2017-12-15T10:42:50Z,1,APPROVED,11.704444444444444,1,115,Merged
Create hexadecimal-to-RGB.md,2017-12-15T00:02:59Z,2017-12-15T12:36:49Z,2017-12-15T12:36:49Z,3,APPROVED,12.563888888888888,1,164,Merged
Add takeRight,2017-12-15T00:09:02Z,2017-12-15T10:42:38Z,2017-12-15T10:42:38Z,5,APPROVED,10.56,2,379,Merged
add lodash remove and fix in array concat,2017-12-15T06:19:52Z,2017-12-15T11:52:39Z,2017-12-15T11:52:39Z,1,APPROVED,5.546388888888889,2,52,Merged
deep flatten array without reduce,2017-12-15T06:53:17Z,2017-12-15T10:42:23Z,2017-12-15T10:42:23Z,1,APPROVED,3.8183333333333334,1,72,Merged
Add without,2017-12-15T07:41:14Z,2017-12-15T10:42:13Z,2017-12-15T10:42:13Z,1,APPROVED,3.016388888888889,2,367,Merged
Added snippet to sample an array,2017-12-15T08:16:21Z,2017-12-15T10:42:02Z,2017-12-15T10:42:02Z,1,APPROVED,2.4280555555555554,1,0,Merged
Update README.md,2017-12-15T08:39:34Z,,2017-12-15T10:41:48Z,1,CHANGES_REQUESTED,2.0372222222222223,1,28,Closed
Update chunk-array.md,2017-12-15T08:48:43Z,2017-12-15T10:41:20Z,2017-12-15T10:41:20Z,1,APPROVED,1.8769444444444445,1,34,Merged
added symmetric difference note to Array difference,2017-12-15T08:55:42Z,2017-12-16T16:36:11Z,2017-12-16T16:36:11Z,1,CHANGES_REQUESTED,31.674722222222222,1,155,Merged
Create 3DigHexcode-to-6DigHexcode.md,2017-12-15T13:37:14Z,2017-12-16T11:40:59Z,2017-12-16T11:40:59Z,1,APPROVED,22.0625,1,146,Merged
add a check,2017-12-15T14:32:38Z,,2017-12-16T11:24:28Z,1,REVIEW_REQUIRED,20.863888888888887,1,0,Closed
Added compose such that the rightmost function may have any arity.,2017-12-15T15:41:53Z,2017-12-16T11:51:31Z,2017-12-16T11:51:31Z,1,REVIEW_REQUIRED,20.160555555555554,3,327,Merged
Update initialize-array-with-range.md,2017-12-15T16:48:32Z,2017-12-16T11:13:03Z,2017-12-16T11:13:03Z,2,APPROVED,18.40861111111111,1,0,Merged
adding read file to array function,2017-12-15T17:12:50Z,2017-12-16T11:34:31Z,2017-12-16T11:34:31Z,1,APPROVED,18.36138888888889,2,59,Merged
take every nth element of an array,2017-12-15T17:58:12Z,2017-12-16T11:35:32Z,2017-12-16T11:35:32Z,1,APPROVED,17.622222222222224,2,116,Merged
Fix array.concat snippet,2017-12-15T18:46:57Z,2017-12-16T11:06:32Z,2017-12-16T11:06:32Z,1,APPROVED,16.32638888888889,1,20,Merged
Update array-concatenation.md,2017-12-16T07:02:19Z,2017-12-16T11:28:01Z,2017-12-16T11:28:01Z,2,APPROVED,4.428333333333334,1,0,Merged
updating array-without.md for more terse implementation and resolving…,2017-12-16T10:01:26Z,2017-12-16T11:37:21Z,2017-12-16T11:37:21Z,1,APPROVED,1.5986111111111112,1,137,Merged
updating array conactenation example to use ES6,2017-12-16T10:12:13Z,2017-12-16T11:38:29Z,2017-12-16T11:38:29Z,1,APPROVED,1.4377777777777778,1,0,Merged
Create First-one-to-pass-truth-test.md,2017-12-16T12:34:53Z,2017-12-18T11:05:33Z,2017-12-18T11:05:33Z,2,CHANGES_REQUESTED,46.51111111111111,2,97,Merged
add camelize and decamelize function,2017-12-16T13:50:53Z,2017-12-16T15:16:17Z,2017-12-16T15:16:17Z,1,APPROVED,1.4233333333333333,3,57,Merged
improve array.remove performance and description,2017-12-16T19:25:27Z,,2017-12-19T15:07:46Z,5,CHANGES_REQUESTED,67.70527777777778,1,157,Closed
Create least-common-multiple-(LCM).md,2017-12-16T19:58:32Z,2017-12-17T09:27:02Z,2017-12-17T09:27:02Z,2,APPROVED,13.475,1,131,Merged
