title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Added link to Polish translation,2018-11-14T09:30:55Z,2018-11-14T11:35:16Z,2018-11-14T11:35:16Z,2,,2.0725,1,0,Merged
Top 3 category for JavaScript Engines section,2020-04-10T15:12:35Z,,2020-11-10T11:23:46Z,1,,5132.186388888889,1,271,Closed
Added Video Links for Promises and Currying,2021-10-17T16:36:19Z,2021-10-18T11:30:11Z,2021-10-18T11:30:11Z,1,APPROVED,18.897777777777776,1,186,Merged
404 Status Error,2022-07-30T07:17:02Z,2023-10-06T16:57:10Z,2023-10-06T16:57:10Z,1,,10401.66888888889,1,221,Merged
Add Swedish Translation,2022-10-14T06:20:34Z,2023-10-02T12:15:36Z,2023-10-02T12:15:36Z,1,,8477.917222222222,1,0,Merged
added code of conduct file,2022-10-15T07:16:54Z,,2022-11-09T17:07:24Z,1,,609.8416666666667,1,39,Closed
Add Bengali Translation of this Repo - resolve #289,2022-10-15T14:05:31Z,,2022-10-20T12:27:52Z,1,,118.3725,1,100,Closed
docs(index.js): modified the copy of the index.js,2022-10-16T18:15:16Z,,2022-11-03T10:46:33Z,4,,424.5213888888889,1,0,Closed
I made a Dutch Version,2022-10-18T09:51:45Z,,2022-12-05T16:43:07Z,1,,1158.8561111111112,1,0,Closed
Update CONTRIBUTING.md,2023-05-24T09:32:37Z,2023-06-20T11:25:34Z,2023-06-20T11:25:34Z,1,,649.8825,1,91,Merged
Create asfd,2023-06-12T15:01:37Z,,2023-06-20T11:25:10Z,1,,188.3925,1,0,Closed
Fixed a Broken Link,2023-07-20T15:47:01Z,2023-08-02T16:31:15Z,2023-08-02T16:31:15Z,1,CHANGES_REQUESTED,312.7372222222222,1,443,Merged
Basics of JavaScripts.,2023-10-01T13:49:23Z,,2023-10-25T10:55:35Z,1,,573.1033333333334,1,109,Closed
