title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours
"Add the legal provisions, 😀",2019-03-27T06:21:02Z,2019-03-27T08:04:40Z,2019-03-27T08:04:40Z,1,,1.7272222222222222
en_US,2019-03-27T07:07:12Z,,2019-03-28T02:53:55Z,2,CHANGES_REQUESTED,19.77861111111111
添加了国际五一劳动节的历史渊源，以及国际歌歌词,2019-03-27T07:35:37Z,,2019-03-27T15:47:19Z,1,,8.195
Create 加班公司名单,2019-03-27T09:08:15Z,,2019-03-28T02:53:22Z,1,,17.751944444444444
blacklist and template,2019-03-27T09:34:09Z,,2019-03-28T02:35:14Z,2,,17.018055555555556
当前已知的公司名单,2019-03-27T10:12:11Z,,2019-03-28T02:35:36Z,2,,16.39027777777778
fix grammar error,2019-03-27T10:18:17Z,2019-03-27T12:30:13Z,2019-03-27T12:30:13Z,1,,2.198888888888889
fix grammer issue in English version,2019-03-27T10:43:35Z,,2019-03-27T14:23:02Z,1,CHANGES_REQUESTED,3.6575
translate “工作 996，生病 ICU” to english version.,2019-03-27T11:06:59Z,2019-03-28T02:43:08Z,2019-03-28T02:43:08Z,7,APPROVED,15.6025
曝光996公司及部门，欢迎曝光和投票,2019-03-27T15:14:41Z,2019-03-28T08:05:51Z,2019-03-28T08:05:51Z,1,,16.852777777777778
fix english translation,2019-03-27T18:29:15Z,2019-03-28T00:45:44Z,2019-03-28T00:45:44Z,2,,6.2747222222222225
fix en_US.md,2019-03-28T03:25:12Z,,2019-03-28T07:39:46Z,1,,4.2427777777777775
增加中国大陆规管工时现况,2019-03-28T04:31:53Z,2019-03-28T07:13:25Z,2019-03-28T07:13:25Z,1,,2.692222222222222
"fix ""Chinese New Year Party"" to ""annual party""",2019-03-28T05:46:00Z,2019-03-28T07:09:04Z,2019-03-28T07:09:04Z,1,,1.3844444444444444
Update README.md,2019-03-28T08:14:56Z,,2019-03-28T11:04:09Z,1,,2.8202777777777777
去除重复案例,2019-03-28T08:24:45Z,2019-03-28T11:07:15Z,2019-03-28T11:07:15Z,1,,2.7083333333333335
