title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
[WIP] Fix Transcription Errors,2016-07-25T00:12:35Z,,2016-12-15T12:20:59Z,4,,3444.14,5,1340,Closed
Docker build of Apollo-11 sources,2016-08-19T09:45:57Z,,2016-08-19T15:15:02Z,1,,5.4847222222222225,6,612,Closed
Improving Phrasing of Simplified Chinese README,2016-09-22T08:24:41Z,2016-09-22T14:45:30Z,2016-09-22T14:45:30Z,1,APPROVED,6.3469444444444445,1,138,Merged
Fixed typo,2016-09-22T17:54:25Z,2016-09-23T01:02:32Z,2016-09-23T01:02:32Z,3,APPROVED,7.135277777777778,2,113,Merged
Typo Fix,2016-09-23T17:57:02Z,2016-09-24T03:38:56Z,2016-09-24T03:38:56Z,2,APPROVED,9.698333333333334,1,168,Merged
Spelling fixes,2016-11-22T18:01:04Z,2016-11-23T17:03:04Z,2016-11-23T17:03:04Z,4,APPROVED,23.033333333333335,1,0,Merged
Update RCS-CSM_DAP_EXECUTIVE_PROGRAMS.agc,2017-02-13T12:27:43Z,,2017-02-14T08:19:52Z,1,CHANGES_REQUESTED,19.86916666666667,2,497,Closed
Add CONTRIBUTING + EditorConfig,2017-02-14T00:19:17Z,2017-03-06T01:13:25Z,2017-03-06T01:13:25Z,1,APPROVED,480.90222222222224,5,399,Merged
Proof RCS-CSM_DAP_EXECUTIVE_PROGRAMS,2017-02-14T08:40:37Z,2017-02-14T10:21:56Z,2017-02-14T10:21:56Z,2,APPROVED,1.688611111111111,1,179,Merged
Proof MYSUBS,2017-02-14T08:46:55Z,2017-02-14T10:14:39Z,2017-02-14T10:14:39Z,2,APPROVED,1.4622222222222223,1,260,Merged
Proof LUNAR_LANDMARK_SELECTION_FOR_CM,2017-02-14T10:41:40Z,2017-02-16T20:35:41Z,2017-02-16T20:35:41Z,1,APPROVED,57.90027777777778,1,98,Merged
Proof CONTRACT_AND_APPROVALS,2017-02-14T11:12:17Z,2017-02-22T04:33:45Z,2017-02-22T04:33:45Z,1,APPROVED,185.35777777777778,1,97,Merged
