title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Adds wiki.c2.com to general coding advice section,2017-06-06T12:52:24Z,2017-06-06T20:18:37Z,2017-06-06T20:18:37Z,1,,7.436944444444444,1,92,Merged
"Few links fixed and changes all ""-"" to "":"";",2017-06-06T13:08:14Z,2017-06-10T14:03:54Z,2017-06-10T14:03:54Z,5,CHANGES_REQUESTED,96.92777777777778,1,27,Merged
Add riddles.io to competitive programming,2017-06-06T13:29:37Z,2017-06-09T04:17:14Z,2017-06-09T04:17:14Z,1,CHANGES_REQUESTED,62.79361111111111,1,104,Merged
Adds Angular 1 Style Guide,2017-06-06T14:46:49Z,2017-06-14T10:29:21Z,2017-06-14T10:29:21Z,3,APPROVED,187.70888888888888,1,250,Merged
Proposed fix to #11,2017-06-06T15:32:46Z,2017-06-06T20:34:31Z,2017-06-06T20:34:31Z,1,,5.029166666666667,1,83,Merged
adding teamtreehouse,2017-06-06T15:53:47Z,2017-09-17T14:25:53Z,2017-09-17T14:25:53Z,2,APPROVED,2470.535,1,0,Merged
Add funfunfunction to youtube channels,2017-06-06T17:06:03Z,,2018-06-25T16:04:56Z,2,CHANGES_REQUESTED,9214.98138888889,1,26,Closed
Adding Kadenze link to the MOOC section of the readme,2017-06-06T17:18:15Z,2017-06-08T05:00:29Z,2017-06-08T05:00:29Z,2,APPROVED,35.70388888888889,1,154,Merged
Add Cloud 9 and Github Gist,2017-06-06T18:52:41Z,2017-06-08T08:24:56Z,2017-06-08T08:24:56Z,2,APPROVED,37.5375,1,76,Merged
Update README.md,2017-06-06T20:27:40Z,,2017-06-26T23:50:41Z,1,CHANGES_REQUESTED,483.3836111111111,1,0,Closed
"[Conflicts resolved] Removed dupes, fixed a few formatting inconsistencies",2017-06-06T23:48:20Z,,2019-11-13T09:30:52Z,1,,21345.70888888889,1,0,Closed
Update blog of Umer Mansoor,2017-06-07T02:21:56Z,2017-06-13T13:00:33Z,2017-06-13T13:00:33Z,3,APPROVED,154.6436111111111,1,0,Merged
Added coding ground,2017-06-07T11:25:47Z,,2018-06-27T15:09:54Z,1,CHANGES_REQUESTED,9243.735277777778,1,0,Closed
Added regex101.com to README,2017-06-07T14:49:03Z,,2017-06-20T11:21:27Z,1,CHANGES_REQUESTED,308.54,1,160,Closed
Added Data Science section. Fixed typos,2017-06-07T16:35:02Z,,2017-06-11T17:34:12Z,3,,96.98611111111111,1,15,Closed
Update README.md,2017-06-08T02:50:11Z,2017-06-13T13:11:31Z,2017-06-13T13:11:31Z,1,CHANGES_REQUESTED,130.35555555555555,1,71,Merged
Added condingame to the list,2017-06-08T06:00:30Z,,2017-09-24T19:46:27Z,2,CHANGES_REQUESTED,2605.7658333333334,1,157,Closed
added Netflix UI Engineering YouTube channel,2017-06-08T08:45:55Z,2017-06-13T12:59:28Z,2017-06-13T12:59:28Z,3,APPROVED,124.22583333333333,1,47,Merged
blog.might.net added twice in Blogs of Developers,2017-06-08T11:51:47Z,2017-06-13T13:05:39Z,2017-06-13T13:05:39Z,1,CHANGES_REQUESTED,121.2311111111111,1,49,Merged
Gynvael EN YT streams,2017-06-09T07:33:38Z,2017-07-02T17:03:01Z,2017-07-02T17:03:01Z,2,APPROVED,561.4897222222222,1,54,Merged
Add #100DaysOfCode Challenge,2017-06-09T10:20:06Z,,2020-04-24T12:51:52Z,1,CHANGES_REQUESTED,25202.529444444444,1,0,Closed
Added the Awesome Compilers vertical.,2017-06-09T10:20:24Z,2017-06-23T20:26:33Z,2017-06-23T20:26:33Z,2,APPROVED,346.1025,1,268,Merged
Add Learn AI rescource,2017-06-10T03:02:14Z,,2018-08-20T16:50:14Z,2,CHANGES_REQUESTED,10477.8,1,54,Closed
README.md: General Coding advice and Preferred Programming Language,2017-06-10T06:34:27Z,2017-06-11T15:50:38Z,2017-06-11T15:50:38Z,3,APPROVED,33.26972222222222,1,209,Merged
Add new blogs,2017-06-10T17:14:28Z,2017-06-14T10:27:40Z,2017-06-14T10:27:40Z,2,APPROVED,89.22,1,0,Merged
Added podcast,2017-06-11T03:19:08Z,2017-06-12T05:43:44Z,2017-06-12T05:43:44Z,1,CHANGES_REQUESTED,26.41,1,47,Merged
Added a blog link for machine learning,2017-06-11T07:40:04Z,2017-06-11T15:53:41Z,2017-06-11T15:53:41Z,2,,8.226944444444445,1,0,Merged
Update documentary links,2017-06-11T10:18:29Z,2017-06-13T13:01:35Z,2017-06-13T13:01:35Z,1,,50.718333333333334,1,193,Merged
"Fix freeCodeCamp spelling, add Class-Central to MOOC section",2017-06-11T19:51:43Z,2017-06-12T07:06:54Z,2017-06-12T07:06:54Z,1,CHANGES_REQUESTED,11.253055555555555,1,0,Merged
Fix WildML link,2017-06-11T20:58:10Z,2017-06-15T16:41:09Z,2017-06-15T16:41:09Z,1,CHANGES_REQUESTED,91.71638888888889,1,0,Merged
Add codelytv,2017-06-12T12:39:25Z,2017-06-15T16:48:43Z,2017-06-15T16:48:43Z,1,CHANGES_REQUESTED,76.155,1,0,Merged
Added podcast,2017-06-13T02:51:47Z,2017-06-15T16:40:37Z,2017-06-15T16:40:37Z,2,APPROVED,61.81388888888889,1,43,Merged
Add Software Engineering Daily podcast,2017-06-13T13:56:01Z,2017-06-14T10:31:25Z,2017-06-14T10:31:25Z,2,APPROVED,20.59,1,87,Merged
Adding Airbnb's ruby style guide to Coding Style,2017-06-14T21:58:27Z,2017-06-19T05:49:32Z,2017-06-19T05:49:32Z,2,APPROVED,103.85138888888889,1,0,Merged
Adhering to the Contributor Covenant Code of Conduct,2017-06-15T11:04:34Z,2017-06-16T19:52:01Z,2017-06-16T19:52:01Z,4,CHANGES_REQUESTED,32.79083333333333,3,1429,Merged
Added few more links,2017-06-15T12:10:12Z,,2020-06-18T17:56:27Z,1,CHANGES_REQUESTED,26381.770833333332,1,140,Closed
Added devRant,2017-06-15T12:57:34Z,2017-06-19T05:48:39Z,2017-06-19T05:48:39Z,2,APPROVED,88.85138888888889,1,87,Merged
Recover Revolution OS Linux Documentary,2017-06-15T18:48:35Z,2018-07-06T04:21:11Z,2018-07-06T04:21:11Z,2,CHANGES_REQUESTED,9249.543333333333,1,79,Merged
Adding Pramp,2017-06-15T23:39:32Z,2017-06-20T19:54:39Z,2017-06-20T19:54:39Z,1,CHANGES_REQUESTED,116.25194444444445,1,0,Merged
add syncfusion,2017-06-16T13:54:10Z,,2021-06-25T13:31:30Z,1,CHANGES_REQUESTED,35279.62222222222,1,14,Closed
Added podcast,2017-06-16T14:01:53Z,2017-06-19T05:50:22Z,2017-06-19T05:50:22Z,2,APPROVED,63.808055555555555,1,30,Merged
Update README (add Peter Norvig's site),2017-06-17T05:51:40Z,,2022-04-23T13:11:49Z,2,CHANGES_REQUESTED,42511.33583333333,1,215,Closed
Added Jupiter Brodacsting podcasts.,2017-06-18T21:00:10Z,,2017-06-20T05:18:12Z,1,,32.300555555555555,1,0,Closed
Update README.md,2017-06-19T17:35:42Z,,2017-08-30T14:28:01Z,3,CHANGES_REQUESTED,1724.8719444444444,1,61,Closed
add devopslinks,2017-06-22T18:49:41Z,2017-06-29T14:44:27Z,2017-06-29T14:44:27Z,1,CHANGES_REQUESTED,163.9127777777778,1,155,Merged
"Add ""Front End Happy Hour"" podcast",2017-06-22T19:05:44Z,2017-06-24T21:17:11Z,2017-06-24T21:17:11Z,1,CHANGES_REQUESTED,50.19083333333333,1,0,Merged
"Added absolutely AMAZING course on AI into ""Leanr AI"" section",2017-06-28T14:38:54Z,2017-06-29T14:44:03Z,2017-06-29T14:44:03Z,4,CHANGES_REQUESTED,24.085833333333333,1,0,Merged
