title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Skip Infinity datapoints in getRightValue,2016-08-10T22:17:33Z,,2016-09-24T16:20:59Z,4,APPROVED,1074.0572222222222,4,134,Closed
Custom tooltip: add data points infos,2016-08-24T04:19:42Z,2016-10-19T13:48:18Z,2016-10-19T13:48:18Z,10,APPROVED,1353.4766666666667,5,865,Merged
feat(core.tooltip): add border and shadow options,2016-08-26T20:24:05Z,,2016-11-19T15:01:41Z,1,REVIEW_REQUIRED,2034.6266666666668,4,604,Closed
Better number -> string callback for the radial linear scale,2016-09-09T00:15:28Z,2016-09-24T20:56:16Z,2016-09-24T20:56:16Z,8,REVIEW_REQUIRED,380.68,7,283,Merged
Fix for outer tick (gridLIne) not shown in radar chart when scale is reverse #3251,2016-09-09T10:36:08Z,,2017-02-11T14:09:37Z,1,REVIEW_REQUIRED,3723.5580555555557,1,395,Closed
Tests cleanup,2016-09-11T16:44:00Z,2016-09-15T22:12:34Z,2016-09-15T22:12:34Z,1,REVIEW_REQUIRED,101.47611111111111,14,437,Merged
This is a more declarative way to check if the context is a jQuery el…,2016-09-14T05:19:23Z,,2016-10-16T13:25:59Z,1,CHANGES_REQUESTED,776.11,1,405,Closed
ESLint Updates,2016-09-15T00:32:10Z,2016-09-15T16:01:19Z,2016-09-15T16:01:19Z,15,REVIEW_REQUIRED,15.485833333333334,38,714,Merged
"feat(completedDraw): adds ""completedDraw"" plugin events. Fixes #3289",2016-09-15T21:10:59Z,,2016-09-17T10:36:03Z,2,CHANGES_REQUESTED,37.41777777777778,2,399,Closed
Fix error where pie/doughnut charts did not render correctly with multiple datasets,2016-09-15T22:33:37Z,2016-09-16T03:19:47Z,2016-09-16T03:19:47Z,5,REVIEW_REQUIRED,4.769444444444445,1,314,Merged
Version 2.3.0 Release Candidate 1,2016-09-17T09:44:08Z,2016-09-21T19:14:21Z,2016-09-21T19:14:21Z,1,REVIEW_REQUIRED,105.50361111111111,65,503,Merged
Fix the legend drawing when `labels.usePointStyle` is true,2016-09-17T13:56:00Z,2016-09-24T08:57:33Z,2016-09-24T08:57:33Z,1,APPROVED,163.02583333333334,1,138,Merged
Compute correct tooltip size when there is no title present,2016-09-17T14:32:35Z,2016-09-24T08:58:31Z,2016-09-24T08:58:31Z,1,APPROVED,162.4322222222222,1,247,Merged
