title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Documentation: does make easier copies of some command lines codes,2021-11-14T17:48:40Z,2021-11-15T02:41:53Z,2021-11-15T02:41:53Z,1,,8.886944444444444,1,0,Merged
[rust]: fix code point issue,2021-11-18T22:56:45Z,,2021-11-20T16:51:33Z,3,,41.913333333333334,4,0,Closed
Fixed a typo,2021-11-19T07:24:13Z,2021-11-19T11:35:40Z,2021-11-19T11:35:40Z,1,,4.190833333333333,1,0,Merged
add linux build,2021-11-21T03:06:34Z,2021-11-22T00:26:29Z,2021-11-22T00:26:29Z,1,,21.331944444444446,2,0,Merged
Fixed Icon Issue in Linux,2021-11-21T07:21:10Z,,2021-11-22T11:29:20Z,1,,28.136111111111113,79,0,Closed
fix backend build,2021-11-21T15:49:16Z,2021-11-22T01:01:47Z,2021-11-22T01:01:47Z,1,,9.20861111111111,3,174,Merged
Fix backend compilation + adding fallback for docker container,2021-11-24T19:23:12Z,,2021-12-02T07:42:47Z,3,,180.32638888888889,2,55,Closed
Updated Linux build document,2021-12-10T18:39:29Z,2021-12-11T14:29:02Z,2021-12-11T14:29:02Z,2,,19.825833333333332,1,336,Merged
Add i18n/zh-CN support,2021-12-13T15:24:58Z,2021-12-15T00:48:24Z,2021-12-15T00:48:24Z,6,,33.39055555555556,3,29,Merged
"Changed string ""Untitles"" to ""Untitled""",2021-12-13T21:56:05Z,2021-12-14T03:03:03Z,2021-12-14T03:03:04Z,1,,5.1161111111111115,2,11,Merged
Added support for docker image in docs/docker-buildfiles,2021-12-16T01:14:36Z,2021-12-23T19:30:03Z,2021-12-23T19:30:03Z,8,,186.2575,3,54,Merged
Italian Translation,2021-12-17T17:11:22Z,2021-12-19T06:50:43Z,2021-12-19T06:50:43Z,1,,37.655833333333334,2,0,Merged
[FR] Dark Mode ,2021-12-20T15:08:23Z,2021-12-24T18:20:48Z,2021-12-24T18:20:48Z,6,,99.20694444444445,14,495,Merged
Add debug info button,2021-12-22T03:49:35Z,2021-12-25T00:10:09Z,2021-12-25T00:10:09Z,5,,68.34277777777778,10,298,Merged
Increased height of ActionCell,2021-12-22T19:53:24Z,2021-12-23T03:41:19Z,2021-12-23T03:41:19Z,1,,7.798611111111111,1,104,Merged
Theme Toggler,2021-12-29T13:30:16Z,,2022-01-01T18:26:27Z,8,,76.93638888888889,16,119,Closed
Fixed Dark Mode Bugs,2022-01-09T11:26:13Z,2022-01-12T13:58:04Z,2022-01-12T13:58:04Z,8,,74.53083333333333,10,84,Merged
