title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
add osx security awesome,2017-03-12T21:33:27Z,,2017-05-29T12:04:06Z,1,REVIEW_REQUIRED,1862.5108333333333,1,48,Closed
Add an Awesome Vulnerability Research,2017-07-23T23:27:34Z,2017-07-25T17:36:56Z,2017-07-25T17:36:56Z,1,APPROVED,42.15611111111111,1,90,Merged
Added the How2Heap repository to the list of awesome repos,2018-10-07T23:29:11Z,,2021-07-31T15:43:21Z,3,REVIEW_REQUIRED,24664.23611111111,1,60,Closed
README.md: header level should increment by 1,2018-10-15T22:53:28Z,2018-10-25T06:33:58Z,2018-10-25T06:33:58Z,1,APPROVED,223.675,1,41,Merged
Update README.md,2018-10-31T07:17:25Z,,2018-11-07T12:06:14Z,1,REVIEW_REQUIRED,172.8136111111111,1,46,Closed
Added the awesome-serverless-security repo,2019-02-03T20:48:34Z,2019-02-09T09:00:42Z,2019-02-09T09:00:42Z,1,APPROVED,132.20222222222222,1,0,Merged
Add: hacker-roadmap awesome repository,2019-04-13T21:51:32Z,2019-04-26T03:31:38Z,2019-04-26T03:31:38Z,1,APPROVED,293.66833333333335,1,0,Merged
Fixed gray-hacker-resources broken link,2019-07-19T17:52:59Z,2019-07-31T16:43:23Z,2019-07-31T16:43:23Z,1,APPROVED,286.84,1,0,Merged
Added link to Awesome-Asset-Discovery,2019-10-02T10:46:16Z,2019-10-03T15:22:23Z,2019-10-03T15:22:23Z,1,APPROVED,28.601944444444445,1,95,Merged
Remove link to Malware Scripts due to 404,2019-10-02T10:57:24Z,2019-10-03T15:21:17Z,2019-10-03T15:21:17Z,2,APPROVED,28.398055555555555,1,63,Merged
Update README.md,2020-01-02T14:06:37Z,2020-04-21T13:29:28Z,2020-04-21T13:29:28Z,2,APPROVED,2639.380833333333,1,31,Merged
Adding some useful resources and tools,2020-02-14T20:05:34Z,,2020-03-17T19:06:46Z,2,REVIEW_REQUIRED,767.02,1,347,Closed
awesome embedded and IoT security list,2020-03-28T12:46:25Z,2020-04-21T13:27:30Z,2020-04-21T13:27:30Z,2,APPROVED,576.6847222222223,1,39,Merged
Smart hacking,2020-05-18T05:19:40Z,,2020-05-29T11:42:06Z,2,REVIEW_REQUIRED,270.37388888888887,1,22,Closed
Create DDOS file,2021-03-26T23:52:18Z,,2021-07-31T15:58:11Z,2,REVIEW_REQUIRED,3040.0980555555557,1,0,Closed
https://www.facebook.com/profile.php?id=100049332442397,2021-08-08T13:20:17Z,,2021-10-18T13:42:29Z,1,REVIEW_REQUIRED,1704.37,1,8,Closed
add awesome-rl-for-cybersecurity,2021-12-16T12:21:21Z,2022-08-27T11:18:00Z,2022-08-27T11:18:00Z,4,REVIEW_REQUIRED,6094.944166666667,1,0,Merged
Update README.md,2022-02-05T12:34:18Z,,2024-04-13T12:06:04Z,19,APPROVED,19151.529444444444,1,53,Closed
added awesome-rtc-hacking to the list,2022-02-09T06:49:12Z,2022-08-27T11:22:09Z,2022-08-27T11:22:09Z,3,REVIEW_REQUIRED,4780.549166666667,1,0,Merged
Create ayden lewis,2022-02-14T00:27:41Z,,2022-08-27T11:22:43Z,2,REVIEW_REQUIRED,4666.917222222222,1,7,Closed
Create PayPal INC Support,2022-02-17T22:31:19Z,,2022-08-27T11:23:20Z,2,REVIEW_REQUIRED,4572.866944444444,1,144,Closed
Add daily updated CVE PoC repository by Trickest,2022-03-07T18:09:13Z,2023-12-10T07:24:03Z,2023-12-10T07:24:03Z,7,APPROVED,15421.247222222222,1,0,Merged
Capitalize headers to follow common styling,2022-06-30T00:01:22Z,2023-12-10T07:26:11Z,2023-12-10T07:26:11Z,11,APPROVED,12679.413611111111,1,93,Merged
Update README.md,2022-06-30T08:29:11Z,,2022-08-27T11:28:04Z,5,REVIEW_REQUIRED,1394.981388888889,1,74,Closed
Add files via upload,2022-07-01T18:42:18Z,,2022-07-03T10:53:17Z,4,REVIEW_REQUIRED,40.183055555555555,1,0,Closed
awsome has been changed to Awesome,2022-11-07T16:35:17Z,,2023-12-10T07:26:49Z,3,REVIEW_REQUIRED,9542.858888888888,1,100,Closed
Various fixes and additions,2023-01-09T11:12:20Z,,2024-08-22T10:37:33Z,22,REVIEW_REQUIRED,14183.420277777777,2,327,Closed
