title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
support for Scribus DTP app + 'hack' coding font,2017-02-09T11:15:21Z,,2019-01-02T16:22:36Z,1,,16613.120833333334,1,0,Closed
add package.json so it can be published to npm,2017-03-01T09:51:53Z,2018-03-15T17:00:23Z,2018-03-15T17:00:23Z,6,,9103.141666666666,1,8,Merged
Update support for iTerm2,2017-09-27T15:47:36Z,2017-09-28T07:55:04Z,2017-09-28T07:55:04Z,1,,16.124444444444446,1,165,Merged
Add link to terminal apps,2017-10-29T15:42:02Z,,2017-11-02T13:55:18Z,1,,94.22111111111111,1,60,Closed
Rename HowToInstall.txt to HowToInstall.md,2019-02-15T00:16:36Z,,2019-10-20T17:41:48Z,1,,5945.42,1,220,Closed
Improve build script & fonts in distr,2019-04-05T21:40:13Z,2019-04-06T15:04:06Z,2019-04-06T15:04:06Z,1,,17.398055555555555,32,287,Merged
Update README.txt,2019-10-29T16:09:50Z,,2019-12-05T12:08:09Z,1,,883.9719444444445,1,42,Closed
Update README.md,2020-10-06T15:23:12Z,,2021-06-12T03:51:49Z,3,,5964.476944444445,1,33,Closed
Spelling,2022-02-07T00:33:16Z,2022-02-07T18:33:55Z,2022-02-07T18:33:55Z,1,,18.010833333333334,14,737,Merged
feat: allow hardcoding of features via arguments to build script,2022-03-11T21:01:32Z,,2022-03-15T15:00:36Z,2,,89.98444444444445,30,4048,Closed
Move Godot to supported,2022-07-11T15:03:18Z,2022-07-13T18:52:38Z,2022-07-13T18:52:38Z,2,,51.82222222222222,1,156,Merged
