title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Allow easy use with bundlers,2015-09-29T07:54:18Z,,2018-01-31T23:48:51Z,1,,20535.909166666668,1,191,Closed
"Add ""no"" and ""prohibit"" filters to ban icon",2015-12-19T20:11:14Z,,2018-01-31T23:45:42Z,1,,18579.574444444443,1,99,Closed
Fix cheatsheet print layout,2016-12-18T18:24:28Z,2016-12-19T20:32:15Z,2016-12-19T20:32:15Z,6,APPROVED,26.129722222222224,3,500,Merged
"Add ""castle"" filter for fort-awesome icon",2017-02-01T12:18:29Z,,2018-01-31T23:29:50Z,1,APPROVED,8747.189166666667,1,76,Closed
Make icon names more human friendly.,2017-03-17T23:22:10Z,,2018-01-31T23:30:14Z,1,APPROVED,7680.134444444445,1,234,Closed
Changed http links to https,2017-04-13T22:05:19Z,,2018-01-31T23:30:29Z,1,CHANGES_REQUESTED,7033.419444444445,1,202,Closed
SASS -> Sass,2017-06-30T10:54:26Z,,2018-01-31T23:12:49Z,1,CHANGES_REQUESTED,5172.306388888889,15,64,Closed
Update icons.yml,2017-12-01T21:36:48Z,2017-12-02T00:16:37Z,2017-12-02T00:16:37Z,4,,2.663611111111111,1,92,Merged
Add 5.1 instructions,2018-04-02T22:06:01Z,2018-04-11T03:11:56Z,2018-04-11T03:11:56Z,3,APPROVED,197.0986111111111,1,0,Merged
Fix library.add() typos,2018-05-02T22:56:41Z,2018-05-03T11:41:40Z,2018-05-03T11:41:40Z,1,APPROVED,12.749722222222223,1,2,Merged
Fix typo in README,2018-05-07T08:11:20Z,2018-11-16T22:44:14Z,2018-11-16T22:44:14Z,1,,4646.548333333333,1,306,Merged
Updating README,2018-06-26T16:39:24Z,2018-06-28T01:02:11Z,2018-06-28T01:02:11Z,1,APPROVED,32.37972222222222,1,0,Merged
New banner and home cta,2019-04-18T15:58:57Z,2019-04-18T17:07:26Z,2019-04-18T17:07:26Z,1,APPROVED,1.1413888888888888,8,306,Merged
HTTPS relevant links,2019-05-08T06:00:05Z,2019-05-17T19:30:44Z,2019-05-17T19:30:44Z,1,APPROVED,229.51083333333332,1,306,Merged
Updating Team Listing with New Members,2019-07-18T15:11:11Z,2019-07-23T23:27:08Z,2019-07-23T23:27:08Z,1,APPROVED,128.26583333333335,1,105,Merged
Update README.md,2020-10-17T08:40:27Z,,2022-03-07T16:07:23Z,4,,12151.448888888888,1,357,Closed
solving minor grammatical mistakes,2020-11-01T13:59:04Z,,2023-05-19T20:36:23Z,2,,22302.621944444443,1,363,Closed
"Fixed slash as a division SASS [Fixed in FA6 - our fix does not break libsass - Will be fixed in FA5 (No ETA, sorry)]",2021-10-30T12:17:04Z,,2022-02-09T19:01:09Z,5,,2454.7347222222224,6,268,Closed
Hint people to use GitHub's TODO list feature properly,2022-02-08T16:04:34Z,,2022-07-21T07:51:33Z,1,,3903.7830555555556,4,306,Closed
Thumbtack.js export name regression v5 -> v6,2022-02-09T11:56:23Z,,2022-02-28T12:18:09Z,1,REVIEW_REQUIRED,456.36277777777775,1,756,Closed
Fix links pointing to the staging environment,2022-02-15T22:13:44Z,2022-02-18T14:53:43Z,2022-02-18T14:53:43Z,2,APPROVED,64.66638888888889,3,131,Merged
Fix undefined operation from fa-divide in sass variable,2022-02-22T11:52:30Z,,2022-02-23T10:39:57Z,1,REVIEW_REQUIRED,22.79083333333333,1,47,Closed
Add missing t-shirt sizes to SizeProp type,2022-03-07T20:40:13Z,,2022-09-02T20:56:06Z,3,REVIEW_REQUIRED,4296.264722222222,1,62,Closed
Update README.md,2022-04-13T18:46:59Z,2022-04-13T21:52:48Z,2022-04-13T21:52:48Z,1,APPROVED,3.0969444444444445,1,24,Merged
Add Issue Forms,2022-05-06T15:16:38Z,2022-05-20T14:22:27Z,2022-05-20T14:22:27Z,2,APPROVED,335.09694444444443,7,644,Merged
[5.x] Fix breaking change slash as division in Dart Sass 2.0.0,2022-06-10T14:41:24Z,,2024-07-31T15:00:41Z,6,REVIEW_REQUIRED,18768.32138888889,3,492,Closed
Add workaround for PostCSS parse error,2022-12-04T09:42:07Z,,2024-05-17T20:57:31Z,2,APPROVED,12731.256666666666,1,539,Closed
Typo fixed,2022-12-09T07:56:23Z,2022-12-14T13:13:44Z,2022-12-14T13:13:44Z,1,APPROVED,125.28916666666667,1,340,Merged
Fix #19423 by defaulting to 0 instead of none,2023-02-02T21:58:16Z,,2024-05-20T16:23:37Z,2,REVIEW_REQUIRED,11346.4225,2,394,Closed
fix: #19577 - remove postinstall script,2023-02-24T11:00:59Z,,2024-07-21T09:54:56Z,2,REVIEW_REQUIRED,12310.899166666666,12,306,Closed
Update contributing guidelines,2023-11-30T08:35:09Z,2023-12-15T20:33:40Z,2023-12-15T20:33:40Z,1,APPROVED,371.97527777777776,1,325,Merged
Release 6.5.2,2024-04-02T15:08:53Z,2024-04-02T18:54:48Z,2024-04-02T18:54:48Z,1,REVIEW_REQUIRED,3.765277777777778,3000,0,Merged
Updating Icon Request Template,2024-07-01T14:44:18Z,2024-07-02T17:01:50Z,2024-07-02T17:01:50Z,2,APPROVED,26.29222222222222,1,100,Merged
Release 6.6.0,2024-07-15T16:32:22Z,2024-07-16T17:13:31Z,2024-07-16T17:13:31Z,1,REVIEW_REQUIRED,24.685833333333335,3000,0,Merged
