title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Code question about promises,2015-08-11T08:30:07Z,2017-11-04T02:42:06Z,2017-11-04T02:42:06Z,1,,19578.199722222223,1,0,Merged
Adds srcset question to HTML,2016-04-18T20:45:26Z,2017-09-22T13:58:00Z,2017-09-22T13:58:00Z,2,,12521.209444444445,1,0,Merged
Update README.md,2016-08-28T10:35:28Z,,2018-01-19T03:39:15Z,1,,12209.063055555556,1,21,Closed
Added Ukrainian translation Readme,2016-12-05T22:48:21Z,2017-01-23T01:00:34Z,2017-01-23T01:00:34Z,1,,1154.203611111111,1,0,Merged
Update,2017-01-22T23:44:46Z,2017-01-23T01:00:08Z,2017-01-23T01:00:08Z,1,,1.2561111111111112,1,27,Merged
Farsi,2017-02-05T08:21:30Z,2017-03-24T03:52:20Z,2017-03-24T03:52:20Z,2,,1123.513888888889,1,205,Merged
corrected grammatical errors in Ukrainian language,2017-02-07T16:02:30Z,2017-02-08T01:41:25Z,2017-02-08T01:41:25Z,1,,9.64861111111111,1,0,Merged
Added another question,2017-02-24T05:25:44Z,,2018-01-23T01:41:29Z,1,,7988.2625,1,56,Closed
adds questions about pure functions + destructuring assignment,2017-03-11T14:17:20Z,,2018-05-22T10:24:44Z,7,,10484.123333333333,1,0,Closed
Updated readme,2017-04-06T13:41:48Z,2017-04-06T15:27:09Z,2017-04-06T15:27:09Z,1,,1.7558333333333334,1,25,Merged
Updated Korean version,2017-04-19T01:11:40Z,,2018-01-23T01:43:08Z,1,,6696.524444444444,1,313,Closed
Fix markdown details,2017-05-19T01:39:42Z,2017-09-20T08:07:06Z,2017-09-20T08:07:06Z,1,,2982.4566666666665,1,0,Merged
Fix markdown of Czech translation,2017-05-20T10:55:21Z,2017-07-02T08:57:44Z,2017-07-02T08:57:44Z,1,,1030.0397222222223,1,28,Merged
Update README.md,2017-06-22T10:57:35Z,2017-07-02T08:56:11Z,2017-07-02T08:56:11Z,1,,237.97666666666666,1,22,Merged
Update korean translation,2017-07-02T06:46:03Z,2017-07-02T08:54:04Z,2017-07-02T08:54:04Z,1,,2.133611111111111,1,83,Merged
format french readme.md file,2017-07-07T14:58:41Z,2017-09-20T07:41:33Z,2017-09-20T07:41:33Z,1,,1792.7144444444446,1,0,Merged
Fix Russian translation markup,2017-07-26T14:03:03Z,2017-09-20T08:03:27Z,2017-09-20T08:03:27Z,1,,1338.0066666666667,1,0,Merged
Lisa/additional questions,2017-07-28T15:52:21Z,,2019-03-29T23:43:54Z,2,,14623.859166666667,1,614,Closed
Add Vietnamese translation,2017-07-29T12:41:49Z,2017-09-23T11:56:57Z,2017-09-23T11:56:57Z,1,,1343.2522222222221,1,0,Merged
Add new questions,2017-09-02T13:47:44Z,,2019-03-24T15:44:22Z,1,,13633.943888888889,1,0,Closed
Update Chinese README.md,2017-09-08T12:34:56Z,2017-09-20T08:01:33Z,2017-09-20T08:01:33Z,1,,283.4436111111111,1,11,Merged
Fixed markdown in some headers of the Greek translation,2017-09-10T05:43:01Z,2017-09-20T06:48:03Z,2017-09-20T06:48:03Z,1,,241.08388888888888,1,0,Merged
new interview questions,2017-10-10T21:05:36Z,,2019-03-29T23:43:53Z,8,,12842.638055555555,1,56,Closed
Add JS question for map vs forEach functions to loop in array,2017-10-27T08:02:46Z,2017-11-04T02:29:04Z,2017-11-04T02:29:04Z,1,,186.43833333333333,1,214,Merged
Update french translation,2017-12-14T23:58:11Z,2017-12-15T01:50:06Z,2017-12-15T01:50:06Z,2,,1.8652777777777778,1,0,Merged
Add JS function currying question,2018-01-04T22:19:53Z,,2019-03-29T23:43:55Z,2,,10777.400555555556,1,242,Closed
updates responsive question,2018-01-11T00:19:53Z,2018-01-11T15:01:29Z,2018-01-11T15:01:29Z,1,,14.693333333333333,1,892,Merged
adds ES6 style questions,2018-01-11T17:20:45Z,2018-01-17T18:51:41Z,2018-01-17T18:51:41Z,3,,145.51555555555555,1,2927,Merged
updates PULL REQUEST TEMPLATE,2018-01-17T18:38:53Z,,2018-10-10T21:34:35Z,2,,6386.928333333333,1,500,Closed
adds CSS question related to component versus functional CSS,2018-01-17T19:55:50Z,,2019-03-24T15:45:02Z,1,,10339.82,1,1076,Closed
"Add missing space after ""BFC""",2018-01-18T06:17:52Z,,2018-08-31T15:00:20Z,1,,5408.707777777778,1,343,Closed
Split questions into separate files,2018-01-23T01:50:00Z,2018-01-23T03:41:31Z,2018-01-23T03:41:31Z,1,APPROVED,1.8586111111111112,10,88,Merged
👏 PRAISE ALL CONTRIBUTORS!!!!!!,2018-01-23T03:54:32Z,2018-01-24T00:49:30Z,2018-01-24T00:49:30Z,1,APPROVED,20.91611111111111,6,278,Merged
Adds new testing question,2018-02-02T09:07:05Z,,2018-11-29T09:58:29Z,3,,7200.856666666667,1,565,Closed
debouncing to prevent performance degradation,2018-02-22T04:15:30Z,,2019-03-24T15:46:00Z,1,CHANGES_REQUESTED,9491.508333333333,1,498,Closed
Added Hebrew translation,2018-06-29T13:05:33Z,2018-07-02T16:51:53Z,2018-07-02T16:51:53Z,2,APPROVED,75.77222222222223,1,335,Merged
Updated Russian translation,2018-07-21T21:03:46Z,2018-07-23T21:35:07Z,2018-07-23T21:35:07Z,1,APPROVED,48.5225,1,383,Merged
update javascript-questions.md,2018-10-01T05:41:39Z,,2018-10-02T11:28:16Z,8,,29.776944444444446,1,255,Closed
Update html-questions.md,2018-10-01T05:47:10Z,,2018-10-02T11:14:40Z,10,,29.458333333333332,1,271,Closed
Update general-questions.md,2018-10-01T05:49:04Z,2018-10-03T16:48:36Z,2018-10-03T16:48:36Z,3,APPROVED,58.992222222222225,1,271,Merged
ADDED new question on how to center align an element.,2018-10-16T19:15:23Z,,2019-04-29T08:40:34Z,1,,4669.419722222222,1,397,Closed
Add question about setTimeout,2018-10-26T07:15:36Z,,2019-03-29T23:43:58Z,6,,3712.472777777778,1,142,Closed
Update performance-questions.md,2018-10-29T19:13:18Z,,2019-03-29T23:43:57Z,4,,3628.5108333333333,1,175,Closed
Adding question on domain pre-fetching,2018-10-29T19:31:40Z,2019-01-07T11:23:22Z,2019-01-07T11:23:22Z,1,,1671.8616666666667,1,66,Merged
JavaScript 2018 (and beyond!),2018-11-14T17:51:45Z,2019-01-07T17:20:26Z,2019-01-07T17:20:26Z,29,,1295.4780555555556,1,308,Merged
add a website,2018-11-26T13:45:52Z,2018-12-02T21:28:34Z,2018-12-02T21:28:34Z,1,,151.71166666666667,125,698,Merged
Fix typo in navigation,2018-12-10T19:39:50Z,2018-12-11T04:40:34Z,2018-12-11T04:40:34Z,1,,9.012222222222222,1,304,Merged
Improve Russian translation,2018-12-25T17:36:40Z,2018-12-25T18:53:29Z,2018-12-25T18:53:29Z,1,,1.2802777777777778,1,427,Merged
Fixed some grammar in Slovak translation,2019-01-09T10:01:25Z,2019-01-09T11:57:37Z,2019-01-09T11:57:37Z,1,,1.9366666666666668,1,214,Merged
Responsive Nav,2019-02-14T00:46:53Z,2019-02-16T13:56:49Z,2019-02-16T13:56:49Z,7,APPROVED,61.16555555555556,6,1100,Merged
Rephrased questions in javascript-questions.md to add context,2019-02-21T19:51:35Z,2019-02-21T21:57:27Z,2019-02-21T21:57:28Z,1,APPROVED,2.097777777777778,1,530,Merged
Fixing headers for fun,2019-02-23T18:44:26Z,2019-02-24T11:03:02Z,2019-02-24T11:03:02Z,1,,16.31,11,187,Merged
Added question on CSS naming conventions,2019-03-16T14:18:43Z,,2019-05-26T10:38:20Z,10,,1700.3269444444445,1,492,Closed
Update general-questions.md,2019-04-10T21:22:04Z,,2019-04-11T15:24:26Z,2,,18.039444444444445,1,966,Closed
Added new question about CDN services,2019-04-17T10:59:04Z,2019-04-17T20:28:12Z,2019-04-17T20:28:12Z,2,APPROVED,9.485555555555555,1,564,Merged
feat(translation/ukrainian): update Contributors and General sections,2019-05-01T17:48:55Z,2019-05-02T05:40:20Z,2019-05-02T05:40:20Z,2,,11.856944444444444,1,824,Merged
