title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
dfs.java,2017-03-17T13:57:34Z,2017-04-07T16:39:14Z,2017-04-07T16:39:14Z,1,REVIEW_REQUIRED,506.69444444444446,2,0,Merged
Added binary tree,2017-03-17T21:00:57Z,2017-03-28T14:28:00Z,2017-03-28T14:28:00Z,1,REVIEW_REQUIRED,257.4508333333333,1,0,Merged
Added base conversions.,2017-03-28T19:05:50Z,,2017-09-06T18:29:38Z,4,CHANGES_REQUESTED,3887.3966666666665,5,0,Closed
Changes in for loop for sorting,2017-04-01T18:14:44Z,2017-04-07T16:39:35Z,2017-04-07T16:39:36Z,1,REVIEW_REQUIRED,142.41416666666666,1,75,Merged
JavaDoc and No Spaces in File Names,2017-04-18T15:02:06Z,2017-04-19T02:28:27Z,2017-04-19T02:28:27Z,1,REVIEW_REQUIRED,11.439166666666667,30,228,Merged
CircleLinkedList,2017-04-18T16:21:21Z,2017-04-19T02:29:00Z,2017-04-19T02:29:00Z,1,REVIEW_REQUIRED,10.1275,1,114,Merged
More Additions (Info below),2017-04-20T19:01:32Z,2017-04-21T14:38:02Z,2017-04-21T14:38:02Z,1,REVIEW_REQUIRED,19.608333333333334,22,492,Merged
Create radixSort.java,2017-04-22T13:50:39Z,2017-04-25T16:58:57Z,2017-04-25T16:58:57Z,2,REVIEW_REQUIRED,75.13833333333334,1,0,Merged
Create AVLTree.java,2017-04-23T17:45:50Z,2017-04-24T03:21:34Z,2017-04-24T03:21:34Z,1,REVIEW_REQUIRED,9.595555555555556,1,0,Merged
Dijkshtra's Algorithm,2017-04-24T14:01:28Z,2017-04-25T16:58:41Z,2017-04-25T16:58:41Z,1,REVIEW_REQUIRED,26.953611111111112,1,40,Merged
Rename data_structures/BinaryTree.java to data_structures/Trees/Binar…,2017-04-27T14:46:02Z,2017-05-14T17:57:02Z,2017-05-14T17:57:02Z,1,REVIEW_REQUIRED,411.18333333333334,1,11,Merged
Update countwords.java,2017-06-01T00:00:46Z,2017-06-01T05:54:41Z,2017-06-01T05:54:41Z,2,REVIEW_REQUIRED,5.898611111111111,1,76,Merged
Update ReverseString.java,2017-06-01T12:09:44Z,2017-06-02T05:37:25Z,2017-06-02T05:37:25Z,1,REVIEW_REQUIRED,17.461388888888887,1,892,Merged
Conversions Works,2017-06-09T22:53:20Z,2017-06-10T06:10:39Z,2017-06-10T06:10:39Z,1,REVIEW_REQUIRED,7.288611111111111,3,95,Merged
