title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
editorial suggestions,2021-06-15T12:18:00Z,2021-06-16T20:37:53Z,2021-06-16T20:37:53Z,1,REVIEW_REQUIRED,32.33138888888889,1,184,Merged
editorial changes,2021-06-15T12:33:24Z,2021-06-16T20:35:42Z,2021-06-16T20:35:43Z,1,REVIEW_REQUIRED,32.038333333333334,1,26,Merged
editorial,2021-06-15T13:25:28Z,2021-06-16T20:32:29Z,2021-06-16T20:32:29Z,1,REVIEW_REQUIRED,31.116944444444446,1,153,Merged
editorial,2021-06-17T22:02:19Z,2021-06-19T17:55:04Z,2021-06-19T17:55:04Z,1,REVIEW_REQUIRED,43.87916666666667,1,505,Merged
web app editorial,2021-06-22T20:27:06Z,2021-06-22T21:31:01Z,2021-06-22T21:31:01Z,1,REVIEW_REQUIRED,1.0652777777777778,1,54,Merged
editorial,2021-06-22T21:42:41Z,2021-06-23T00:56:10Z,2021-06-23T00:56:10Z,2,REVIEW_REQUIRED,3.2247222222222223,1,32,Merged
editorial,2021-06-23T12:01:22Z,2021-06-23T18:23:37Z,2021-06-23T18:23:37Z,2,REVIEW_REQUIRED,6.370833333333334,1,203,Merged
editorial,2021-06-23T12:24:35Z,2021-06-23T14:07:47Z,2021-06-23T14:07:47Z,1,REVIEW_REQUIRED,1.72,1,59,Merged
editorial,2021-06-24T18:46:19Z,2021-06-24T21:15:22Z,2021-06-24T21:15:22Z,1,REVIEW_REQUIRED,2.484166666666667,1,116,Merged
editorial,2021-06-24T22:41:00Z,2021-06-25T00:33:40Z,2021-06-25T00:33:40Z,1,REVIEW_REQUIRED,1.8777777777777778,1,76,Merged
editorial,2021-06-25T11:18:25Z,2021-06-25T20:07:57Z,2021-06-25T20:07:57Z,1,REVIEW_REQUIRED,8.825555555555555,2,118,Merged
editorial,2021-06-25T11:49:57Z,2021-06-25T19:58:28Z,2021-06-25T19:58:28Z,1,REVIEW_REQUIRED,8.141944444444444,1,49,Merged
