title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Chinese translation of YDKJS,2016-11-16T16:45:32Z,2017-03-13T01:46:19Z,2017-03-13T01:46:19Z,3,,2793.0130555555556,66,118,Merged
1edBranchCn,2016-12-02T08:56:34Z,,2017-08-15T15:47:52Z,1,,6150.855,2,118,Closed
Correct command output,2016-12-30T17:18:27Z,,2017-08-15T15:46:02Z,1,,5470.459722222222,1,50,Closed
improve chinese translation of preface,2017-03-13T07:11:39Z,,2017-04-06T09:02:57Z,2,,577.855,1,136,Closed
Fix typos,2017-03-16T00:13:46Z,2017-08-15T15:40:05Z,2017-08-15T15:40:05Z,1,,3663.438611111111,4,68,Merged
Clarification on the const definition,2017-04-27T03:26:11Z,,2017-08-15T15:34:27Z,1,,2652.137777777778,1,471,Closed
Update ch2: Fixed typos and refined translations,2017-05-12T09:06:55Z,2017-05-16T08:43:40Z,2017-05-16T08:43:40Z,3,,95.6125,1,0,Merged
typo,2017-05-15T09:13:22Z,,2017-06-24T14:42:58Z,2,,965.4933333333333,1,203,Closed
Update ch6.md,2017-05-24T07:58:31Z,,2017-05-25T19:14:04Z,1,,35.259166666666665,1,9,Closed
Refined syntactics,2017-06-29T11:00:08Z,2017-07-15T14:56:56Z,2017-07-15T14:56:56Z,3,,387.94666666666666,1,2,Merged
Optimization for accuracy,2017-06-30T07:40:39Z,,2017-07-26T15:55:26Z,8,,632.2463888888889,1,137,Closed
Refined part of Towards Delegation-Oriented Design,2017-07-23T12:32:02Z,2017-07-23T13:51:09Z,2017-07-23T13:51:10Z,6,APPROVED,1.3186111111111112,1,26,Merged
1ed-zh-CN 修正错别字,2017-07-24T01:51:32Z,2017-07-26T15:53:12Z,2017-07-26T15:53:12Z,3,APPROVED,62.02777777777778,1,338,Merged
Update ch5.md,2017-08-15T10:42:10Z,,2020-03-03T05:38:02Z,1,,22338.931111111113,1,810,Closed
个别错别字和不通顺的地方,2017-09-14T13:38:24Z,,2017-09-17T01:32:04Z,1,CHANGES_REQUESTED,59.894444444444446,1,2,Closed
Update foreword.md,2017-10-14T05:48:26Z,,2017-10-18T05:22:48Z,1,,95.57277777777777,1,173,Closed
Add missing spaces in statement 'var i=0',2017-10-21T17:56:59Z,,2019-08-28T16:28:03Z,1,,16222.517777777777,1,110,Closed
Small fix on implicit relation between Strong and Static typing,2017-11-02T16:29:08Z,,2019-12-11T20:24:48Z,1,,18459.92777777778,1,324,Closed
Fixed typos,2017-11-09T12:30:46Z,2017-11-10T02:53:06Z,2017-11-10T02:53:06Z,1,,14.372222222222222,1,0,Merged
fix typos and change translation,2017-11-20T08:02:09Z,,2019-08-28T16:26:53Z,1,CHANGES_REQUESTED,15512.412222222221,4,2,Closed
Update non-readonly property descriptor value to `writeable:true`,2017-12-24T01:30:27Z,,2018-10-18T11:34:20Z,1,,7162.064722222222,1,89,Closed
[Fix] annotation fixed,2018-01-05T03:19:44Z,,2019-08-28T16:26:34Z,1,,14413.113888888889,1,88,Closed
Update the 'Become a Patron' badge,2018-01-27T16:10:22Z,2018-02-17T10:31:06Z,2018-02-17T10:31:06Z,1,CHANGES_REQUESTED,498.34555555555556,1,320,Merged
Changed folder names to be displayed in the same order as the books,2018-02-22T22:37:51Z,,2018-08-22T10:19:00Z,1,,4331.685833333333,85,173,Closed
Specify getter/setter's reference variable can't be property name,2018-05-13T04:19:20Z,,2019-08-28T16:22:22Z,1,,11340.050555555556,1,461,Closed
Fix spacing in function params,2018-12-18T13:38:45Z,,2019-08-28T16:11:33Z,1,,6074.546666666667,1,80,Closed
Update ch1.md,2019-03-03T14:30:00Z,,2019-08-28T16:06:55Z,2,,4273.615277777778,1,242,Closed
Added a note on scope lookup,2019-03-03T15:02:38Z,,2019-08-28T16:06:28Z,2,,4273.063888888889,2,173,Closed
Remove gendered pronouns,2019-07-04T10:05:24Z,,2019-07-09T16:13:29Z,1,,126.13472222222222,1,279,Closed
Update ch2.md,2019-11-05T18:30:23Z,,2019-12-02T13:27:16Z,1,,642.9480555555556,1,400,Closed
Foreword update on README.md,2020-01-07T03:19:33Z,,2020-01-22T16:55:28Z,1,,373.5986111111111,1,0,Closed
add book 1 translation into Ukrainian,2021-01-06T10:30:01Z,2021-01-07T16:23:03Z,2021-01-07T16:23:03Z,2,APPROVED,29.88388888888889,10,1006,Merged
fix: typo in example code & some minor ones,2021-06-17T05:48:58Z,,2021-08-26T15:05:59Z,1,,1689.2836111111112,1,798,Closed
typo,2021-07-06T09:03:01Z,2023-07-07T05:50:33Z,2023-07-07T05:50:33Z,1,APPROVED,17540.792222222222,1,0,Merged
fix typos,2022-09-13T04:56:20Z,2022-10-23T13:09:44Z,2022-10-23T13:09:44Z,1,,968.2233333333334,11,285,Merged
Update foreword.md,2023-01-31T03:56:11Z,2023-07-12T10:01:37Z,2023-07-12T10:01:37Z,2,APPROVED,3894.0905555555555,1,814,Merged
chore: fix typos,2024-06-18T02:10:34Z,2024-06-19T11:21:42Z,2024-06-19T11:21:42Z,2,,33.18555555555555,4,14,Merged
