title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
feat(shutdown): Add the ability for an app to shutdown,2014-06-27T10:22:46Z,,2018-06-20T20:00:38Z,4,,34905.63111111111,11,351,Closed
sec(http): JSONP should require trusted resource URLs,2015-04-16T21:06:46Z,,2016-09-15T20:32:10Z,2,,12431.423333333334,4,458,Closed
Add hasBody to ngResource action configuration,2015-06-21T09:50:33Z,,2017-03-21T10:46:26Z,18,,15336.931388888888,2,764,Closed
feat(angular.info): optionally store and access additional info on mo…,2015-07-29T22:19:27Z,,2016-10-07T13:03:55Z,1,,10454.74111111111,7,387,Closed
Add request and requestError interception in ngResource,2015-11-07T00:07:56Z,,2017-02-06T19:39:42Z,1,,10987.529444444444,2,559,Closed
feat($q): report promises with non rejection callback,2016-01-02T15:41:07Z,,2016-03-27T13:08:34Z,4,,2037.4575,13,314,Closed
feat(ngAsDirective): new as directive to publish component controllers into current scope ,2016-02-18T17:57:16Z,,2018-06-01T09:03:38Z,33,,20007.106111111112,4,6338,Closed
fix(ngRoute): make route.resolve count as a pending request,2016-03-02T00:26:00Z,,2017-01-11T22:15:40Z,15,,7581.827777777778,6,1521,Closed
"feat($sce): handle URLs through the $sce service, plus allow concatenation in that $sce contexts.",2016-03-16T14:04:10Z,,2017-12-19T15:06:39Z,8,,15433.041388888889,12,3909,Closed
chore(travis): test on IE Edge,2016-04-09T12:28:01Z,2017-04-19T11:05:26Z,2017-04-19T11:05:26Z,3,,8998.62361111111,5,14,Merged
perf(ngClass): refactor to optimize the case of static map of classes with large objects,2016-04-09T22:06:39Z,,2016-12-09T10:00:36Z,12,,5843.899166666667,2,1449,Closed
"fix(input): listen on ""change"" for radio and checkbox",2016-05-27T09:33:18Z,2017-10-13T13:39:53Z,2017-10-13T13:39:54Z,1,,12100.109722222222,6,2805,Merged
feat(ngAria): add support for ignoring a specific element,2016-06-27T21:59:03Z,,2018-06-08T08:14:15Z,1,,17050.253333333334,2,1076,Closed
feat($http): support sending XSRF token to whitelisted origins,2016-07-10T08:19:36Z,,2018-04-04T18:08:10Z,8,,15201.809444444445,6,977,Closed
fix($resource): allow params in `hostname` (except for IPv6 addresses),2016-07-13T12:37:43Z,,2016-12-03T08:01:14Z,2,,3427.3919444444446,2,1078,Closed
fix($animate): improve detection and handling of invalid `classNameFilter` RegExp,2016-07-15T11:03:21Z,,2017-02-17T09:29:30Z,1,,5206.435833333333,3,1405,Closed
feat($animate): add support for `customFilter`,2016-07-15T11:16:29Z,,2017-04-28T09:52:37Z,12,,6886.602222222222,4,1095,Closed
