title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Animate.css Builder Web Version,2016-08-05T13:13:08Z,,2017-12-04T22:49:56Z,2,CHANGES_REQUESTED,11673.613333333333,3,437,Closed
New Special - jackInTheBox,2016-08-31T13:00:08Z,2017-04-27T12:23:25Z,2017-04-27T12:23:25Z,2,,5735.388055555555,5,121,Merged
"Add Travis CI, Release, devDependencies, and Gitter badges.",2016-09-22T15:44:35Z,2016-09-27T13:45:38Z,2016-09-27T13:45:38Z,2,,118.0175,2,74,Merged
Fixed Custom Builds ,2017-05-01T06:29:26Z,2017-11-10T00:33:55Z,2017-11-10T00:33:55Z,1,,4626.074722222223,2,875,Merged
fixed the issue of overflow scroll,2017-09-15T13:47:51Z,2017-10-02T20:43:47Z,2017-10-02T20:43:47Z,4,APPROVED,414.9322222222222,1,135,Merged
New back in/out animations added,2017-10-04T00:33:52Z,,2020-04-21T10:25:58Z,1,,22329.868333333332,12,40,Closed
Add Prettier,2017-11-15T23:10:11Z,2018-01-25T16:46:46Z,2018-01-25T16:46:46Z,3,,1697.6097222222222,35,265,Merged
Minor Updates and Small Fixes,2018-02-20T19:05:25Z,2018-07-19T01:24:17Z,2018-07-19T01:24:17Z,1,,3558.3144444444442,7,698,Merged
Add Heart-Beat animation,2018-07-14T06:44:35Z,2018-07-21T15:55:44Z,2018-07-21T15:55:44Z,2,APPROVED,177.18583333333333,7,395,Merged
Add a feature to turn off animations for printing as requested.,2018-08-13T13:26:20Z,2018-08-22T13:47:57Z,2018-08-22T13:47:57Z,4,APPROVED,216.36027777777778,3,187,Merged
Fix typo in README.md,2018-09-04T21:33:08Z,2018-10-13T15:04:46Z,2018-10-13T15:04:46Z,1,,929.5272222222222,1,0,Merged
Cleaning up the Readme file,2018-10-13T17:09:51Z,2018-10-17T20:01:51Z,2018-10-17T20:01:51Z,6,APPROVED,98.86666666666666,1,172,Merged
Improved animations,2019-01-17T00:28:39Z,2020-04-20T14:46:02Z,2020-04-20T14:46:02Z,3,APPROVED,11030.289722222222,15,336,Merged
Update README.md,2019-04-03T10:25:55Z,,2019-12-07T15:06:47Z,2,CHANGES_REQUESTED,5956.681111111111,1,88,Closed
Reduced-Motion: Replace animation: unset and transition: none with 0-length durations.,2019-05-08T09:32:39Z,2019-05-29T01:59:30Z,2019-05-29T01:59:30Z,1,,496.4475,1,104,Merged
Remove npm-shrinkwrap.json file,2019-05-30T17:27:40Z,2019-06-04T22:38:41Z,2019-06-04T22:38:41Z,5,APPROVED,125.1836111111111,2,574,Merged
HTTPS relevant links on README,2019-09-02T08:00:47Z,2019-12-07T14:53:22Z,2019-12-07T14:53:22Z,2,APPROVED,2310.876388888889,1,23,Merged
"Added Press, shakeY and Refactory in styles in transform-origin",2019-10-01T04:55:41Z,,2020-04-21T10:43:02Z,1,CHANGES_REQUESTED,4877.7891666666665,21,574,Closed
"Update with shakeX, shakeY and press :hammer:",2019-10-01T05:02:29Z,,2020-04-20T15:12:56Z,1,,4858.174166666667,2,212,Closed
Add .delay-1s,2019-10-01T07:59:20Z,2019-12-07T14:42:08Z,2019-12-07T14:42:08Z,1,APPROVED,1614.7133333333334,1,40,Merged
simplifies code contributions by fully automating dev setup with Gitpod.,2020-01-08T16:39:47Z,,2020-03-20T20:13:07Z,1,,1731.5555555555557,2,621,Closed
updated animateCSS function,2020-02-01T20:35:59Z,,2020-03-24T18:50:55Z,1,,1246.2488888888888,1,81,Closed
Animate.css v4 Updates,2020-03-02T20:24:10Z,2020-04-20T10:30:58Z,2020-04-20T10:30:58Z,24,APPROVED,1166.1133333333332,11,267,Merged
Add contribution guidelines,2020-03-18T14:50:32Z,2020-04-10T14:21:00Z,2020-04-10T14:21:00Z,2,,551.5077777777777,1,370,Merged
Add RotationLeft & RotationRight Class,2020-03-28T17:36:07Z,,2020-03-29T12:21:54Z,1,,18.763055555555557,4,26,Closed
Set 0 Opacity to Out animation classes,2020-04-20T18:43:45Z,2020-04-21T13:54:35Z,2020-04-21T13:54:35Z,1,,19.180555555555557,7,53,Merged
Feature/new demo site,2020-04-25T19:35:58Z,2020-05-05T19:29:13Z,2020-05-05T19:29:13Z,4,APPROVED,239.8875,35,837,Merged
v4 release,2020-05-07T13:34:07Z,2020-05-07T15:42:34Z,2020-05-07T15:42:34Z,1,APPROVED,2.140833333333333,93,877,Merged
