title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
support colspan and rowspan,2015-10-29T07:45:49Z,2015-10-29T12:00:15Z,2015-10-29T12:00:15Z,1,,4.240555555555556,3,336,Merged
"feat: add Badge[status, text], close: #2715",2016-08-19T10:00:46Z,2016-08-20T09:43:46Z,2016-08-20T09:43:46Z,4,REVIEW_REQUIRED,23.716666666666665,6,125,Merged
fix #2812,2016-08-29T10:49:25Z,2016-08-30T09:01:51Z,2016-08-30T09:01:51Z,1,REVIEW_REQUIRED,22.20722222222222,3,66,Merged
Translation resource,2016-09-13T09:37:39Z,2016-09-18T01:28:28Z,2016-09-18T01:28:28Z,1,REVIEW_REQUIRED,111.84694444444445,3,0,Merged
Redesigned icons,2016-09-14T06:49:54Z,2016-09-18T01:54:47Z,2016-09-18T01:54:48Z,1,REVIEW_REQUIRED,91.0813888888889,30,32,Merged
Tab - position demo - english translation,2016-09-15T20:20:23Z,2016-09-18T01:26:39Z,2016-09-18T01:26:39Z,1,REVIEW_REQUIRED,53.10444444444445,1,32,Merged
为Modal组件的confirm、success、error、warning、info 子组件增加快捷键，模仿原生体验。,2016-09-18T05:03:44Z,2016-09-20T00:58:20Z,2016-09-20T00:58:20Z,9,REVIEW_REQUIRED,43.91,4,61,Merged
complete loss declaration,2016-09-18T10:24:36Z,2016-09-19T02:17:07Z,2016-09-19T02:17:07Z,1,REVIEW_REQUIRED,15.875277777777777,26,0,Merged
Table suport indeterminate checkbox,2016-09-19T07:52:22Z,2016-09-20T07:29:31Z,2016-09-20T07:29:31Z,1,REVIEW_REQUIRED,23.61916666666667,1,0,Merged
BackTop - demos - english translation,2016-09-19T19:36:59Z,2016-09-21T01:33:28Z,2016-09-21T01:33:28Z,3,REVIEW_REQUIRED,29.941388888888888,2,0,Merged
"docs: update change log, close: #3020",2016-09-20T03:58:04Z,2016-09-28T05:43:32Z,2016-09-28T05:43:33Z,1,REVIEW_REQUIRED,193.7577777777778,6,90,Merged
"feat: AutoComplete.Option should be children, close: #3106",2016-09-22T04:11:45Z,2016-09-22T06:40:34Z,2016-09-22T06:40:35Z,1,APPROVED,2.480277777777778,2,13,Merged
[site] fix typo ,2016-09-23T16:56:42Z,,2016-09-26T01:59:58Z,2,REVIEW_REQUIRED,57.05444444444444,2,488,Closed
"deps: upgrade dependencies, close: #3161",2016-09-26T07:41:11Z,2016-09-27T05:42:30Z,2016-09-27T05:42:30Z,4,REVIEW_REQUIRED,22.021944444444443,8,32,Merged
add table unique key warning & fix record key bug,2016-09-26T12:46:04Z,2016-09-27T05:41:57Z,2016-09-27T05:41:57Z,1,REVIEW_REQUIRED,16.93138888888889,1,72,Merged
improve declaration,2016-09-27T02:45:10Z,2016-09-27T04:04:01Z,2016-09-27T04:04:01Z,2,REVIEW_REQUIRED,1.3141666666666667,2,0,Merged
translated controlled demo,2016-09-29T09:45:08Z,2016-09-30T06:56:53Z,2016-09-30T06:56:53Z,4,CHANGES_REQUESTED,21.195833333333333,1,0,Merged
Table Reset filters and sorters - English Translation,2016-09-30T17:16:10Z,2016-10-01T00:02:01Z,2016-10-01T00:02:01Z,1,REVIEW_REQUIRED,6.764166666666667,1,0,Merged
Transfer - lists labels - English Translation,2016-10-01T01:54:49Z,2016-10-08T07:05:08Z,2016-10-08T07:05:08Z,5,REVIEW_REQUIRED,173.17194444444445,1,0,Merged
Tabs - Container of Card - Typo trigger,2016-10-02T16:35:17Z,2016-10-06T10:57:25Z,2016-10-06T10:57:25Z,1,REVIEW_REQUIRED,90.36888888888889,1,0,Merged
