title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
"add ""Contributed by: @contributorID""",2022-12-12T23:46:35Z,2022-12-13T06:24:49Z,2022-12-13T06:24:49Z,3,,6.637222222222222,1,20,Merged
"Added ""Act as an IT Expert""",2022-12-14T11:12:16Z,2022-12-14T14:49:06Z,2022-12-14T14:49:06Z,2,,3.613888888888889,2,0,Merged
Act as a Book Guide,2022-12-15T08:54:35Z,,2024-01-16T15:36:40Z,1,,9534.701388888889,2,714,Closed
Act as an Emergency Response Professional,2022-12-16T18:21:42Z,2022-12-16T20:03:38Z,2022-12-16T20:03:38Z,1,APPROVED,1.698888888888889,2,158,Merged
Add Act as a Fill in the Blank Worksheets Generator,2022-12-16T20:48:55Z,2022-12-16T22:15:31Z,2022-12-16T22:15:32Z,1,APPROVED,1.4433333333333334,2,1552,Merged
Add Act as a Morse Code Translator,2022-12-16T22:24:17Z,2022-12-17T06:51:13Z,2022-12-17T06:51:13Z,3,CHANGES_REQUESTED,8.448888888888888,1,381,Merged
Added New Language Creator,2022-12-17T04:06:05Z,2022-12-19T18:07:56Z,2022-12-19T18:07:56Z,1,,62.030833333333334,2,720,Merged
Act as a football scout,2022-12-18T12:24:36Z,,2023-12-02T10:25:01Z,3,CHANGES_REQUESTED,8374.006944444445,2,714,Closed
Acrostic poem generator,2022-12-19T22:12:14Z,,2023-02-26T21:03:12Z,1,CHANGES_REQUESTED,1654.8494444444445,2,99,Closed
AWS Solutions Architect ,2022-12-31T12:22:54Z,,2023-01-11T08:46:42Z,2,,260.39666666666665,2,745,Closed
Sync README and CSV.,2023-01-02T03:12:35Z,,2023-01-16T14:16:00Z,1,CHANGES_REQUESTED,347.05694444444447,2,1224,Closed
feat(prompt): add act as product manager prompt,2023-01-22T00:48:38Z,2023-01-22T05:01:39Z,2023-01-22T05:01:39Z,2,,4.216944444444445,2,937,Merged
Act as a LaTeX Lecture Notes,2023-01-23T14:33:24Z,,2023-01-23T21:59:56Z,1,,7.442222222222222,0,3286,Closed
Added prompt for acting as an Unconstrained AI model DAN,2023-02-06T00:46:53Z,2023-02-06T06:26:00Z,2023-02-06T06:26:00Z,1,,5.651944444444444,2,714,Merged
Add Steamship sponsorship,2023-02-06T15:26:36Z,2023-02-07T10:01:52Z,2023-02-07T10:01:52Z,2,APPROVED,18.587777777777777,1,0,Merged
Add Technology Transferer,2023-02-13T06:32:37Z,2023-02-13T20:21:26Z,2023-02-13T20:21:26Z,1,APPROVED,13.813611111111111,2,737,Merged
Proofreader,2023-02-26T23:15:27Z,2023-02-27T13:16:22Z,2023-02-27T13:16:22Z,1,APPROVED,14.015277777777778,2,933,Merged
Add Act as Buddha prompt,2023-03-05T03:54:14Z,2023-03-07T10:03:16Z,2023-03-07T10:03:16Z,1,,54.150555555555556,2,945,Merged
(fix): csv lint,2023-03-08T21:32:06Z,2023-03-09T11:40:21Z,2023-03-09T11:40:21Z,1,,14.1375,1,126,Merged
Added github expert prompt,2023-03-15T15:36:47Z,,2023-03-27T15:28:59Z,3,,287.87,2,1012,Closed
Wiki page and its prompt,2023-03-19T13:22:26Z,2023-03-20T07:38:48Z,2023-03-20T07:38:48Z,1,APPROVED,18.272777777777776,2,933,Merged
Add: DevOps Specialist,2023-03-20T14:23:32Z,,2024-07-13T12:13:36Z,1,,11541.834444444445,2,933,Closed
Added behavioral interview questions generator,2023-04-04T19:26:28Z,,2023-10-16T17:31:34Z,1,,4678.085,2,1280,Closed
Fix: csv lint,2023-04-05T23:05:45Z,,2023-04-06T22:38:29Z,1,,23.545555555555556,1,1156,Closed
Update README.md,2023-05-14T08:01:42Z,,2023-09-11T20:05:24Z,2,,2892.0616666666665,1,1108,Closed
Update README.md,2023-05-17T05:15:31Z,,2023-05-20T20:57:37Z,1,,87.70166666666667,1,1141,Closed
Update prompts.csv,2023-05-17T05:39:24Z,,2023-05-20T20:57:38Z,1,,87.30388888888889,1,1238,Closed
Update README.md,2023-05-17T05:43:06Z,,2023-05-20T20:57:38Z,1,,87.24222222222222,1,1589,Closed
Update README.md,2023-07-17T20:24:22Z,,2023-11-13T13:51:52Z,1,,2849.4583333333335,1,1212,Closed
feat:added_prompt_AI_Teacher,2023-08-09T19:27:03Z,,2023-09-05T23:32:48Z,1,,652.0958333333333,2,1347,Closed
Update README.md,2023-08-17T13:15:46Z,,2023-12-26T09:09:39Z,2,,3139.8980555555554,1,1167,Closed
1README.md,2023-10-13T03:21:33Z,,2023-12-26T08:26:45Z,1,,1781.0866666666666,1,1157,Closed
Add find prompt utility,2023-10-16T03:47:10Z,2023-11-09T17:35:14Z,2023-11-09T17:35:14Z,1,,589.8011111111111,1,273,Merged
Remove foolishness,2023-11-22T19:01:35Z,,2023-12-26T08:25:07Z,1,,805.3922222222222,1,36,Closed
Fix top banner,2023-11-27T20:43:20Z,,2023-12-26T07:57:18Z,3,,683.2327777777778,1,87,Closed
Remove political message.,2023-12-26T09:23:39Z,2023-12-26T19:32:51Z,2023-12-26T19:32:51Z,3,,10.153333333333334,1,146,Merged
Remove Political Content,2023-12-26T13:31:25Z,,2023-12-26T19:33:02Z,1,,6.026944444444444,1,968,Closed
Update README.md,2024-01-06T15:09:10Z,,2024-01-07T05:58:59Z,1,,14.830277777777777,1,968,Closed
Create 122,2024-01-14T05:22:38Z,,2024-02-26T07:48:24Z,1,,1034.4294444444445,1,968,Closed
minor changes,2024-01-25T10:21:39Z,,2024-02-26T07:43:07Z,1,,765.3577777777778,1,968,Closed
Added a ChatGPT 3.5 Jailbreak I Have Created,2024-05-25T17:18:26Z,,2024-05-30T17:22:14Z,4,,120.06333333333333,2,864,Closed
add prompt Architectural Expert,2024-06-12T10:02:57Z,2024-07-31T08:53:59Z,2024-07-31T08:53:59Z,7,,1174.8505555555555,2,593,Merged
Add dark mode and publish to GitHub Pages using GitHub Actions,2024-07-08T09:30:42Z,2024-07-27T20:49:37Z,2024-07-27T20:49:37Z,1,APPROVED,467.3152777777778,4,954,Merged
Restaurant Owner,2024-07-18T00:09:25Z,2024-07-27T20:50:14Z,2024-07-27T20:50:14Z,1,APPROVED,236.68027777777777,2,968,Merged
Fixed improperly escaped quotes that was breaking the csv,2024-08-02T04:21:56Z,,2024-09-24T00:15:44Z,1,,1267.8966666666668,1,58,Closed
Fix restaurant owner prompt,2024-08-16T12:35:39Z,,2024-09-10T11:49:37Z,2,,599.2327777777778,1,1032,Closed
