title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
updated PR for repo standards,2016-11-17T06:13:30Z,2016-11-17T07:48:41Z,2016-11-17T07:48:41Z,2,APPROVED,1.5863888888888888,1,29,Merged
Added Elasticsearch,2017-01-11T08:11:07Z,2017-01-13T21:36:03Z,2017-01-13T21:36:04Z,1,,61.41555555555556,1,0,Merged
Add gratipay.com,2017-07-12T18:34:07Z,2017-07-14T14:16:53Z,2017-07-14T14:16:53Z,2,,43.71277777777778,1,2,Merged
Add CiviWiki,2017-08-29T09:35:29Z,,2018-12-13T08:37:25Z,1,,11303.032222222222,1,0,Closed
Add Kap to JavaScript list,2017-10-19T12:35:39Z,2017-10-28T20:41:33Z,2017-10-28T20:41:33Z,1,,224.09833333333333,1,26,Merged
Added Mocha to Javascript cat,2017-10-24T15:18:35Z,,2017-10-28T21:29:11Z,1,,102.17666666666666,1,85,Closed
Add Planet Learning of Open Learning Exchange,2017-11-07T19:07:15Z,,2017-11-19T13:44:33Z,2,,282.62166666666667,1,212,Closed
#192 - Renamed Piwik to Matomo,2018-01-30T17:19:10Z,,2018-08-12T06:32:59Z,1,,4645.230277777778,1,0,Closed
Update README.md,2018-02-06T10:15:12Z,2018-03-07T08:13:34Z,2018-03-07T08:13:34Z,1,,693.9727777777778,1,62,Merged
"53 # ZeroCode API Testing - REST, KAFKA, SOAP and DB API testing lib",2018-02-07T21:41:26Z,2019-02-23T12:30:37Z,2019-02-23T12:30:37Z,1,,9134.819722222222,1,0,Merged
Code Sleep Python first timers only issue added,2018-07-01T16:11:58Z,,2018-10-10T14:55:14Z,1,,2422.721111111111,1,90,Closed
adding p5.js to the JS section,2018-08-17T01:21:04Z,2018-08-18T10:37:20Z,2018-08-18T10:37:20Z,1,,33.27111111111111,1,0,Merged
Fixed elasticsearch label for newcomers,2018-09-26T03:07:03Z,2018-10-09T19:15:24Z,2018-10-09T19:15:24Z,1,,328.13916666666665,1,119,Merged
Downloader using python.,2018-10-01T20:21:28Z,,2018-12-12T11:25:01Z,2,,1719.0591666666667,1,23,Closed
Add Python WebCrawler,2018-10-02T19:11:27Z,,2019-03-09T22:58:53Z,2,,3795.7905555555553,1,0,Closed
Update README.md,2018-10-03T10:10:52Z,,2018-10-04T03:39:22Z,2,,17.475,1,22,Closed
Add SquirrellyJS,2018-10-03T13:58:59Z,2019-03-09T23:20:04Z,2019-03-09T23:20:04Z,1,,3777.351388888889,1,108,Merged
Added new lightwieght library,2018-10-03T22:36:34Z,,2018-12-12T15:45:50Z,3,,1673.1544444444444,2,0,Closed
Update Readme.md,2018-10-04T15:42:12Z,2018-10-08T20:09:45Z,2018-10-08T20:09:46Z,2,,100.45916666666666,1,42,Merged
Add Gatsby.js to Javascript Section,2018-10-04T15:45:42Z,2018-10-08T20:07:46Z,2018-10-08T20:07:46Z,1,,100.36777777777777,1,0,Merged
Added New Lines,2018-10-06T09:37:54Z,,2018-10-08T19:49:09Z,4,,58.1875,1,0,Closed
Fix label tag for Twitter Util,2018-10-09T05:31:26Z,2018-10-09T19:14:22Z,2018-10-09T19:14:22Z,1,,13.715555555555556,1,126,Merged
"Add SaltStack, Python Config Mgmt",2018-10-14T06:17:21Z,,2019-09-16T19:07:36Z,1,,8100.8375,1,130,Closed
Fixing Hanami link,2018-10-20T22:10:30Z,2019-02-11T17:01:35Z,2019-02-11T17:01:35Z,1,,2730.851388888889,1,0,Merged
I added two dots,2018-10-21T23:29:09Z,,2018-12-12T15:19:57Z,2,,1239.8466666666666,1,16,Closed
Added opsdroid,2018-10-22T17:48:04Z,2019-04-09T17:21:49Z,2019-04-09T17:21:49Z,2,,4055.5625,1,114,Merged
basic code in Python,2018-10-23T07:43:53Z,,2018-12-12T15:21:45Z,1,,1207.631111111111,1,0,Closed
my-edits,2018-10-24T11:53:58Z,,2018-10-24T14:16:32Z,2,,2.3761111111111113,1,0,Closed
Update CONTIRBUTING.md,2018-10-24T14:08:56Z,,2018-12-12T15:22:16Z,2,,1177.2222222222222,1,22,Closed
Add laravel framework link to readme,2018-10-26T21:15:48Z,,2019-06-03T09:15:56Z,1,,5268.002222222222,1,0,Closed
contibuted.md,2018-10-27T06:46:46Z,,2018-12-12T15:18:21Z,1,,1112.526388888889,1,0,Closed
Added Zen Audio Player project for first timer to contribute,2018-10-27T06:59:59Z,,2019-09-16T11:20:55Z,1,,7780.348888888889,1,95,Closed
read.me,2018-10-27T07:05:53Z,,2018-12-12T15:09:46Z,1,,1112.0647222222221,1,0,Closed
Add flask: one of the most popular web framework for python,2018-10-29T01:44:53Z,,2019-09-16T19:10:00Z,4,,7745.418611111111,1,64,Closed
Update CONTRIBUTING.md,2018-10-31T15:20:47Z,,2018-12-12T15:17:23Z,1,,1007.9433333333334,1,0,Closed
Create Versatile logging.md,2018-10-31T16:10:33Z,,2018-12-12T15:21:18Z,1,,1007.1791666666667,1,44,Closed
Add Ruby-Fundamental to Ruby Section,2018-11-01T16:36:46Z,,2019-08-04T17:01:17Z,2,,6624.408611111111,1,193,Closed
Add pandas,2018-11-04T16:53:07Z,2019-08-27T09:27:47Z,2019-08-27T09:27:47Z,2,,7096.577777777778,1,45,Merged
"Add Ansible Example, python",2018-11-08T18:42:57Z,,2019-03-09T22:32:15Z,1,,2907.8216666666667,1,0,Closed
fork demo,2018-11-10T15:45:05Z,,2018-12-12T15:10:35Z,1,,767.425,1,49,Closed
Add table of content.,2018-11-13T11:02:53Z,2018-12-16T08:04:13Z,2018-12-16T08:04:13Z,3,,789.0222222222222,1,0,Merged
Add two projects: TiDB for go and TiKV for Rust,2018-11-28T02:23:35Z,2019-09-16T11:25:41Z,2019-09-16T11:25:41Z,6,,7017.035,1,0,Merged
Adds wemake-python-styleguide,2018-12-07T08:12:58Z,2019-03-09T23:22:37Z,2019-03-09T23:22:37Z,2,,2223.1608333333334,1,365,Merged
Add CiviWiki,2018-12-13T08:36:55Z,2019-02-11T17:10:14Z,2019-02-11T17:10:14Z,1,APPROVED,1448.5552777777777,1,0,Merged
Add VPN@Home project,2018-12-15T22:43:56Z,2019-09-16T11:15:10Z,2019-09-16T11:15:10Z,3,,6588.520555555556,1,0,Merged
feat: added `create-aio-app`,2018-12-24T23:22:09Z,2019-10-14T13:42:29Z,2019-10-14T13:42:29Z,3,,7046.3388888888885,1,0,Merged
Update beginner label for pytest,2019-01-10T19:37:53Z,2019-02-11T17:21:54Z,2019-02-11T17:21:54Z,1,,765.7336111111111,1,63,Merged
Add Video Hub App to JavaScript list,2019-01-11T16:32:19Z,2019-10-14T13:46:44Z,2019-10-14T13:46:44Z,4,,6621.240277777778,1,234,Merged
add docker cli for beginner level,2019-01-13T10:14:20Z,2019-06-12T13:26:42Z,2019-06-12T13:26:42Z,4,,3603.206111111111,1,0,Merged
projectM,2019-01-22T09:49:17Z,2019-02-11T16:57:23Z,2019-02-11T16:57:23Z,3,,487.135,1,0,Merged
Add vegeta-server under Go,2019-01-22T18:27:38Z,,2019-10-28T18:36:42Z,2,,6696.151111111111,1,87,Closed
Add Decidim,2019-01-28T16:44:59Z,,2019-03-09T23:07:56Z,1,,966.3825,1,99,Closed
Hi I add some my of document,2019-02-07T08:50:23Z,,2019-02-11T16:52:47Z,1,,104.04,1,21,Closed
Changed brave-laptop to brave-browser.,2019-02-17T06:15:14Z,2019-03-14T14:24:35Z,2019-03-14T14:24:35Z,7,,608.1558333333334,1,158,Merged
readMi,2019-02-19T15:15:12Z,,2019-02-20T09:36:54Z,3,,18.361666666666668,2,103,Closed
"Hey, I add some of code",2019-02-20T06:38:56Z,,2019-02-20T09:35:36Z,1,,2.9444444444444446,1,0,Closed
add fitPlant,2019-02-24T19:52:14Z,,2019-09-16T11:00:35Z,2,,4887.139166666667,1,36,Closed
"Add React Native, A framework for building native apps with React.",2019-02-24T21:24:06Z,2019-03-26T14:32:55Z,2019-03-26T14:32:55Z,2,,713.1469444444444,1,0,Merged
Add Git Started,2019-02-26T05:48:10Z,,2019-09-16T11:09:46Z,4,,4853.36,1,60,Closed
Added HoneyBot,2019-03-05T13:24:04Z,,2019-09-16T11:31:31Z,1,,4678.1241666666665,1,0,Closed
add html and css,2019-03-06T09:33:07Z,,2019-03-09T23:02:13Z,1,,85.485,1,137,Closed
Adding opensuse projects to the ruby section,2019-03-22T12:57:10Z,2019-04-02T10:06:25Z,2019-04-02T10:06:25Z,1,,261.15416666666664,1,0,Merged
add to contributing,2019-03-24T15:24:26Z,,2019-03-29T18:51:40Z,1,,123.45388888888888,1,24,Closed
EISK: Added new beginner project on asp.net core.,2019-04-05T09:57:41Z,,2019-10-14T13:53:27Z,1,,4611.929444444444,1,279,Closed
Update Botpress label,2019-04-07T02:14:32Z,2019-04-08T07:27:10Z,2019-04-08T07:27:10Z,1,,29.210555555555555,1,64,Merged
Added PyJudge to Python,2019-04-08T19:45:47Z,,2019-10-28T18:36:40Z,2,,4870.848055555555,1,148,Closed
Add Brazilian version - free translation CONTRIBUTING.md,2019-04-13T20:08:07Z,,2019-04-14T09:19:54Z,1,,13.196388888888889,2,80,Closed
