title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add React Interview Questions,2017-01-07T14:16:07Z,2017-01-07T17:14:24Z,2017-01-07T17:14:24Z,1,REVIEW_REQUIRED,2.971388888888889,1,0,Merged
unnecessary promotion of Toptals slogan,2018-11-01T19:18:56Z,2019-01-08T12:13:33Z,2019-01-08T12:13:33Z,1,REVIEW_REQUIRED,1624.9102777777778,1,0,Merged
Add android interview,2019-10-04T13:51:38Z,2019-10-15T12:58:02Z,2019-10-15T12:58:02Z,1,REVIEW_REQUIRED,263.1066666666667,1,0,Merged
added a link to Data Science section,2020-03-02T18:51:07Z,2021-03-02T03:22:49Z,2021-03-02T03:22:49Z,1,REVIEW_REQUIRED,8744.528333333334,1,76,Merged
Removing dead links,2020-05-19T19:12:23Z,2021-03-02T03:20:22Z,2021-03-02T03:20:22Z,2,REVIEW_REQUIRED,6872.133055555556,1,505,Merged
Adding Software Engineering Quiz,2020-07-07T12:34:20Z,,2021-04-19T02:46:40Z,1,REVIEW_REQUIRED,6854.205555555555,1,83,Closed
Update README.md,2020-07-15T15:38:09Z,2021-03-02T03:26:22Z,2021-03-02T03:26:22Z,2,REVIEW_REQUIRED,5507.803611111111,1,53,Merged
added latest node.js interview questions,2020-07-24T08:28:05Z,2021-04-19T02:42:42Z,2021-04-19T02:42:42Z,2,REVIEW_REQUIRED,6450.243611111111,1,0,Merged
- Added dispatch types in iOS related interview questions,2020-07-25T17:21:53Z,2021-04-13T07:27:50Z,2021-04-13T07:27:50Z,3,REVIEW_REQUIRED,6278.099166666667,1,0,Merged
Add android interview questions,2020-08-12T05:46:49Z,,2021-04-19T02:52:01Z,5,REVIEW_REQUIRED,5997.086666666667,1,40,Closed
Update README.md: Java Spring,2020-08-14T04:24:06Z,2021-04-19T02:33:04Z,2021-04-19T02:33:04Z,3,REVIEW_REQUIRED,5950.149444444444,1,77,Merged
Added Java Interview Q&A resource,2020-09-03T10:28:25Z,2021-04-19T02:24:06Z,2021-04-19T02:24:06Z,2,REVIEW_REQUIRED,5463.928055555555,1,372,Merged
Update README.md,2020-09-30T20:57:51Z,2021-04-19T02:30:01Z,2021-04-19T02:30:01Z,3,REVIEW_REQUIRED,4805.5361111111115,1,0,Merged
Update README.md,2020-10-01T01:20:02Z,2021-04-13T07:16:01Z,2021-04-13T07:16:01Z,2,REVIEW_REQUIRED,4661.933055555555,1,31,Merged
"Adds ""70 JavaScript Interview Questions""",2020-10-01T17:39:08Z,,2021-04-13T07:15:03Z,4,REVIEW_REQUIRED,4645.5986111111115,1,40,Closed
"Removing dead link ""iOS/ObjC Interview Questions""",2020-10-01T17:54:32Z,2021-03-22T07:11:42Z,2021-03-22T07:11:42Z,2,REVIEW_REQUIRED,4117.2861111111115,1,67,Merged
Adding important Ionic Questions.,2020-10-02T05:22:12Z,2021-03-02T03:05:39Z,2021-03-02T03:05:40Z,2,REVIEW_REQUIRED,3621.724166666667,1,35,Merged
Fixed broken link for Pangara's WP questions,2020-10-03T14:48:37Z,2021-03-02T03:05:11Z,2021-03-02T03:05:11Z,3,REVIEW_REQUIRED,3588.2761111111113,1,77,Merged
added one more resource in data structures section,2021-02-03T07:52:57Z,2021-03-02T03:04:37Z,2021-03-02T03:04:37Z,1,REVIEW_REQUIRED,643.1944444444445,1,0,Merged
Correction of python  interview questions count in README.md,2021-02-11T05:45:21Z,2021-03-22T07:09:38Z,2021-03-22T07:09:38Z,2,REVIEW_REQUIRED,937.4047222222222,1,40,Merged
"New resources for HTML, C, C#, Nodejs, & Docker",2021-03-11T13:40:42Z,2021-03-29T12:03:31Z,2021-03-29T12:03:31Z,1,REVIEW_REQUIRED,430.3802777777778,1,93,Merged
Added github repo link for JavaScript,2021-03-13T12:44:51Z,2021-03-22T07:05:47Z,2021-03-22T07:05:47Z,1,REVIEW_REQUIRED,210.3488888888889,1,70,Merged
Added android interview questions,2021-04-13T19:33:00Z,2021-04-19T02:19:16Z,2021-04-19T02:19:17Z,1,REVIEW_REQUIRED,126.77111111111111,1,33,Merged
docs: update years in titles of Python and Data Science,2021-04-28T08:52:07Z,2021-08-04T03:26:09Z,2021-08-04T03:26:09Z,1,REVIEW_REQUIRED,2346.5672222222224,1,190,Merged
Added New Resource To Android,2021-05-18T11:25:21Z,2021-08-04T03:27:37Z,2021-08-04T03:27:37Z,1,REVIEW_REQUIRED,1864.0377777777778,1,97,Merged
"Added New Resource for Android, Networking, etc",2021-05-31T09:22:46Z,2021-08-04T03:34:09Z,2021-08-04T03:34:09Z,1,REVIEW_REQUIRED,1554.1897222222221,1,68,Merged
Adds VueJs section,2021-06-08T16:28:34Z,2021-08-04T03:32:32Z,2021-08-04T03:32:32Z,3,REVIEW_REQUIRED,1355.066111111111,1,119,Merged
add: Docker interview questions and answers link,2021-06-21T08:51:56Z,2021-08-04T03:28:22Z,2021-08-04T03:28:22Z,1,REVIEW_REQUIRED,1050.6072222222222,1,58,Merged
Adding Spark Resource,2021-07-02T13:40:03Z,2021-08-04T03:25:23Z,2021-08-04T03:25:23Z,1,REVIEW_REQUIRED,781.7555555555556,1,209,Merged
Update a number of Toptal questions for ReactJS,2021-07-14T14:51:46Z,2021-08-04T03:24:06Z,2021-08-04T03:24:06Z,1,REVIEW_REQUIRED,492.5388888888889,1,0,Merged
Update List of Java programs for interview,2021-07-15T05:24:07Z,2021-08-04T03:23:10Z,2021-08-04T03:23:10Z,1,REVIEW_REQUIRED,477.9841666666667,1,115,Merged
Useful Link,2021-08-14T17:40:24Z,2021-11-16T18:05:15Z,2021-11-16T18:05:15Z,1,REVIEW_REQUIRED,2256.4141666666665,1,0,Merged
Update interview handbook websites,2021-09-19T11:01:27Z,2021-11-16T18:12:12Z,2021-11-16T18:12:12Z,1,REVIEW_REQUIRED,1399.1791666666666,1,110,Merged
Added resource page,2021-10-08T12:59:35Z,2021-11-16T18:45:13Z,2021-11-16T18:45:13Z,1,REVIEW_REQUIRED,941.7605555555556,1,77,Merged
Added docker interview questions resource page,2021-10-09T13:56:32Z,2021-11-16T18:45:23Z,2021-11-16T18:45:23Z,1,REVIEW_REQUIRED,916.8141666666667,1,99,Merged
Top Questions and Answer of Angular in 2021,2021-10-23T11:34:28Z,2021-11-16T18:05:56Z,2021-11-16T18:05:56Z,1,REVIEW_REQUIRED,582.5244444444445,1,0,Merged
Update README.md,2021-10-26T14:13:03Z,2021-11-16T18:05:38Z,2021-11-16T18:05:38Z,1,REVIEW_REQUIRED,507.87638888888887,1,58,Merged
Added  `nodejs`  Interview Questions link,2021-11-06T15:01:25Z,2021-11-16T18:05:32Z,2021-11-16T18:05:32Z,1,REVIEW_REQUIRED,243.06861111111112,1,200,Merged
Added `reactJS` interview question,2021-11-11T20:55:28Z,2021-11-16T18:04:50Z,2021-11-16T18:04:51Z,2,REVIEW_REQUIRED,117.15611111111112,1,0,Merged
Added `Design patterns` link,2021-11-21T04:12:31Z,,2023-05-05T14:14:09Z,1,REVIEW_REQUIRED,12730.027222222223,2,66,Closed
