title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Fixed typo,2016-10-06T10:08:17Z,2016-10-06T16:40:31Z,2016-10-06T16:40:31Z,1,,6.537222222222222,1,0,Merged
License.md Added,2016-10-06T15:49:06Z,,2016-10-06T21:20:55Z,1,,5.530277777777778,1,0,Closed
Adding more descriptive links.,2016-10-06T19:24:59Z,2016-10-06T21:25:38Z,2016-10-06T21:25:38Z,1,,2.0108333333333333,1,116,Merged
Pull request with fixed mis-formatted & Go resources,2016-10-09T01:36:16Z,2016-10-09T03:32:02Z,2016-10-09T03:32:02Z,1,,1.9294444444444445,2,39,Merged
Add a tutorial on Udemy.,2016-10-15T16:08:41Z,2016-10-16T02:17:14Z,2016-10-16T02:17:14Z,2,,10.1425,1,153,Merged
[Don't Merge yet] Spanish Translation in progress,2016-12-20T19:12:18Z,2017-05-28T17:00:33Z,2017-05-28T17:00:33Z,12,,3813.804166666667,2,682,Merged
Initial Draft of Hindi Translation,2016-12-22T05:53:09Z,2016-12-25T20:03:37Z,2016-12-25T20:03:37Z,2,,86.17444444444445,2,52,Merged
WIP: Initialization of Russian translation. Issue #87.,2016-12-23T08:07:38Z,2020-11-28T18:12:43Z,2020-11-28T18:12:43Z,3,,34474.08472222222,1,0,Merged
Hindi translation in progress,2016-12-26T09:55:48Z,2016-12-27T04:55:10Z,2016-12-27T04:55:10Z,1,,18.989444444444445,1,18,Merged
typo_fix_hn_trans,2016-12-31T13:58:21Z,,2021-07-29T15:11:02Z,3,,40105.211388888885,1,75,Closed
started,2017-01-06T05:01:41Z,,2017-01-07T18:18:30Z,1,,37.280277777777776,1,0,Closed
Thai Translation - First pull request,2017-03-04T01:18:38Z,2017-03-12T00:16:34Z,2017-03-12T00:16:34Z,9,,190.96555555555557,1,80,Merged
Updated Ukrainian translation,2017-03-11T11:10:48Z,,2017-08-23T10:08:21Z,2,,3958.9591666666665,1,29,Closed
Thai translation: Fixed typos,2017-03-14T02:40:05Z,2017-03-14T17:00:08Z,2017-03-14T17:00:08Z,1,,14.334166666666667,1,112,Merged
Add a link to help with Forking a repo,2017-03-19T14:52:34Z,2017-03-19T18:32:36Z,2017-03-19T18:32:36Z,1,,3.667222222222222,1,71,Merged
Translation: Turkish,2017-04-11T09:46:43Z,2021-07-29T16:02:39Z,2021-07-29T16:02:39Z,1,,37686.265555555554,1,28,Merged
Update some words and Adding in readme-hi.md,2017-04-29T05:30:06Z,,2024-05-03T15:58:53Z,2,,61474.47972222222,1,110,Closed
fix(gitignore): change js-style comments to shell comments,2017-06-05T10:31:08Z,2017-06-09T04:09:25Z,2017-06-09T04:09:25Z,1,,89.63805555555555,1,82,Merged
added anchor to video series,2017-06-09T14:37:40Z,2017-06-10T17:52:17Z,2017-06-10T17:52:17Z,1,,27.24361111111111,1,95,Merged
"Translate to ukrainian up to ""Lang-specific"" part",2017-10-28T12:59:11Z,,2024-05-03T15:59:15Z,3,,57099.00111111111,1,15,Closed
Feature/update vietnamese,2017-12-20T08:52:43Z,2017-12-22T03:29:47Z,2017-12-22T03:29:47Z,1,,42.617777777777775,1,192,Merged
Translation:  French #chunk4,2018-02-27T20:32:52Z,2020-10-14T15:29:35Z,2020-10-14T15:29:35Z,1,,23034.945277777777,1,164,Merged
Update book list,2018-04-06T09:32:18Z,2018-04-20T02:19:44Z,2018-04-20T02:19:44Z,1,,328.79055555555556,1,0,Merged
Hash Tables Section incorrect link,2018-10-24T19:32:15Z,,2020-02-12T05:53:16Z,4,,11410.350277777778,1,40,Closed
