title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Rename README to README.rst and enhance formatting,2017-02-10T22:41:59Z,2017-02-11T01:21:39Z,2017-02-11T01:21:39Z,8,APPROVED,2.661111111111111,2,207,Merged
bpo-29403: Fix mock's broken autospec behavior on method-bound builtin functions,2017-02-10T23:07:39Z,2017-07-20T00:01:14Z,2017-07-20T00:01:14Z,3,APPROVED,3816.8930555555557,3,803,Merged
Update Python Software Foundation Copyright Year.,2017-02-10T23:15:26Z,,2017-02-14T16:09:30Z,7,CHANGES_REQUESTED,88.9011111111111,38,113,Closed
Change some mercurial/ hg.python.org references.,2017-02-10T23:58:12Z,2017-02-16T15:18:43Z,2017-02-16T15:18:43Z,5,APPROVED,135.34194444444444,4,0,Merged
Fix some deprecation warnings in Doc/conf.py,2017-02-11T00:04:16Z,2017-02-11T04:47:38Z,2017-02-11T04:47:38Z,1,APPROVED,4.722777777777778,3,108,Merged
bpo-29474: Improve documentation for weakref.WeakValueDictionary,2017-02-11T00:24:44Z,2017-02-12T16:17:51Z,2017-02-12T16:17:51Z,1,APPROVED,39.88527777777778,1,220,Merged
bpo-29474: Improve documentation for weakref.WeakValueDictionary,2017-02-11T00:33:40Z,2017-02-11T01:44:58Z,2017-02-11T01:44:58Z,1,APPROVED,1.1883333333333332,1,113,Merged
bpo-29524: Add Objects/call.c file,2017-02-11T00:38:46Z,2017-02-12T18:27:06Z,2017-02-12T18:27:06Z,2,APPROVED,41.80555555555556,9,369,Merged
bpo-29438: fixed use-after-free in key sharing dict,2017-02-11T02:57:19Z,2017-02-12T04:51:31Z,2017-02-12T04:51:31Z,2,APPROVED,25.903333333333332,2,0,Merged
Rename Doc/README.txt to Doc/README.rst,2017-02-11T03:38:27Z,,2017-02-15T01:01:58Z,6,CHANGES_REQUESTED,93.39194444444445,3,101,Closed
Update link destination of the Mersenne Twister homepage,2017-02-11T03:55:18Z,2017-02-15T09:04:44Z,2017-02-15T09:04:44Z,1,APPROVED,101.15722222222222,1,0,Merged
Update readme,2017-02-11T05:33:36Z,2017-02-14T04:01:04Z,2017-02-14T04:01:04Z,12,APPROVED,70.45777777777778,1,252,Merged
[backport to 3.6] bpo-29474: Improve documentation for weakref.WeakValueDictionary,2017-02-11T05:49:52Z,2017-02-12T16:18:07Z,2017-02-12T16:18:07Z,1,APPROVED,34.47083333333333,1,160,Merged
[backport to 3.5] bpo-29474: Improve documentation for weakref.WeakValueDictionary,2017-02-11T05:50:14Z,2017-02-12T16:21:36Z,2017-02-12T16:21:36Z,1,APPROVED,34.522777777777776,1,160,Merged
bpo-28837: Fix lib2to3 handling of map/zip/filter,2017-02-11T08:31:12Z,2017-04-06T05:19:41Z,2017-04-06T05:19:41Z,3,,1292.8080555555555,5,477,Merged
[backport to 3.6] bpo-29529: Add .travis.yml to 3.6 branch,2017-02-11T09:15:46Z,2017-02-19T05:12:00Z,2017-02-19T05:12:00Z,1,APPROVED,187.93722222222223,1,0,Merged
[backport to 3.5] bpo-29529: Add .travis.yml to 3.5 branch,2017-02-11T09:16:07Z,2017-02-19T05:13:02Z,2017-02-19T05:13:02Z,2,APPROVED,187.94861111111112,1,0,Merged
[backport to 2.7] bpo-29529: Add .travis.yml to 2.7 branch,2017-02-11T09:19:24Z,2017-02-20T00:44:54Z,2017-02-20T00:44:54Z,3,APPROVED,207.425,1,0,Merged
bpo-28556: Various updates to typing,2017-02-11T11:53:37Z,2017-02-13T21:50:14Z,2017-02-13T21:50:15Z,2,APPROVED,57.94361111111111,4,299,Merged
Allow up to a 0.01% drop in coverage,2017-02-11T16:21:25Z,2017-02-13T04:21:20Z,2017-02-13T04:21:20Z,2,APPROVED,35.99861111111111,1,171,Merged
"bpo-10746: ctypes: Fix PEP 3118 type codes for c_long, c_bool, c_int",2017-02-11T19:35:34Z,2017-08-28T12:08:50Z,2017-08-28T12:08:50Z,6,APPROVED,4744.554444444444,3,1631,Merged
bpo-29576: Improve some deprecations in the importlib,2017-02-12T00:22:29Z,2017-02-16T02:00:32Z,2017-02-16T02:00:32Z,4,APPROVED,97.63416666666667,5,666,Merged
Add Python version since deprecation in base64 methods.,2017-02-12T00:32:35Z,2017-03-02T14:21:27Z,2017-03-02T14:21:27Z,2,APPROVED,445.81444444444446,3,154,Merged
bpo-29026: Clarify documentation of time.time,2017-02-12T02:41:22Z,2017-02-16T10:00:46Z,2017-02-16T10:00:46Z,11,APPROVED,103.32333333333334,1,312,Merged
bpo-28929: Link the documentation to its source file on GitHub,2017-02-12T03:50:00Z,2017-02-12T21:07:06Z,2017-02-12T21:07:06Z,1,APPROVED,17.285,1,86,Merged
[backport to 3.5] bpo-28929: Link the documentation to its source file on GitHub,2017-02-12T03:54:49Z,2017-02-12T21:08:01Z,2017-02-12T21:08:01Z,2,APPROVED,17.22,1,158,Merged
[backport to 3.6] bpo-28929: Link the documentation to its source file on GitHub,2017-02-12T03:55:17Z,2017-02-12T21:08:25Z,2017-02-12T21:08:25Z,3,APPROVED,17.218888888888888,1,158,Merged
[backport to 2.7] bpo-28929: Link the documentation to its source file on GitHub,2017-02-12T04:05:08Z,2017-02-12T21:07:34Z,2017-02-12T21:07:34Z,2,APPROVED,17.040555555555557,1,86,Merged
[backport to 3.6] bpo-29438: fixed use-after-free in key sharing dict,2017-02-12T05:11:17Z,2017-02-13T00:19:05Z,2017-02-13T00:19:06Z,2,APPROVED,19.13,2,0,Merged
