title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Don't assume the project is hosted at the root,2016-07-22T19:17:34Z,2016-07-24T23:07:33Z,2016-07-24T23:07:33Z,1,,51.83305555555555,3,104,Merged
server-side render POC,2016-07-25T13:41:06Z,,2016-07-25T19:50:28Z,1,,6.1561111111111115,16,379,Closed
Add support for a static folder,2016-07-26T18:50:36Z,,2016-09-22T19:14:26Z,1,,1392.3972222222221,4,161,Closed
Creating a new app in the current directory,2016-08-05T01:24:22Z,2016-08-08T04:05:58Z,2016-08-08T04:05:58Z,4,,74.69333333333333,4,17,Merged
Add new github docs folder hosting option,2016-08-31T04:13:46Z,,2016-09-17T22:09:20Z,2,,425.9261111111111,2,515,Closed
Added instructions for using local images,2016-09-05T19:00:26Z,,2016-09-21T14:52:48Z,1,,379.8727777777778,1,16,Closed
fix: Use css sourceMaps in development,2016-09-05T20:11:00Z,,2016-09-27T14:21:52Z,1,,522.1811111111111,1,129,Closed
Proxy: add websocket support,2016-09-07T01:35:07Z,,2016-09-30T12:49:09Z,2,,563.2338888888889,1,0,Closed
Check the app name before proceeding.,2016-09-11T15:41:22Z,2016-09-11T22:53:56Z,2016-09-11T22:53:57Z,5,,7.209444444444444,1,12,Merged
Make --scripts-version work with forked react-scripts,2016-09-12T11:18:43Z,2016-09-18T08:03:05Z,2016-09-18T08:03:05Z,2,,140.73944444444444,1,21,Merged
"Crash the app if does not find index.html, index.js or favico.ico",2016-09-15T15:49:30Z,,2016-09-18T08:27:31Z,1,,64.63361111111111,4,275,Closed
Reload app when `paths.appHtml` changes #656,2016-09-15T21:27:56Z,,2016-09-30T12:28:45Z,1,,351.0136111111111,1,0,Closed
Add audio support in url loader,2016-09-17T13:51:15Z,2016-09-17T19:20:49Z,2016-09-17T19:20:49Z,2,,5.4927777777777775,4,0,Merged
Add notes on enabling Travis CI for created repo,2016-09-18T21:10:21Z,2016-09-23T11:00:46Z,2016-09-23T11:00:46Z,2,,109.84027777777777,1,1467,Merged
Add test for special scripts versions,2016-09-19T05:44:11Z,2016-09-19T07:51:25Z,2016-09-19T07:51:25Z,3,,2.1205555555555557,1,63,Merged
Create a shareable ESLint configuration package,2016-09-20T21:26:51Z,2016-09-21T14:08:02Z,2016-09-21T14:08:02Z,15,,16.68638888888889,12,918,Merged
Document existing work-around for absolute imports.,2016-09-21T14:29:45Z,,2016-11-20T19:11:38Z,3,,1444.6980555555556,1,440,Closed
Reads CDN_URL to populate webpack publicPath,2016-09-21T16:05:10Z,,2016-09-30T12:58:15Z,6,,212.88472222222222,2,210,Closed
Load environment file in development,2016-09-21T20:24:36Z,2016-09-23T10:59:38Z,2016-09-23T10:59:38Z,9,,38.583888888888886,6,541,Merged
Add JSX source transform for better warnings,2016-09-23T13:31:20Z,2016-09-23T15:53:22Z,2016-09-23T15:53:22Z,7,,2.3672222222222223,2,557,Merged
Extract some utilities into a separate package,2016-09-23T17:20:41Z,2016-09-23T19:53:09Z,2016-09-23T19:53:09Z,3,,2.5411111111111113,21,44,Merged
Include some advice on using styles,2016-09-24T11:44:46Z,,2016-11-20T19:18:23Z,4,,1375.5602777777779,2,303,Closed
Warns when the user is using special webpack syntax,2016-09-24T11:54:15Z,,2016-09-30T12:42:41Z,1,,144.8072222222222,3,310,Closed
Add Storybook to the user guide,2016-09-24T13:46:39Z,2016-11-20T19:15:59Z,2016-11-20T19:16:00Z,14,,1373.4888888888888,1,234,Merged
Add syntax error overlay in development,2016-09-25T00:28:42Z,2016-09-25T10:31:11Z,2016-09-25T10:31:11Z,5,,10.04138888888889,6,396,Merged
Forked react-scripts should retain the binary name,2016-09-25T18:50:51Z,2016-09-25T22:31:53Z,2016-09-25T22:31:54Z,3,,3.6838888888888888,2,12,Merged
Beaufity output of eject.js script,2016-09-26T18:59:00Z,2016-09-30T17:39:24Z,2016-09-30T17:39:24Z,8,,94.67333333333333,1,732,Merged
Document forking react-scripts instead of ejecting,2016-09-27T11:10:02Z,,2018-01-08T14:17:15Z,22,,11235.120277777778,1,884,Closed
explicitly mention that app reloads via full page reloads,2016-09-30T12:37:32Z,,2016-10-23T13:49:58Z,2,,553.2072222222222,1,246,Closed
Define process.env as object,2016-09-30T15:40:25Z,2016-09-30T17:06:26Z,2016-09-30T17:06:26Z,2,,1.4336111111111112,2,72,Merged
Fix some typos,2016-10-01T03:06:54Z,2016-10-01T09:13:43Z,2016-10-01T09:13:43Z,3,,6.113611111111111,7,76,Merged
add logging of existing default port process on start,2016-10-01T18:31:46Z,2016-11-22T20:44:22Z,2016-11-22T20:44:22Z,11,,1250.21,4,1005,Merged
"Promote ""React must be in scope"" to be an error",2016-10-02T18:07:51Z,2016-10-03T11:37:35Z,2016-10-03T11:37:35Z,1,,17.495555555555555,1,494,Merged
Support passing scoped package names to --scripts-version arg,2016-10-03T03:25:23Z,2016-10-11T11:38:45Z,2016-10-11T11:38:45Z,5,,200.22277777777776,1,206,Merged
Update instructions on publishing to GitHub pages,2016-10-04T11:26:35Z,2016-10-04T12:34:41Z,2016-10-04T12:34:41Z,3,,1.135,2,137,Merged
favicon.ico spelled incorrectly in index.html,2016-10-04T20:51:18Z,2016-10-04T21:54:35Z,2016-10-04T21:54:35Z,1,,1.0547222222222221,1,0,Merged
Dispose error overlay when linting errors have been corrected,2016-10-05T19:47:05Z,2016-10-11T11:44:58Z,2016-10-11T11:44:58Z,2,,135.96472222222224,1,131,Merged
Exit production build if any errors are in build stats,2016-10-06T01:34:19Z,2016-10-07T14:12:53Z,2016-10-07T14:12:53Z,2,,36.64277777777778,1,427,Merged
Fix using pre-release tags with a tarball url in `--scripts-version`,2016-10-09T02:05:47Z,2016-10-12T12:46:14Z,2016-10-12T12:46:14Z,8,,82.67416666666666,1,1350,Merged
Disable ES2015 transforms based on node version using babel-preset-env,2016-10-09T11:54:22Z,2016-10-11T11:25:43Z,2016-10-11T11:25:43Z,3,,47.5225,2,12,Merged
Adds recipe for adding React Router (v4) to README template,2016-10-11T00:37:44Z,,2017-04-23T19:23:24Z,1,,4674.761111111111,2,87,Closed
Create asset filenames mapping on the build output,2016-10-11T13:18:54Z,2016-10-11T14:19:52Z,2016-10-11T14:19:52Z,3,,1.0161111111111112,2,738,Merged
Enable useBuiltIns option on object-rest-spread,2016-10-13T22:54:59Z,2016-11-21T22:08:58Z,2016-11-21T22:08:58Z,2,,935.2330555555556,3,75,Merged
Added Rails link to User Guide,2016-10-17T14:12:28Z,,2017-01-23T19:04:23Z,1,,2356.865277777778,43,84,Closed
add information about React-styleguidist,2016-10-17T22:27:46Z,,2017-02-24T19:55:18Z,2,,3117.458888888889,1,1403,Closed
Lerna update README hack,2016-10-18T21:33:34Z,,2017-02-11T23:01:45Z,2,,2785.469722222222,2,98,Closed
Document what npm build does and pushState,2016-10-19T22:18:15Z,2016-12-05T21:57:54Z,2016-12-05T21:57:54Z,4,,1127.6608333333334,1,399,Merged
Add support for `PUBLIC_URL` env variable,2016-10-20T15:39:55Z,,2017-02-10T04:16:44Z,14,,2700.613611111111,13,544,Closed
Crash the build during CI whenever linter warnings are encountered,2016-10-22T14:26:10Z,2016-12-03T12:39:30Z,2016-12-03T12:39:30Z,3,,1006.2222222222222,2,833,Merged
Always build before deploying to gh-pages,2016-10-25T11:23:14Z,2016-10-28T12:51:06Z,2016-10-28T12:51:06Z,3,,73.46444444444444,1,618,Merged
Added info on using global variables.,2016-10-28T13:00:54Z,2016-11-20T19:29:45Z,2016-11-20T19:29:45Z,3,,558.4808333333333,1,16,Merged
Explain the usage of react-jsx-source & react-jsx-self,2016-10-30T16:48:53Z,2016-11-17T12:54:12Z,2016-11-17T12:54:12Z,1,,428.0886111111111,1,133,Merged
Add SASS support documentation #1007,2016-11-04T11:27:22Z,2017-02-12T00:38:59Z,2017-02-12T00:38:59Z,14,,2389.1936111111113,1,286,Merged
Add BuildProgressPlugin,2016-11-05T01:44:49Z,,2018-01-09T12:58:16Z,9,,10331.224166666667,3,93,Closed
add webpack-env-define-plugin package,2016-11-09T23:48:02Z,,2017-02-24T18:56:00Z,8,,2563.132777777778,6,260,Closed
Add support for non-interactive terminal,2016-11-10T11:34:20Z,2016-11-23T21:36:01Z,2016-11-23T21:36:01Z,9,,322.02805555555557,1,20,Merged
Use url-loader with limit 10k as a default loader.,2016-11-18T09:46:53Z,2016-11-20T22:00:10Z,2016-11-20T22:00:10Z,17,,60.22138888888889,3,138,Merged
Add instructions to use flow-typed,2016-11-20T20:25:29Z,,2016-12-13T16:02:27Z,1,,547.6161111111111,1,0,Closed
Remove bundledDependencies,2016-11-20T22:18:09Z,2016-11-21T11:26:07Z,2016-11-21T11:26:07Z,5,,13.132777777777777,6,137,Merged
