title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
adjust_size and pack image,2017-09-10T05:01:25Z,2017-09-10T15:55:19Z,2017-09-10T15:55:19Z,1,,10.898333333333333,7,0,Merged
Remove unused definitions,2017-09-22T07:06:50Z,2017-09-22T23:16:45Z,2017-09-22T23:16:45Z,2,,16.165277777777778,2,0,Merged
Add Kaggle pipeline for cifar-10,2017-10-04T11:31:53Z,2017-10-09T23:56:28Z,2017-10-09T23:56:28Z,11,,132.40972222222223,8,0,Merged
Small sync for chapter_preface/preface.md,2017-10-15T06:32:52Z,2017-10-17T22:39:12Z,2017-10-17T22:39:12Z,3,,64.10555555555555,1,0,Merged
"Sync chapter_crashcourse/introduction, part 1",2017-10-16T02:06:23Z,2017-10-17T04:54:31Z,2017-10-17T04:54:31Z,2,,26.802222222222223,1,0,Merged
Chapter_crashhourse/introduction.md part2 sync,2017-10-18T08:18:36Z,2017-10-19T23:08:05Z,2017-10-19T23:08:05Z,2,,38.82472222222222,3,0,Merged
Sync chapter_01/ndarray,2017-10-31T06:58:46Z,2017-11-04T22:36:54Z,2017-11-04T22:36:54Z,5,,111.63555555555556,2,0,Merged
Sync chapter_01/autograd,2017-11-01T05:21:22Z,2017-11-08T19:53:53Z,2017-11-08T19:53:53Z,4,,182.54194444444445,1,24,Merged
Sync chapter_02/linger-regression-scratch,2017-11-02T06:45:55Z,2017-11-08T19:53:31Z,2017-11-08T19:53:31Z,2,,157.12666666666667,2,0,Merged
Revise regularization notebooks and minor update for batch norm,2017-11-29T22:26:27Z,2017-12-14T15:55:47Z,2017-12-14T15:55:47Z,1,,353.4888888888889,4,0,Merged
This is mainly to fix some typos in FCN,2018-03-14T06:47:14Z,2018-03-14T18:16:14Z,2018-03-14T18:16:14Z,1,,11.483333333333333,2,0,Merged
Using fine-tuned model in Kaggle Dog competition,2018-03-28T18:16:05Z,2018-03-29T00:10:46Z,2018-03-29T00:10:46Z,2,,5.911388888888889,4,100,Merged
Fixed an outdated link that is 404ing,2018-04-03T21:48:34Z,2018-04-03T23:22:44Z,2018-04-03T23:22:44Z,2,,1.5694444444444444,1,52,Merged
fix fine-tune,2018-04-11T18:57:40Z,2018-04-12T01:02:13Z,2018-04-12T01:02:13Z,1,,6.075833333333334,1,0,Merged
Update block.md,2018-05-03T05:36:03Z,2018-05-03T18:15:46Z,2018-05-03T18:15:46Z,2,,12.661944444444444,1,0,Merged
update block,2018-05-03T23:37:59Z,2018-05-06T19:55:36Z,2018-05-06T19:55:36Z,1,,68.2936111111111,7,0,Merged
Change tokenizer in sentiment analysis example,2018-05-08T05:17:12Z,2018-05-10T02:02:46Z,2018-05-10T02:02:46Z,1,,44.75944444444445,1,130,Merged
add spacy in sentiment analysis exercise,2018-05-10T22:17:36Z,2018-05-14T18:36:02Z,2018-05-14T18:36:02Z,1,,92.30722222222222,1,40,Merged
"Minor changes for Chapter 2, Section 8.4 and Section 8.5",2018-06-01T20:20:21Z,2018-06-02T16:10:40Z,2018-06-02T16:10:40Z,1,,19.83861111111111,1,12,Merged
autograd,2018-06-10T17:01:55Z,2018-06-16T23:54:14Z,2018-06-16T23:54:14Z,1,,150.87194444444444,1,11,Merged
linear reg scratch,2018-06-10T18:20:23Z,2018-06-28T20:45:30Z,2018-06-28T20:45:30Z,1,,434.4186111111111,1,56,Merged
Improve NLP chapter,2018-06-19T06:48:00Z,2018-06-27T00:13:44Z,2018-06-27T00:13:44Z,2,,185.42888888888888,8,49,Merged
"comments for ch1&2, don't merge",2018-07-05T00:50:24Z,,2018-07-18T23:04:02Z,1,,334.2272222222222,4,0,Closed
add sentiment-analysis-cnn,2018-07-05T19:29:04Z,2018-07-15T01:31:22Z,2018-07-15T01:31:22Z,7,,222.03833333333333,7,0,Merged
comments for rnn,2018-07-15T23:07:40Z,,2018-09-07T21:01:49Z,1,,1293.9025,6,12,Closed
sentiment-analysis multiple gpus,2018-07-25T17:31:20Z,2018-07-26T20:57:59Z,2018-07-26T20:57:59Z,1,,27.444166666666668,2,0,Merged
更改Notebook首字母,2018-08-03T05:01:48Z,2018-08-03T17:51:13Z,2018-08-03T17:51:13Z,2,,12.823611111111111,1,13,Merged
Add the difference between training and predicting under Autograd,2018-08-07T05:09:08Z,2018-08-13T21:28:55Z,2018-08-13T21:28:55Z,3,,160.32972222222222,2,67,Merged
Fix Gram matrix,2018-08-09T13:29:16Z,,2018-10-26T17:22:00Z,4,,1875.878888888889,1,261,Closed
fix how-to-use.md,2018-08-10T03:02:24Z,2018-08-10T19:35:26Z,2018-08-10T19:35:26Z,2,,16.550555555555555,1,0,Merged
fix install.md,2018-08-11T04:16:48Z,2018-08-12T16:53:44Z,2018-08-12T16:53:44Z,1,,36.61555555555555,1,0,Merged
revise subscript i->n,2018-08-27T09:26:51Z,2018-08-28T21:18:35Z,2018-08-28T21:18:35Z,2,,35.86222222222222,1,0,Merged
发现错误【真是一本好书，为可以贡献自己的一份力而自豪！】,2018-09-01T10:33:29Z,2018-09-01T14:07:34Z,2018-09-01T14:07:34Z,7,,3.5680555555555555,3,112,Merged
revise typos and polish,2018-09-02T12:15:00Z,2018-09-03T00:20:39Z,2018-09-03T00:20:39Z,1,,12.094166666666666,2,0,Merged
revise typos and polish,2018-09-03T07:32:21Z,2018-09-04T00:18:46Z,2018-09-04T00:18:47Z,2,,16.773611111111112,2,0,Merged
修改附录里面的几个数学符号的写法,2018-09-20T16:24:08Z,,2018-09-26T07:26:54Z,2,,135.04611111111112,2,0,Closed
Tweak fcn section,2018-10-30T20:22:09Z,2018-10-30T23:03:20Z,2018-10-30T23:03:20Z,2,,2.6863888888888887,1,0,Merged
fix typo,2018-12-02T07:48:13Z,,2018-12-03T05:01:44Z,3,,21.225277777777777,1,8,Closed
提醒读者set操作可能得到不同的结果,2018-12-07T06:27:04Z,,2018-12-10T10:55:31Z,4,,76.47416666666666,2,0,Closed
Update the description & comment,2018-12-12T03:00:14Z,2018-12-12T07:37:23Z,2018-12-12T07:37:23Z,2,,4.619166666666667,2,107,Merged
错别字,2018-12-16T13:44:59Z,,2018-12-17T04:19:22Z,1,,14.573055555555555,1,0,Closed
[WIP] natural language inference,2019-07-12T17:54:14Z,,2019-09-05T02:10:36Z,44,,1304.2727777777777,91,0,Closed
[WIP] Bert,2019-08-12T22:33:29Z,,2019-09-05T02:10:50Z,12,,555.6225,93,0,Closed
Natural Language Understanding,2019-09-18T13:12:33Z,2019-12-10T01:25:28Z,2019-12-10T01:25:28Z,4,,1980.2152777777778,2,0,Merged
WordPiece,2019-10-21T23:56:38Z,2019-12-17T19:27:42Z,2019-12-17T19:27:42Z,15,,1363.5177777777778,1,0,Merged
add text.py,2020-06-16T01:22:05Z,,2020-06-23T19:16:03Z,5,,185.89944444444444,6,0,Closed
[MRG] Linear Neural Networks/Linear Regression,2020-08-02T22:14:46Z,2020-08-13T22:08:09Z,2020-08-13T22:08:09Z,37,,263.88972222222225,1,0,Merged
[MRG] Linear Neural Networks/Linear Regression Implementation from Scratch,2020-08-02T22:16:23Z,2020-08-13T22:09:22Z,2020-08-13T22:09:22Z,11,,263.88305555555553,1,0,Merged
[MRG] Linear Neural Networks/Concise Implementation of Linear Regression,2020-08-02T22:19:52Z,2020-08-13T22:09:14Z,2020-08-13T22:09:15Z,14,,263.8227777777778,1,0,Merged
[MRG] Linear Neural Networks/Softmax Regression,2020-08-02T22:23:08Z,2020-08-13T22:08:24Z,2020-08-13T22:08:24Z,34,,263.75444444444446,1,0,Merged
[MRG] Linear Neural Networks/The Image Classification Dataset,2020-08-02T22:24:08Z,2020-08-13T22:08:31Z,2020-08-13T22:08:31Z,7,,263.7397222222222,1,0,Merged
[MRG] Linear Neural Networks/Implementation of Softmax Regression from Scratch,2020-08-02T22:25:50Z,2020-08-13T22:08:38Z,2020-08-13T22:08:38Z,15,,263.7133333333333,1,0,Merged
[MRG] Linear Neural Networks/Concise Implementation of Softmax Regression,2020-08-02T22:28:22Z,2020-08-13T22:08:45Z,2020-08-13T22:08:45Z,5,,263.67305555555555,1,0,Merged
[MRG] Notation,2020-08-03T19:05:11Z,2020-08-12T23:12:50Z,2020-08-12T23:12:50Z,5,,220.1275,1,0,Merged
[WIP] CNN index initial translation,2020-10-18T22:16:16Z,,2020-10-25T19:26:33Z,15,,165.17138888888888,13,0,Closed
CNN index.md,2020-10-25T19:26:14Z,2020-12-15T17:17:33Z,2020-12-15T17:17:33Z,5,,1221.8552777777777,1,0,Merged
CNN Why-conv,2020-10-25T22:15:05Z,2020-12-14T19:06:27Z,2020-12-14T19:06:27Z,14,,1196.8561111111112,1,0,Merged
modified:   chapter_installation/index.md,2020-10-31T06:15:37Z,2020-11-12T15:38:47Z,2020-11-12T15:38:47Z,1,,297.3861111111111,1,29,Merged
CNN Conv-layer,2020-11-23T18:43:56Z,2020-12-15T17:18:01Z,2020-12-15T17:18:01Z,3,,526.5680555555556,1,0,Merged
CNN Padding,2020-11-29T23:23:53Z,2020-12-16T15:05:35Z,2020-12-16T15:05:35Z,6,,399.695,1,0,Merged
CNN channels.md,2020-12-04T04:45:14Z,2020-12-29T02:07:42Z,2020-12-29T02:07:42Z,3,,597.3744444444444,1,0,Merged
CNN Pooling,2020-12-06T21:10:06Z,2020-12-31T21:29:59Z,2020-12-31T21:29:59Z,2,,600.3313888888889,1,0,Merged
Lenet,2020-12-08T05:19:46Z,2020-12-29T02:10:09Z,2020-12-29T02:10:09Z,3,,500.83972222222224,1,0,Merged
