title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
[WIP] use wildcard to check test outputs,2018-05-29T09:44:18Z,2018-05-30T12:33:56Z,2018-05-30T12:33:56Z,2,APPROVED,26.827222222222222,10,0,Merged
Implement FileWrite,2018-05-29T11:55:17Z,,2018-06-22T13:33:24Z,3,,577.6352777777778,5,0,Closed
Remove hand crafted types for text-encoding,2018-05-29T16:16:58Z,2018-06-01T20:20:34Z,2018-06-01T20:20:34Z,9,,76.06,4,645,Merged
[WIP] Init Dockerfile,2018-05-30T13:28:50Z,,2018-06-01T15:06:42Z,8,,49.63111111111111,2,81,Closed
Remove extra out argument sent to Parcel and reduce logging in output,2018-05-30T18:29:36Z,2018-05-31T00:03:11Z,2018-05-31T00:03:11Z,2,APPROVED,5.559722222222222,1,196,Merged
Update compile instructions in README,2018-05-31T04:09:45Z,,2018-05-31T14:04:38Z,1,,9.914722222222222,1,125,Closed
"optimize the timer ts impl, and correct the duration if less than 10",2018-05-31T15:31:38Z,2018-05-31T21:39:45Z,2018-05-31T21:39:45Z,16,,6.135277777777778,3,211,Merged
Rename LICENSE,2018-05-31T17:31:17Z,2018-05-31T21:17:33Z,2018-05-31T21:17:33Z,1,,3.7711111111111113,1,125,Merged
Enhance README,2018-05-31T18:35:23Z,2018-05-31T21:32:03Z,2018-05-31T21:32:03Z,2,,2.9444444444444446,1,240,Merged
Use docker for local development,2018-06-01T05:44:18Z,,2018-06-22T13:34:24Z,3,,511.835,5,4744,Closed
update build step ,2018-06-01T06:15:38Z,,2018-06-01T18:36:05Z,1,,12.340833333333334,1,32,Closed
Avoid apply and move arrayToStr to util,2018-06-01T09:07:55Z,2018-06-04T06:56:58Z,2018-06-04T06:56:58Z,2,,69.8175,2,133,Merged
format runtime.ts,2018-06-01T09:29:16Z,2018-06-01T18:33:17Z,2018-06-01T18:33:17Z,1,,9.066944444444445,1,0,Merged
[fix] fix some code to satisfied tslint,2018-06-01T12:39:17Z,2018-06-04T06:59:02Z,2018-06-04T06:59:02Z,2,APPROVED,66.32916666666667,3,271,Merged
docs: add issue template,2018-06-01T14:02:51Z,,2018-06-01T18:34:59Z,1,,4.535555555555556,1,82,Closed
Check if prettier is run in lint task,2018-06-01T16:24:44Z,,2018-06-04T07:03:43Z,1,,62.64972222222222,2,71,Closed
feat: ( os ) Implement FileStateSync and test in test.ts,2018-06-02T00:49:10Z,,2018-06-22T13:35:46Z,8,,492.77666666666664,7,0,Closed
fix typescript warning,2018-06-02T05:21:51Z,2018-06-04T07:06:42Z,2018-06-04T07:06:42Z,1,,49.7475,1,82,Merged
