title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
adding new Linux answers,2019-10-20T19:02:36Z,2019-10-21T13:36:56Z,2019-10-21T13:36:56Z,2,CHANGES_REQUESTED,18.572222222222223,1,18,Merged
Added SQL questions to the ReadME,2019-10-21T03:51:54Z,2019-10-21T08:16:07Z,2019-10-21T08:16:07Z,1,APPROVED,4.403611111111111,2,148,Merged
add Python 'Error' question + answer + Exception ansers,2019-10-22T11:28:06Z,2019-10-22T12:59:56Z,2019-10-22T12:59:56Z,1,,1.5305555555555554,1,0,Merged
SQL Questions and Answers,2019-10-22T12:10:39Z,,2019-10-23T17:07:49Z,1,CHANGES_REQUESTED,28.95277777777778,1,46,Closed
Python Question and Answers,2019-10-22T12:16:29Z,,2019-10-23T16:52:54Z,3,CHANGES_REQUESTED,28.606944444444444,1,30,Closed
Add Network Question and Answers,2019-10-22T12:23:31Z,,2019-10-23T16:21:08Z,1,CHANGES_REQUESTED,27.960277777777776,1,44,Closed
Answered 8th beginner python question,2019-10-22T16:18:14Z,2019-10-22T21:09:19Z,2019-10-22T21:09:19Z,3,,4.851388888888889,1,0,Merged
Updated the Beginners Section of Terraform,2019-11-26T06:11:41Z,2019-11-28T12:38:46Z,2019-11-28T12:38:46Z,3,,54.451388888888886,1,106,Merged
Added Security Related Questions,2020-01-21T22:55:29Z,2020-01-22T07:46:49Z,2020-01-22T07:46:49Z,1,,8.855555555555556,1,157,Merged
"Added answer ""What is a AAAA Record?""",2020-03-13T01:01:47Z,2020-03-16T18:41:27Z,2020-03-16T18:41:27Z,1,CHANGES_REQUESTED,89.66111111111111,1,74,Merged
Ansible Questions Added ,2020-08-28T12:24:59Z,,2020-09-09T23:22:33Z,3,CHANGES_REQUESTED,298.95944444444444,1,72,Closed
Adding Anthos on GCP and K8s questions,2020-09-03T15:54:03Z,2020-09-07T18:05:17Z,2020-09-07T18:05:17Z,12,CHANGES_REQUESTED,98.18722222222222,1,61,Merged
Answer some DevOps questions,2020-09-09T16:19:35Z,2020-09-10T02:47:28Z,2020-09-10T02:47:28Z,4,CHANGES_REQUESTED,10.464722222222223,1,32,Merged
Update and answer devops questions,2020-09-14T07:01:33Z,2020-09-14T14:44:48Z,2020-09-14T14:44:48Z,2,CHANGES_REQUESTED,7.720833333333333,1,0,Merged
adding more networking questions,2020-09-15T04:42:24Z,2020-09-15T20:04:57Z,2020-09-15T20:04:57Z,1,CHANGES_REQUESTED,15.375833333333333,1,0,Merged
Added Cloud answers,2020-10-08T09:11:56Z,,2020-10-23T05:39:47Z,3,CHANGES_REQUESTED,356.46416666666664,1,99,Closed
Added cloud answers,2020-10-23T05:41:11Z,2020-12-22T11:45:17Z,2020-12-22T11:45:17Z,2,,1446.0683333333334,1,0,Merged
"Changes in section ""Python OS""",2021-01-22T11:33:11Z,2021-01-22T22:43:08Z,2021-01-22T22:43:08Z,5,CHANGES_REQUESTED,11.165833333333333,1,240,Merged
Added ansible exercise and solution for upgrading and updating apt packages,2021-09-24T22:58:52Z,2021-09-27T08:00:16Z,2021-09-27T08:00:16Z,3,,57.02333333333333,3,0,Merged
Updated README.md to ad the docker image build command,2021-11-03T03:11:11Z,2021-11-03T08:55:50Z,2021-11-03T08:55:50Z,1,,5.744166666666667,1,90,Merged
Add new Perl questions,2021-11-17T19:59:17Z,2021-11-18T08:16:51Z,2021-11-18T08:16:51Z,2,CHANGES_REQUESTED,12.292777777777777,2,38,Merged
Feature/new python answers,2021-11-24T00:18:40Z,2021-11-24T19:12:25Z,2021-11-24T19:12:25Z,2,CHANGES_REQUESTED,18.895833333333332,1,0,Merged
Added the answer for the question: 'How Web Servers Works',2021-12-31T17:06:11Z,2022-04-26T16:05:48Z,2022-04-26T16:05:48Z,3,CHANGES_REQUESTED,2782.993611111111,1,53,Merged
Added explanation and example of public IP address,2022-01-24T13:18:03Z,2022-03-28T13:23:34Z,2022-03-28T13:23:34Z,3,CHANGES_REQUESTED,1512.0919444444444,1,43,Merged
question answered sudo and GRE,2022-01-25T05:11:37Z,,2022-04-26T04:37:15Z,1,CHANGES_REQUESTED,2183.427222222222,1,0,Closed
Add an answer for linux ssh-keygen question,2022-03-15T04:33:42Z,2022-03-15T06:55:26Z,2022-03-15T06:55:26Z,1,APPROVED,2.362222222222222,1,311,Merged
Added security answers and questions,2022-05-02T18:36:16Z,2022-05-22T09:57:38Z,2022-05-22T09:57:38Z,9,APPROVED,471.3561111111111,1,403,Merged
Add answer to an SSH question,2022-05-02T21:12:56Z,2022-05-05T06:24:14Z,2022-05-05T06:24:14Z,5,APPROVED,57.18833333333333,1,63,Merged
Add answer to CVE and CVSS question,2022-05-02T21:36:50Z,2022-05-04T05:43:13Z,2022-05-04T05:43:13Z,2,APPROVED,32.10638888888889,1,52,Merged
Added CI Workflow - Issue #182,2022-05-03T03:35:47Z,,2022-06-29T06:10:17Z,1,CHANGES_REQUESTED,1370.575,1,150,Closed
Answer HTTPS question,2022-05-04T19:28:48Z,,2022-07-08T20:09:39Z,1,CHANGES_REQUESTED,1560.6808333333333,1,35,Closed
Proposition for CA question,2022-05-04T20:31:25Z,2022-07-08T20:10:08Z,2022-07-08T20:10:08Z,1,CHANGES_REQUESTED,1559.6452777777777,1,69,Merged
To avoid overflow,2022-05-08T01:14:13Z,,2022-05-08T15:59:06Z,1,CHANGES_REQUESTED,14.748055555555556,1,70,Closed
Add solution for directories_comparison exercise,2022-05-13T14:38:42Z,2022-09-02T11:53:01Z,2022-09-02T11:53:01Z,1,CHANGES_REQUESTED,2685.238611111111,1,162,Merged
Fix links and add question about branch strategies,2022-05-19T02:06:39Z,2022-05-19T06:46:40Z,2022-05-19T06:46:40Z,1,APPROVED,4.666944444444445,1,0,Merged
Added Grafana questions and answers,2022-05-20T10:07:08Z,2022-05-30T08:40:53Z,2022-05-30T08:40:53Z,2,APPROVED,238.5625,1,127,Merged
Update/gcp,2022-05-30T01:19:56Z,2022-05-30T08:39:56Z,2022-05-30T08:39:56Z,1,APPROVED,7.333333333333333,1,123,Merged
Added some frequently asked questions.,2022-06-29T21:15:50Z,2022-06-30T04:56:48Z,2022-06-30T04:56:48Z,1,APPROVED,7.682777777777778,2,38,Merged
Make the path relative to the linting script,2022-07-12T09:23:59Z,2022-09-02T11:52:16Z,2022-09-02T11:52:16Z,1,APPROVED,1250.471388888889,1,45,Merged
Answered Question,2022-07-13T21:33:39Z,,2022-08-25T06:02:31Z,1,APPROVED,1016.4811111111111,1,0,Closed
Update README.md,2022-07-30T14:17:54Z,2022-07-30T15:22:29Z,2022-07-30T15:22:29Z,1,APPROVED,1.0763888888888888,1,17,Merged
Update README.md,2022-08-01T09:06:01Z,2022-08-01T10:42:16Z,2022-08-01T10:42:16Z,1,APPROVED,1.6041666666666667,1,18,Merged
add file to 'Create the file /tmp/some_file' task,2022-08-10T12:08:21Z,2022-08-10T15:17:51Z,2022-08-10T15:17:51Z,1,APPROVED,3.158333333333333,1,0,Merged
Update README.md : fix private ip typo,2022-08-14T18:31:22Z,2022-08-15T05:32:42Z,2022-08-15T05:32:42Z,1,APPROVED,11.022222222222222,1,43,Merged
Solutions for MTU,2022-08-18T23:26:41Z,2022-08-25T06:02:08Z,2022-08-25T06:02:08Z,1,APPROVED,150.59083333333334,1,11,Merged
Update README.md,2022-09-06T19:02:00Z,2022-09-07T01:32:04Z,2022-09-07T01:32:04Z,1,APPROVED,6.501111111111111,1,72,Merged
"Update README.md. There is ""of"" twice.",2022-09-07T00:13:08Z,2022-09-07T01:32:14Z,2022-09-07T01:32:14Z,1,APPROVED,1.3183333333333334,1,42,Merged
update ansible and kubernetes,2022-09-19T07:20:55Z,,2022-11-06T07:58:15Z,1,APPROVED,1152.6222222222223,2,0,Closed
Adding certificates/aws-cloud-sysops-associate.md,2022-10-12T04:29:28Z,2022-10-13T06:58:00Z,2022-10-13T06:58:00Z,1,,26.475555555555555,2,0,Merged
Make this repo compatible with Jekyll / Github page,2022-11-07T11:23:46Z,2022-11-08T16:20:16Z,2022-11-08T16:20:16Z,1,APPROVED,28.941666666666666,5,359,Merged
changing the function a bit,2022-11-11T12:46:55Z,2023-02-05T18:51:34Z,2023-02-05T18:51:34Z,3,,2070.0775,1,141,Merged
Add Golang syntax highlighting to README docs,2022-11-15T09:00:17Z,2022-11-16T15:05:41Z,2022-11-16T15:05:41Z,1,,30.09,2,0,Merged
Added about Network Security Group.,2022-11-16T14:59:24Z,2022-11-23T20:22:55Z,2022-11-23T20:22:55Z,1,APPROVED,173.39194444444445,1,0,Merged
change Ansible from procedural to declarative,2022-11-18T20:33:14Z,2022-11-23T20:23:38Z,2022-11-23T20:23:38Z,1,APPROVED,119.84,1,166,Merged
Circleci project setup,2022-11-19T06:12:59Z,,2023-02-05T18:46:36Z,1,,1884.5602777777779,1,46,Closed
Update ACL for public bucket,2022-11-23T08:39:57Z,2022-11-23T20:24:52Z,2022-11-23T20:24:52Z,1,,11.748611111111112,1,49,Merged
Add(argument_check.md) Add argument check solution,2022-11-28T05:53:37Z,2022-12-04T20:20:34Z,2022-12-04T20:20:34Z,1,APPROVED,158.44916666666666,1,50,Merged
Fix: delete duplicate content,2022-12-03T06:38:09Z,2022-12-04T20:21:25Z,2022-12-04T20:21:25Z,1,APPROVED,37.721111111111114,1,0,Merged
Add questions on SRE and Chaos Engineering,2022-12-12T12:03:26Z,2022-12-12T14:01:56Z,2022-12-12T14:01:56Z,1,APPROVED,1.975,2,66,Merged
SSL handshake question,2022-12-20T12:23:28Z,2022-12-23T08:12:19Z,2022-12-23T08:12:19Z,1,APPROVED,67.81416666666667,1,60,Merged
add answer to copy-on-write question,2022-12-30T01:08:21Z,2022-12-30T16:26:06Z,2022-12-30T16:26:06Z,1,APPROVED,15.295833333333333,1,0,Merged
Use Kubectl command instead of kustomize,2023-01-02T15:57:24Z,2023-01-04T12:18:59Z,2023-01-04T12:18:59Z,2,APPROVED,44.359722222222224,1,195,Merged
Contribution to puppet topic,2023-01-29T13:25:34Z,2023-01-29T20:55:59Z,2023-01-29T20:55:59Z,1,APPROVED,7.506944444444445,1,54,Merged
Add answers for two git questions,2023-01-30T06:20:04Z,,2023-02-08T07:18:14Z,2,CHANGES_REQUESTED,216.96944444444443,1,83,Closed
Update common software development questions,2023-01-31T12:20:43Z,2023-02-02T11:00:42Z,2023-02-02T11:00:42Z,1,APPROVED,46.66638888888889,1,0,Merged
Contribution to MongoDB topic,2023-01-31T17:33:03Z,2023-02-02T10:59:41Z,2023-02-02T10:59:41Z,8,,41.443888888888885,1,42,Merged
Added a shorter solution for the directory diff exercise,2023-02-01T00:25:50Z,2023-02-02T11:00:23Z,2023-02-02T11:00:24Z,1,APPROVED,34.575833333333335,2,70,Merged
Added new python exercise with solution,2023-02-02T13:59:08Z,2023-02-03T09:42:59Z,2023-02-03T09:42:59Z,3,APPROVED,19.730833333333333,4,40,Merged
Answered Some of The Unanswered Questions.,2023-02-17T11:42:13Z,2023-02-17T18:35:02Z,2023-02-17T18:35:03Z,1,APPROVED,6.880277777777778,1,0,Merged
Update/run ci script,2023-02-23T22:08:23Z,2023-03-25T11:05:56Z,2023-03-25T11:05:56Z,1,,708.9591666666666,2,627,Merged
Update README.md,2023-02-27T01:52:39Z,,2023-03-25T11:07:57Z,1,,633.255,1,0,Closed
elasticsearch updates,2023-02-28T11:27:59Z,2023-03-25T11:07:39Z,2023-03-25T11:07:39Z,1,,599.6611111111112,1,58,Merged
added more exercises and solutions for shell scripting,2023-03-08T16:14:50Z,,2023-05-27T17:40:06Z,3,CHANGES_REQUESTED,1921.421111111111,5,171,Closed
