title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Fixed #25004 -- Updated OpenLayers-based widget to OpenLayers 3,2015-06-19T08:16:47Z,2017-01-03T09:06:24Z,2017-01-03T09:06:24Z,2,APPROVED,13536.826944444445,16,0,Merged
Fixed #8936 -- Added view permissions and a read-only admin,2015-09-16T16:20:24Z,,2016-10-06T00:08:27Z,1,,9247.800833333333,16,818,Closed
Fixed #25510 -- Allowed runserver to start with incorrect INSTALLED_APPS.,2015-10-06T19:27:00Z,2015-10-18T08:36:10Z,2015-10-18T08:36:10Z,2,,277.15277777777777,2,212,Merged
Fixed #8851: Added default filter option to the admin.,2015-11-07T13:23:19Z,,2018-01-25T07:53:30Z,2,,19434.503055555557,8,201,Closed
Refs #16859 -- Allowed storing CSRF tokens in sessions.,2015-11-07T16:03:37Z,,2016-11-30T14:01:40Z,36,,9333.9675,7,166,Closed
Fixed #25708 -- Fixed annotations with geometry values.,2015-11-09T06:37:59Z,,2016-12-07T19:19:02Z,5,,9468.684166666666,3,44,Closed
Fixed #25872 -- Added `force_escape` argument for blocktrans template tag to force HTML escaping.,2016-02-02T18:59:18Z,,2016-12-30T15:18:34Z,1,,7964.321111111111,7,53,Closed
Fixed #26291 -- Allowed loaddata to handle forward references in natural_key fixtures.,2016-02-28T18:11:59Z,2018-07-13T21:54:48Z,2018-07-13T21:54:48Z,8,,20787.71361111111,12,966,Merged
Fixed #25307 -- conditional aggregation over subqueries,2016-03-10T19:17:13Z,,2017-01-10T00:33:28Z,1,,7325.270833333333,4,0,Closed
Fixed #25415 -- Made DiscoverRunner run system checks.,2016-03-14T23:01:11Z,,2016-12-29T17:38:20Z,11,,6954.619166666666,8,86,Closed
Fixed #25251 -- Made data migrations available in TransactionTestCase (2),2016-03-15T16:17:03Z,,2016-11-06T09:58:59Z,2,,5657.698888888889,3,125,Closed
Fixed #14370 -- Added select2 widget for related object fields in admin.,2016-04-02T23:27:18Z,2017-09-18T18:04:01Z,2017-09-18T18:04:01Z,80,,12810.611944444445,21,1231,Merged
Fixed #26447 -- deprecate USE_ETAGS setting in favor of ConditionalGetMiddleware,2016-04-03T10:17:29Z,,2016-09-10T12:46:31Z,1,,3842.483888888889,12,111,Closed
Fixed #26355 -- Added API to register different expressions for operator/field combo.,2016-04-03T11:03:25Z,,2020-07-22T10:45:01Z,14,,37703.693333333336,10,169,Closed
Fixed #26005 -- Convert URIs to IRIs according to RFC,2016-04-07T19:03:47Z,,2017-02-09T14:29:53Z,1,,7387.435,4,983,Closed
