title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add new translation functionality and run prettier,2017-07-07T22:30:21Z,2017-07-12T18:56:12Z,2017-07-12T18:56:12Z,5,,116.43083333333334,43,592,Merged
Update examples script to print messages and move docs/blog examples …,2017-07-12T23:25:48Z,2017-07-18T19:13:27Z,2017-07-18T19:13:27Z,3,,139.79416666666665,8,29,Merged
Use flag for server port number,2017-07-13T20:41:17Z,2017-07-13T22:06:14Z,2017-07-13T22:06:14Z,1,,1.4158333333333333,2,88,Merged
Fix search bar positioning in header,2017-07-13T22:28:41Z,2017-07-17T18:54:56Z,2017-07-17T18:54:57Z,3,,92.4375,1,193,Merged
Fix translation functionality to properly condense whitespace and parse escaped characters,2017-07-14T23:30:33Z,2017-07-17T03:34:27Z,2017-07-17T03:34:27Z,1,,52.065,3,781,Merged
Add Recent Posts button at bottom of blog posts,2017-07-17T18:51:38Z,2017-07-17T23:19:05Z,2017-07-17T23:19:05Z,1,,4.4575,2,537,Merged
Skip processing any docs with empty/no front matter instead of throwing error,2017-07-17T19:30:21Z,2017-07-17T23:19:25Z,2017-07-17T23:19:25Z,1,,3.8177777777777777,2,513,Merged
Use information from one file for doc sidebars instead of front matter,2017-07-17T22:29:58Z,2017-08-03T00:00:41Z,2017-08-03T00:00:41Z,1,,385.51194444444445,8,1421,Merged
Add and update documentation,2017-07-19T22:54:58Z,2017-07-21T00:02:35Z,2017-07-21T00:02:35Z,4,,25.126944444444444,4,0,Merged
Initial website set-up for Docusaurus,2017-07-27T23:23:29Z,2017-08-07T17:38:27Z,2017-08-07T17:38:27Z,9,,258.24944444444446,27,331,Merged
Write CNAME file if custom domain,2017-07-28T15:07:20Z,2017-08-10T18:37:26Z,2017-08-10T18:37:26Z,2,,315.50166666666667,1,503,Merged
Refactor API,2017-07-31T23:34:04Z,2017-08-03T00:00:41Z,2017-08-03T00:00:41Z,6,,48.44361111111111,9,1300,Merged
Add versioning functionality,2017-08-03T18:07:01Z,2017-08-08T18:39:43Z,2017-08-08T18:39:43Z,3,,120.545,14,3986,Merged
Add versioning document,2017-08-07T20:55:40Z,2017-08-08T20:58:41Z,2017-08-08T20:58:41Z,2,,24.05027777777778,2,135,Merged
Add site preparation doc,2017-08-07T22:29:46Z,2017-08-08T18:43:41Z,2017-08-08T18:43:41Z,2,,20.231944444444444,2,126,Merged
Creating a site basics,2017-08-08T16:03:51Z,2017-08-08T18:45:58Z,2017-08-08T18:45:58Z,3,,2.7019444444444445,2,0,Merged
Update the Algolia search information,2017-08-08T17:21:11Z,2017-08-08T18:47:19Z,2017-08-08T18:47:19Z,1,,1.4355555555555555,3,121,Merged
Commands API Reference,2017-08-08T18:00:12Z,2017-08-16T19:51:52Z,2017-08-16T19:51:52Z,5,,193.86111111111111,2,426,Merged
Update search guide,2017-08-08T21:24:42Z,2017-08-10T19:24:52Z,2017-08-10T19:24:52Z,1,,46.00277777777778,1,51,Merged
[WIP] Publishing your site Guide,2017-08-08T22:40:19Z,2017-09-29T22:31:28Z,2017-09-29T22:31:28Z,9,,1247.8525,2,0,Merged
New logos!,2017-08-09T16:42:27Z,2017-08-10T23:58:30Z,2017-08-10T23:58:30Z,1,,31.2675,10,118,Merged
Basic blog guide,2017-08-09T18:41:23Z,2017-08-16T18:52:55Z,2017-08-16T18:52:55Z,4,,168.19222222222223,2,76,Merged
Update example files and examples script,2017-08-09T21:24:53Z,2017-08-10T23:34:01Z,2017-08-10T23:34:01Z,1,,26.15222222222222,27,506,Merged
Add better error messages for most common cases,2017-08-09T23:23:41Z,2017-08-10T20:46:59Z,2017-08-10T20:46:59Z,1,,21.388333333333332,9,65,Merged
Add script to rename existing version,2017-08-14T21:03:26Z,2017-08-15T18:13:59Z,2017-08-15T18:13:59Z,1,,21.175833333333333,2,0,Merged
Add Pages and Styles API doc,2017-08-15T19:36:10Z,2017-08-16T22:53:44Z,2017-08-16T22:53:44Z,2,,27.29277777777778,2,38,Merged
Add custom pages guide,2017-08-15T22:01:49Z,2017-08-16T22:54:01Z,2017-08-16T22:54:01Z,3,,24.87,2,0,Merged
Add docusaurus-init package and update copy-examples.js,2017-08-16T22:51:58Z,2017-09-06T20:00:46Z,2017-09-06T20:00:46Z,4,,501.14666666666665,4,356,Merged
[WIP] Add support for code blocks,2017-08-25T23:29:12Z,,2017-09-29T21:47:07Z,1,,838.2986111111111,2,2929,Closed
Small CSS adjustments.,2017-09-01T21:59:38Z,2017-09-25T19:52:59Z,2017-09-25T19:52:59Z,2,,573.8891666666667,2,88,Merged
"Several Docusaurus, Website changes and enhancements.",2017-09-07T16:36:25Z,2017-09-25T18:35:13Z,2017-09-25T18:35:13Z,5,,433.98,20,271,Merged
Fix link for logo,2017-09-26T06:08:16Z,2017-09-26T20:41:14Z,2017-09-26T20:41:14Z,3,,14.549444444444445,1,64,Merged
add sourceCodeButton to site config,2017-09-27T00:30:37Z,2017-10-03T22:20:35Z,2017-10-03T22:20:35Z,1,,165.83277777777778,2,421,Merged
"RSS/ATOM Feed added, Prism changes, and global Copyright notice.",2017-09-27T04:28:32Z,2017-09-27T19:49:11Z,2017-09-27T19:49:11Z,1,,15.344166666666666,16,387,Merged
2 bug fixes,2017-09-28T16:20:43Z,2017-09-28T21:46:30Z,2017-09-28T21:46:30Z,3,,5.429722222222222,10,339,Merged
"Update README, clean up getting started sections",2017-09-29T21:23:40Z,2017-09-29T22:38:04Z,2017-09-29T22:38:04Z,1,,1.24,6,154,Merged
Extend Marked.js in order to support React Native's code players,2017-10-04T01:48:51Z,2017-10-04T15:56:56Z,2017-10-04T15:56:56Z,1,,14.134722222222223,3,0,Merged
