title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
save image by Blob in IE,2017-07-26T03:35:36Z,2017-09-06T04:04:48Z,2017-09-06T04:04:48Z,1,APPROVED,1008.4866666666667,1,19,Merged
check value field and unshift it if it's presented,2017-09-01T16:34:20Z,2017-09-08T13:10:17Z,2017-09-08T13:10:17Z,1,APPROVED,164.59916666666666,1,14,Merged
Fix bar overflow issues #4862 Bug fix,2017-09-20T13:15:29Z,2017-11-15T17:09:20Z,2017-11-15T17:09:20Z,2,REVIEW_REQUIRED,1347.8975,3,1449,Merged
update license to apache v2,2018-01-14T00:12:38Z,2018-03-05T08:08:11Z,2018-03-05T08:08:11Z,1,REVIEW_REQUIRED,1207.9258333333332,2,41,Merged
Sankey,2018-03-16T08:07:38Z,2018-04-05T19:10:46Z,2018-04-05T19:10:46Z,2,REVIEW_REQUIRED,491.0522222222222,2,0,Merged
"Tooltip dom append to body, use to top of layer",2018-03-28T16:58:48Z,2020-01-09T14:22:18Z,2020-01-09T14:22:18Z,2,APPROVED,15645.391666666666,2,154,Merged
new,2018-05-30T03:42:10Z,,2018-08-15T13:56:33Z,3,,1858.2397222222223,80,0,Closed
Add CDN link,2018-06-07T15:14:26Z,2019-02-14T09:06:45Z,2019-02-14T09:06:45Z,1,REVIEW_REQUIRED,6041.871944444444,1,201,Merged
Add null checks for setAxisModel,2018-06-08T06:26:14Z,,2021-11-26T21:04:26Z,3,REVIEW_REQUIRED,30422.636666666665,1,396,Closed
avoid pie chart's label out of range,2018-06-13T03:21:11Z,,2021-09-04T05:42:39Z,1,REVIEW_REQUIRED,28298.35777777778,1,68,Closed
Enhance funnel chart label display policy,2018-07-26T08:37:29Z,2018-09-21T07:21:23Z,2018-09-21T07:21:23Z,3,REVIEW_REQUIRED,1366.7316666666666,1,1272,Merged
fix radiusAxis.axisLabel show problem because text is long--issues #8791,2018-08-15T06:23:12Z,,2018-08-27T04:19:55Z,1,REVIEW_REQUIRED,285.9452777777778,1,1159,Closed
Pie chart adds filterValue parameter,2018-09-03T10:23:26Z,2019-01-09T14:10:07Z,2019-01-09T14:10:07Z,5,REVIEW_REQUIRED,3075.7780555555555,1,978,Merged
fix: #9011 gauge clockwise,2018-09-29T10:16:35Z,,2019-01-14T04:02:09Z,1,CHANGES_REQUESTED,2561.7594444444444,1,71,Closed
fix: #8962 闭合多边形时，如果第一个值为NaN，导致最后值也为NaN，渲染不出连接线。,2018-10-03T19:26:50Z,2018-10-15T08:22:02Z,2018-10-15T08:22:02Z,6,APPROVED,276.92,1,47,Merged
"fix #8009 & #5969, symbol symbolSize and opacity setting for category itemStyle in graph",2018-10-08T06:34:32Z,2018-11-04T13:54:33Z,2018-11-04T13:54:33Z,15,CHANGES_REQUESTED,655.3336111111112,1,24,Merged
axisLine.show option implemented for Gauge,2018-10-10T19:15:37Z,2018-10-11T05:37:16Z,2018-10-11T05:37:16Z,2,APPROVED,10.360833333333334,1,108,Merged
fix #9182 Graph    label.rotate is invalid,2018-10-12T03:34:54Z,2018-10-23T05:32:28Z,2018-10-23T05:32:28Z,7,REVIEW_REQUIRED,265.95944444444444,1,69,Merged
fix: #8952 callback function params.color incorrect,2018-10-16T08:30:34Z,2018-10-29T16:10:33Z,2018-10-29T16:10:33Z,2,APPROVED,319.6663888888889,1,32,Merged
fix: #8444 axis align option ignored,2018-10-24T20:56:37Z,,2021-09-10T07:07:27Z,2,REVIEW_REQUIRED,25234.180555555555,2,156,Closed
Added spanish translation,2018-10-29T17:11:49Z,,2020-12-19T08:30:13Z,4,CHANGES_REQUESTED,18759.306666666667,1,0,Closed
fix #9363,2018-11-12T14:06:36Z,2019-05-07T16:17:47Z,2019-05-07T16:17:47Z,2,APPROVED,4226.186388888889,1,123,Merged
funnel enhance--series.label.position ,2018-11-16T12:06:46Z,2019-05-14T07:32:39Z,2019-05-14T07:32:39Z,3,APPROVED,4291.431388888889,1,2646,Merged
Added echarts4r,2018-11-18T14:18:48Z,2019-02-14T08:17:24Z,2019-02-14T08:17:24Z,1,APPROVED,2105.9766666666665,1,55,Merged
add legend.disabled,2018-12-03T14:26:37Z,,2021-09-13T21:04:09Z,1,REVIEW_REQUIRED,24366.625555555554,1,320,Closed
legend.data.icon  Add dashed,2018-12-08T08:06:10Z,,2024-06-19T21:05:07Z,1,CHANGES_REQUESTED,48492.9825,1,106,Closed
Spanish translation of javascript file,2018-12-26T00:34:51Z,2019-01-31T03:53:58Z,2019-01-31T03:53:58Z,1,APPROVED,867.3186111111111,1,0,Merged
series->symbol支持函数类型，根据需要来设置每个数据的图形,2018-12-31T02:36:09Z,2019-02-24T19:47:10Z,2019-02-24T19:47:10Z,2,APPROVED,1337.183611111111,1,210,Merged
Fix #9011 gauge clockwise,2019-01-13T08:26:37Z,,2020-11-07T07:56:14Z,1,CHANGES_REQUESTED,15935.493611111111,1,29,Closed
