title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Drag to move selection,2020-01-02T09:09:11Z,2020-01-02T13:58:25Z,2020-01-02T13:58:25Z,1,APPROVED,4.820555555555556,1,157,Merged
Select element on click,2020-01-02T11:45:28Z,2020-01-02T15:37:14Z,2020-01-02T15:37:14Z,5,APPROVED,3.8627777777777776,1,10,Merged
Setup git and lock deps,2020-01-02T11:49:50Z,2020-01-02T14:46:31Z,2020-01-02T14:46:32Z,2,CHANGES_REQUESTED,2.944722222222222,2,112,Merged
WIP: Migrate the elements array to react scope,2020-01-02T22:55:33Z,,2020-01-06T01:40:09Z,10,REVIEW_REQUIRED,74.74333333333334,1,360,Closed
Save to local storage,2020-01-02T23:08:31Z,2020-01-03T17:12:37Z,2020-01-03T17:12:37Z,21,APPROVED,18.06833333333333,1,114,Merged
[WIP] Undo,2020-01-02T23:41:52Z,,2020-01-05T00:58:52Z,4,REVIEW_REQUIRED,49.28333333333333,1,149,Closed
Add support for 'delete' key,2020-01-03T00:30:06Z,2020-01-03T15:47:34Z,2020-01-03T15:47:34Z,5,REVIEW_REQUIRED,15.29111111111111,2,136,Merged
add cypress scaffolding,2020-01-03T16:02:35Z,,2020-01-12T05:25:09Z,6,REVIEW_REQUIRED,205.3761111111111,17,497,Closed
Deploy static to gh-pages,2020-01-03T16:46:04Z,2020-01-03T20:53:37Z,2020-01-03T20:53:37Z,1,REVIEW_REQUIRED,4.1258333333333335,3,10,Merged
[WIP] Scroll with mouse wheel,2020-01-03T20:31:46Z,2020-01-03T22:06:54Z,2020-01-03T22:06:54Z,2,REVIEW_REQUIRED,1.5855555555555556,1,455,Merged
[WIP] Add node worklow,2020-01-03T20:40:28Z,2020-01-03T22:18:43Z,2020-01-03T22:18:43Z,1,APPROVED,1.6375,4,0,Merged
[WIP] Adding README,2020-01-03T21:57:19Z,2020-01-03T23:29:13Z,2020-01-03T23:29:14Z,5,APPROVED,1.5316666666666667,1,82,Merged
Resize,2020-01-04T08:10:35Z,2020-01-04T18:56:12Z,2020-01-04T18:56:12Z,6,APPROVED,10.760277777777778,1,330,Merged
add support for clearing canvas,2020-01-04T12:00:55Z,2020-01-04T14:20:53Z,2020-01-04T14:20:53Z,1,APPROVED,2.332777777777778,2,444,Merged
Set the cursor to 'crosshair' when expected to draw,2020-01-05T02:25:32Z,2020-01-05T03:33:21Z,2020-01-05T03:33:22Z,4,APPROVED,1.1302777777777777,1,55,Merged
Allow user to set file name,2020-01-05T02:45:25Z,2020-01-05T22:26:01Z,2020-01-05T22:26:01Z,11,REVIEW_REQUIRED,19.676666666666666,4,0,Merged
Adding diamond shape,2020-01-05T17:56:17Z,2020-01-05T23:10:36Z,2020-01-05T23:10:36Z,8,APPROVED,5.238611111111111,2,204,Merged
Implementing grouping between multiple elements,2020-01-05T23:49:31Z,,2020-03-09T14:22:59Z,3,CHANGES_REQUESTED,1526.5577777777778,20,940,Closed
Add possibility to update text and fontsize,2020-01-05T23:56:41Z,,2020-01-08T22:22:18Z,9,REVIEW_REQUIRED,70.42694444444444,2,144,Closed
Double click to add text,2020-01-06T00:00:49Z,2020-01-06T01:38:20Z,2020-01-06T01:38:20Z,9,APPROVED,1.6252777777777778,1,11,Merged
Fixed ellipse hit test if sizes are negative,2020-01-06T12:55:44Z,2020-01-06T18:06:54Z,2020-01-06T18:06:54Z,1,APPROVED,5.186111111111111,1,91,Merged
implement shift+resize for all sides,2020-01-06T16:55:22Z,2020-01-06T20:19:22Z,2020-01-06T20:19:22Z,2,APPROVED,3.4,1,145,Merged
Use Ctrl instead of Cmd for keyboard shortcuts on Windows,2020-01-06T20:09:54Z,2020-01-07T02:57:38Z,2020-01-07T02:57:38Z,1,APPROVED,6.795555555555556,1,201,Merged
support copy canvas to clipboard,2020-01-07T13:08:25Z,2020-01-09T16:37:09Z,2020-01-09T16:37:09Z,1,REVIEW_REQUIRED,51.47888888888889,7,907,Merged
Refactor Element Functions,2020-01-07T13:32:42Z,2020-01-07T15:04:52Z,2020-01-07T15:04:52Z,1,REVIEW_REQUIRED,1.5361111111111112,14,845,Merged
Add IDs to elements,2020-01-07T15:14:22Z,2020-01-07T19:49:40Z,2020-01-07T19:49:40Z,1,APPROVED,4.588333333333333,6,5,Merged
