title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add test case to use starlette DatabaseMiddleware,2019-02-01T21:49:54Z,,2019-03-20T18:02:18Z,3,,1124.2066666666667,5,739,Closed
ci: Travis: dist=xenial,2019-03-21T17:16:44Z,2019-03-30T17:30:32Z,2019-03-30T17:30:32Z,3,,216.23,1,0,Merged
Add websocket to APIRouter,2019-03-24T10:13:56Z,2019-03-24T19:18:20Z,2019-03-24T19:18:20Z,6,,9.073333333333334,2,12,Merged
Static swagger,2019-03-26T14:41:21Z,2019-05-20T07:26:55Z,2019-05-20T07:26:55Z,2,,1312.7594444444444,2,526,Merged
Display pydantic types,2019-03-28T10:00:29Z,,2019-08-04T13:32:10Z,1,,3099.5280555555555,1,676,Closed
Pydantic 0.23,2019-04-15T12:37:58Z,2019-04-16T18:42:01Z,2019-04-16T18:42:01Z,3,,30.0675,3,66,Merged
Use a logger instead of the root logging,2019-05-14T08:21:42Z,2019-05-15T10:43:31Z,2019-05-15T10:43:31Z,3,CHANGES_REQUESTED,26.363611111111112,1,109,Merged
"handle swagger, redoc and openapi with coroutine function",2019-05-20T09:39:22Z,2019-05-20T14:34:33Z,2019-05-20T14:34:34Z,3,,4.919722222222222,1,10,Merged
Update signature of Depends,2019-05-27T08:26:54Z,,2019-07-29T11:23:17Z,2,,1514.9397222222221,1,66,Closed
default the description of additional response to status reason phrase,2019-06-14T03:35:09Z,2019-06-18T07:46:58Z,2019-06-18T07:46:58Z,3,,100.19694444444444,2,0,Merged
Fix schema generation for nested/repeated models,2019-06-25T08:27:21Z,,2019-07-13T00:16:24Z,3,,423.8175,2,44,Closed
Tiny serialization method optimization,2019-07-08T14:08:58Z,,2019-10-20T08:39:45Z,6,,2490.5130555555556,2,3450,Closed
Use caching logic to determine openapi spec,2019-08-01T18:57:31Z,2019-08-25T02:55:25Z,2019-08-25T02:55:26Z,1,,559.965,3,116,Merged
Fix unskipped defaults,2019-08-06T08:29:45Z,2019-08-26T13:24:58Z,2019-08-26T13:24:58Z,1,,484.92027777777776,2,1825,Merged
Update pydantic to 0.32.1,2019-08-06T19:11:26Z,,2019-08-23T07:02:00Z,7,,395.84277777777777,8,425,Closed
"Additional responses can be status groups or ""default""",2019-08-13T07:07:42Z,2019-08-30T16:17:43Z,2019-08-30T16:17:43Z,9,,417.1669444444444,3,174,Merged
Add support for strings and __future__ annotations,2019-08-21T11:10:57Z,2019-09-29T21:19:10Z,2019-09-29T21:19:10Z,10,,946.1369444444445,4,149,Merged
Only use default parameter values for path parameters (#450),2019-08-25T13:06:54Z,2019-09-29T22:03:16Z,2019-09-29T22:03:17Z,2,,848.9394444444445,2,329,Merged
make it possible to change the default reponse_class,2019-08-26T15:35:39Z,2019-09-29T21:47:35Z,2019-09-29T21:47:35Z,3,,822.1988888888889,7,271,Merged
Use proper import for Request -- fixes #492,2019-08-31T18:33:37Z,2019-09-01T12:51:43Z,2019-09-01T12:51:43Z,1,,18.301666666666666,1,11,Merged
fix: wrong doctype in docs html,2019-09-16T16:26:42Z,2019-10-04T00:35:44Z,2019-10-04T00:35:45Z,1,,416.15055555555557,1,52,Merged
Allow api docs to be truncated and used for other purposes,2019-09-22T18:04:47Z,2019-10-04T20:02:40Z,2019-10-04T20:02:41Z,2,,289.96472222222224,4,276,Merged
Refactor APIRoute for easier overrides,2019-09-25T12:38:25Z,,2019-10-04T00:27:34Z,1,,203.81916666666666,1,391,Closed
Add support for contextmanager-style dependencies,2019-09-26T02:58:08Z,,2019-10-07T06:40:59Z,2,,267.71416666666664,6,707,Closed
Add better support for request body access/manipulation,2019-10-04T04:46:49Z,2019-10-05T00:23:35Z,2019-10-05T00:23:35Z,3,,19.61277777777778,10,2215,Merged
Dependencies with yield (used as context managers),2019-10-06T01:37:48Z,2019-10-09T18:01:59Z,2019-10-09T18:01:59Z,6,,88.40305555555555,19,2163,Merged
Replace `pip` with `python3 -m pip`,2019-10-08T17:44:22Z,,2019-11-23T22:04:24Z,1,,1108.3338888888889,13,221,Closed
Prevent adding HTTP 422 to the responses when all params are optional,2019-10-08T18:45:58Z,,2019-10-27T22:48:58Z,1,,460.05,1,1000,Closed
Fixing validator-caused incorrect output key order,2019-10-21T23:06:37Z,2019-11-24T13:23:34Z,2019-11-24T13:23:34Z,4,,806.2825,1,255,Merged
Make compatible with pydantic v1,2019-10-23T20:25:56Z,2019-11-27T19:32:02Z,2019-11-27T19:32:02Z,14,,839.1016666666667,66,75,Merged
Adding support for documenting OpenAPI callbacks through APIRoutes,2019-11-20T12:44:17Z,2019-12-11T16:58:01Z,2019-12-11T16:58:01Z,2,CHANGES_REQUESTED,508.2288888888889,16,835,Merged
use isinstance() instead of type() to do typechecking in encoders.py,2019-11-30T09:57:26Z,2020-01-08T20:50:21Z,2020-01-08T20:50:22Z,8,,946.8819444444445,2,205,Merged
