title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
fix an encoding issue with calling adb shell getprop,2016-09-05T17:09:40Z,2016-09-26T19:47:35Z,2016-09-26T19:47:35Z,1,REVIEW_REQUIRED,506.63194444444446,2,202,Merged
Added Material steppers.,2016-09-07T22:59:51Z,2016-09-16T20:22:15Z,2016-09-16T20:22:15Z,1,REVIEW_REQUIRED,213.37333333333333,4,139,Merged
Support hot reload for applications that don't use the framework,2016-09-14T18:37:59Z,2016-09-15T20:18:32Z,2016-09-15T20:18:32Z,15,REVIEW_REQUIRED,25.675833333333333,4,323,Merged
Small revision to ScrollableState.fling(),2016-09-14T19:32:59Z,2016-09-14T22:50:30Z,2016-09-14T22:50:30Z,1,REVIEW_REQUIRED,3.2919444444444443,1,205,Merged
Added bottom navigation.,2016-09-14T23:33:51Z,2016-09-22T19:45:10Z,2016-09-22T19:45:10Z,106,REVIEW_REQUIRED,188.1886111111111,5,0,Merged
TextStyle.apply,2016-09-15T06:31:39Z,2016-09-15T14:49:44Z,2016-09-15T14:49:44Z,1,REVIEW_REQUIRED,8.301388888888889,2,124,Merged
Renamed expansion panel file.,2016-09-15T16:05:44Z,2016-09-15T21:16:06Z,2016-09-15T21:16:06Z,1,REVIEW_REQUIRED,5.172777777777778,3,55,Merged
Removed magical color.,2016-09-15T17:25:47Z,2016-09-15T20:41:27Z,2016-09-15T20:41:27Z,1,REVIEW_REQUIRED,3.261111111111111,1,52,Merged
Update framework to account from engine API changes,2016-09-15T17:26:53Z,2016-09-15T20:13:42Z,2016-09-15T20:13:42Z,1,APPROVED,2.7802777777777776,17,55,Merged
Pesto logo now smoothly animates between image and image+text states.,2016-09-15T20:04:49Z,2016-09-16T17:31:54Z,2016-09-16T17:31:54Z,3,REVIEW_REQUIRED,21.45138888888889,1,53,Merged
Refactor flutter command execution,2016-09-15T20:26:41Z,2016-09-16T13:13:35Z,2016-09-16T13:13:36Z,2,REVIEW_REQUIRED,16.781666666666666,31,154,Merged
Added a stretch Positioned constructor.,2016-09-15T21:13:49Z,2016-09-16T22:59:01Z,2016-09-16T22:59:01Z,10,REVIEW_REQUIRED,25.753333333333334,5,13,Merged
Update tools to use `analyzer` from vended Dart SDK.,2016-09-15T22:52:35Z,2016-09-16T18:06:17Z,2016-09-16T18:06:17Z,7,REVIEW_REQUIRED,19.22833333333333,4,1077,Merged
Turn off AnimationControllers when not in use,2016-09-15T23:54:40Z,2016-09-26T17:57:10Z,2016-09-26T17:57:10Z,43,REVIEW_REQUIRED,258.0416666666667,63,359,Merged
Documentation fixes.,2016-09-16T03:41:18Z,2016-09-16T04:58:24Z,2016-09-16T04:58:24Z,4,REVIEW_REQUIRED,1.285,14,31,Merged
Add FlexFit.loose,2016-09-16T18:27:58Z,2016-09-16T20:12:36Z,2016-09-16T20:12:36Z,4,REVIEW_REQUIRED,1.7438888888888888,3,261,Merged
"ClampOverscrolls clamps Scrollable, not its Viewport",2016-09-16T18:54:56Z,2016-09-21T18:32:19Z,2016-09-21T18:32:19Z,1,REVIEW_REQUIRED,119.62305555555555,10,324,Merged
Roll to Dart SDK `1.20.0-dev.5.0`.,2016-09-16T20:50:49Z,2016-09-16T23:30:34Z,2016-09-16T23:30:34Z,3,REVIEW_REQUIRED,2.6625,4,59,Merged
Make it possible to create new text themes,2016-09-16T22:53:25Z,2016-09-19T18:18:16Z,2016-09-19T18:18:16Z,1,REVIEW_REQUIRED,67.41416666666667,2,12,Merged
Docs for heroes,2016-09-18T21:27:26Z,2016-09-19T23:50:38Z,2016-09-19T23:50:38Z,2,REVIEW_REQUIRED,26.386666666666667,1,0,Merged
Update to new mojom Dart generation scheme,2016-09-18T22:01:23Z,,2016-10-20T16:22:16Z,2,REVIEW_REQUIRED,762.3480555555556,38,321,Closed
Suppress pub warning of expected analyzer override (#5921).,2016-09-19T02:38:33Z,,2016-09-22T03:55:57Z,4,REVIEW_REQUIRED,73.29,1,553,Closed
Change the definition of MainAxisSize,2016-09-19T20:26:57Z,2016-09-19T22:04:58Z,2016-09-19T22:04:58Z,3,REVIEW_REQUIRED,1.6336111111111111,3,300,Merged
Fix crash when a RenderObject tree is rooted in a non-RenderObject environment,2016-09-19T21:18:15Z,2016-09-20T21:14:06Z,2016-09-20T21:14:06Z,1,REVIEW_REQUIRED,23.930833333333332,5,100,Merged
Restore Flutter gallery license page scrolling,2016-09-19T21:20:07Z,2016-09-20T22:13:50Z,2016-09-20T22:13:50Z,1,REVIEW_REQUIRED,24.89527777777778,3,300,Merged
Add MediaQuery.textScaleFactor,2016-09-19T22:00:48Z,2016-09-20T16:14:49Z,2016-09-20T16:14:49Z,6,REVIEW_REQUIRED,18.23361111111111,20,128,Merged
Update flutter/http.dart to use dart:io ... redux.,2016-09-19T23:36:40Z,2016-09-20T21:17:33Z,2016-09-20T21:17:33Z,10,REVIEW_REQUIRED,21.68138888888889,25,408,Merged
Complete dartdocs for material/material.dart,2016-09-19T23:42:39Z,2016-09-20T21:44:11Z,2016-09-20T21:44:11Z,7,REVIEW_REQUIRED,22.025555555555556,4,0,Merged
Add more docs to framework.dart,2016-09-20T00:28:54Z,2016-09-20T04:41:03Z,2016-09-20T04:41:03Z,15,REVIEW_REQUIRED,4.2025,1,73,Merged
cleanup unawaited futures lints,2016-09-20T00:31:09Z,2016-09-20T11:32:09Z,2016-09-20T11:32:09Z,4,APPROVED,11.016666666666667,3,10,Merged
cleanup unawaited futures lints,2016-09-20T00:38:22Z,2016-09-20T11:33:35Z,2016-09-20T11:33:35Z,2,REVIEW_REQUIRED,10.920277777777779,1,8,Merged
cleanup unawaited futures lints,2016-09-20T00:52:26Z,2016-09-22T11:43:29Z,2016-09-22T11:43:29Z,25,REVIEW_REQUIRED,58.850833333333334,8,9,Merged
Add documentation for Element,2016-09-20T18:31:32Z,2016-09-20T22:59:31Z,2016-09-20T22:59:31Z,16,REVIEW_REQUIRED,4.466388888888889,1,0,Merged
Isolate imports of generated Dart code from generated path,2016-09-20T20:17:25Z,2016-09-21T21:00:29Z,2016-09-21T21:00:29Z,1,REVIEW_REQUIRED,24.717777777777776,40,259,Merged
Fix a bug with how ScrollableGrid deals with padding.,2016-09-20T20:39:11Z,2016-09-21T17:29:35Z,2016-09-21T17:29:35Z,1,REVIEW_REQUIRED,20.84,3,202,Merged
