title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Updated I Love Ruby to latest download link,2016-07-05T16:02:22Z,,2017-10-12T18:43:59Z,1,,11138.693611111112,1,0,Closed
Update free-programming-interactive-tutorials-en.md,2016-08-13T10:18:17Z,,2016-10-02T10:43:08Z,1,CHANGES_REQUESTED,1200.4141666666667,1,20,Closed
add my book about PHP (Indonesian Language),2016-08-30T15:08:17Z,,2016-10-02T10:43:08Z,1,CHANGES_REQUESTED,787.5808333333333,1,138,Closed
Arabic free programming books list,2016-09-04T12:29:39Z,,2017-05-17T17:14:59Z,1,CHANGES_REQUESTED,6124.7555555555555,2,0,Closed
#2072 add The Pragmatic Programmer,2016-09-21T21:14:59Z,,2016-09-22T19:45:22Z,3,,22.50638888888889,1,0,Closed
Update free-programming-books.md,2016-10-06T17:32:53Z,,2017-01-15T00:17:31Z,1,,2406.7438888888887,3,0,Closed
Vue.js - correction broken links and adding a new link,2016-10-17T13:37:41Z,2017-07-12T21:33:31Z,2017-07-12T21:33:31Z,2,,6439.930555555556,1,0,Merged
Add Java E-Book Programing,2016-10-19T06:30:27Z,2017-07-12T21:47:50Z,2017-07-12T21:47:50Z,4,APPROVED,6399.289722222222,1,0,Merged
Add bash,2016-10-23T06:52:07Z,2017-05-18T15:56:29Z,2017-05-18T15:56:29Z,1,,4977.072777777777,1,43,Merged
update verilog,2016-10-23T08:46:19Z,2017-10-24T14:40:55Z,2017-10-24T14:40:55Z,1,,8789.91,1,48,Merged
Update Free Programming E-Book ID,2016-10-25T10:57:59Z,,2017-10-24T14:31:14Z,1,CHANGES_REQUESTED,8739.554166666667,1,117,Closed
Added Free O'Reilly Programming Books,2016-10-28T01:32:12Z,2017-05-18T17:29:42Z,2017-05-18T17:29:42Z,2,APPROVED,4863.958333333333,1,173,Merged
"Add ""Start Using React to Build Web Applications""",2016-10-28T16:20:01Z,2017-07-12T21:53:01Z,2017-07-12T21:53:01Z,1,,6173.55,1,37,Merged
New branch,2016-10-29T06:07:51Z,2016-11-03T22:05:35Z,2016-11-03T22:05:35Z,4,,135.9622222222222,2,86,Merged
Update free-programming-books.md,2016-11-06T05:21:56Z,2016-12-04T10:06:00Z,2016-12-04T10:06:00Z,4,,676.7344444444444,1,94,Merged
Update free-programming-books-zh.md,2016-11-10T02:04:46Z,2017-01-02T20:09:33Z,2017-01-02T20:09:33Z,1,,1290.0797222222222,1,11,Merged
Added some books and guides for Drupal,2016-12-09T02:10:52Z,,2017-04-23T12:29:21Z,1,CHANGES_REQUESTED,3250.3080555555557,1,0,Closed
"Added ""Computational and Inferential Thinking""",2016-12-26T20:17:16Z,2017-01-13T21:43:40Z,2017-01-13T21:43:40Z,1,,433.44,1,185,Merged
Adding more Java French books.,2017-01-02T15:08:43Z,2017-07-12T21:40:10Z,2017-07-12T21:40:10Z,1,,4590.524166666667,1,0,Merged
Fr: Add two french books on Ada ,2017-01-08T11:54:33Z,2017-02-04T10:23:06Z,2017-02-04T10:23:06Z,3,,646.4758333333333,1,0,Merged
"Added C++ category, and a C++ book in Korean",2017-01-12T00:29:25Z,,2017-01-16T21:51:54Z,1,,117.37472222222222,1,23,Closed
Remove problematic links,2017-01-15T16:47:54Z,2017-01-15T21:21:49Z,2017-01-15T21:21:49Z,2,,4.565277777777778,18,84,Merged
Update PHP and Shell.,2017-02-09T01:14:45Z,2017-05-19T15:18:00Z,2017-05-19T15:18:00Z,3,CHANGES_REQUESTED,2390.054166666667,1,0,Merged
Update Competeivie Programming Link,2017-04-04T23:01:28Z,2017-07-12T22:00:18Z,2017-07-12T22:00:19Z,1,,2374.9805555555554,1,0,Merged
Adding course links from www.learnhowtoprogram.com/courses,2017-04-05T00:06:11Z,2017-04-11T20:33:10Z,2017-04-11T20:33:10Z,1,,164.44972222222222,1,82,Merged
Add LambdaBooks books,2017-04-13T05:59:48Z,2017-04-23T12:43:42Z,2017-04-23T12:43:42Z,4,,246.73166666666665,1,80,Merged
