title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Maodanp/subdomain,2016-11-07T01:53:33Z,2016-11-08T16:14:33Z,2016-11-08T16:14:33Z,3,APPROVED,38.35,9,0,Merged
support udp type,2016-12-18T17:25:08Z,2016-12-19T13:30:44Z,2016-12-19T13:30:44Z,1,APPROVED,20.093333333333334,39,16,Merged
update doc for v0.9.0,2016-12-21T04:10:58Z,2016-12-21T06:04:16Z,2016-12-21T06:04:16Z,1,APPROVED,1.8883333333333334,3,0,Merged
added heartbeat conf,2016-12-30T08:28:24Z,2016-12-30T10:01:03Z,2016-12-30T10:01:03Z,2,REVIEW_REQUIRED,1.5441666666666667,4,0,Merged
change allow ports from map to array,2017-05-18T16:01:13Z,2017-05-18T18:05:34Z,2017-05-18T18:05:34Z,1,APPROVED,2.0725,4,0,Merged
Fix dockerfile,2017-06-21T06:47:40Z,2017-06-21T10:50:48Z,2017-06-21T10:50:48Z,1,APPROVED,4.052222222222222,1,23,Merged
Update README.md,2017-07-04T15:06:16Z,2017-07-04T17:27:42Z,2017-07-04T17:27:42Z,1,REVIEW_REQUIRED,2.357222222222222,1,10,Merged
add Dockerfile_multiple_build,2017-09-06T04:57:38Z,2017-09-06T06:07:37Z,2017-09-06T06:07:37Z,1,REVIEW_REQUIRED,1.166388888888889,1,32,Merged
"frpc: support --vhost-http-port,--vhost-https-port,--privilege-token …",2017-09-06T16:30:00Z,,2018-03-29T05:59:09Z,1,REVIEW_REQUIRED,4885.485833333333,1,21,Closed
doc: fix spelling error,2017-09-26T13:07:38Z,2017-09-27T16:55:18Z,2017-09-27T16:55:18Z,1,REVIEW_REQUIRED,27.794444444444444,2,33,Merged
Update version.go,2017-10-20T07:58:38Z,2017-10-20T09:12:47Z,2017-10-20T09:12:47Z,1,APPROVED,1.2358333333333333,1,23,Merged
add custom dashboard bind address,2017-11-28T08:33:08Z,2017-11-29T02:34:37Z,2017-11-29T02:34:37Z,1,REVIEW_REQUIRED,18.024722222222223,3,443,Merged
Use sans-serif font in web,2018-01-08T05:57:54Z,2018-01-10T02:36:28Z,2018-01-10T02:36:28Z,1,APPROVED,44.64277777777778,1,101,Merged
build freebsd packages,2018-02-27T04:02:41Z,2018-02-27T15:14:16Z,2018-02-27T15:14:16Z,1,APPROVED,11.193055555555556,2,53,Merged
dashboard_api for getting a client status by name,2018-04-04T06:38:50Z,2018-04-10T09:57:27Z,2018-04-10T09:57:27Z,2,APPROVED,147.31027777777777,3,56,Merged
do not ignore config parsing error,2018-04-28T02:38:42Z,2018-05-02T13:51:03Z,2018-05-02T13:51:03Z,2,REVIEW_REQUIRED,107.20583333333333,1,67,Merged
Update frps_full.ini,2018-05-05T20:19:36Z,2018-05-06T14:54:00Z,2018-05-06T14:54:00Z,1,REVIEW_REQUIRED,18.573333333333334,1,0,Merged
cmd: frps: allow_ports option,2018-06-06T16:40:46Z,2018-06-08T02:52:05Z,2018-06-08T02:52:05Z,1,APPROVED,34.18861111111111,1,173,Merged
update xtcp log info,2018-06-08T13:37:26Z,2018-06-08T14:51:13Z,2018-06-08T14:51:13Z,1,REVIEW_REQUIRED,1.2297222222222222,1,60,Merged
websocket protocol,2018-08-03T11:42:11Z,2018-08-06T07:20:10Z,2018-08-06T07:20:10Z,4,,67.63305555555556,5,85,Merged
Fix the problem of long connection for more than 30 seconds and disconnection of the server,2018-08-06T14:27:43Z,,2018-08-08T02:51:17Z,4,CHANGES_REQUESTED,36.39277777777778,4,93,Closed
Connect protocol support websocket,2018-08-10T03:46:43Z,2018-08-10T08:36:03Z,2018-08-10T08:36:03Z,7,REVIEW_REQUIRED,4.822222222222222,12,0,Merged
Upgrade dockerfile golang to 1.10,2018-08-12T07:10:09Z,2018-08-12T14:04:50Z,2018-08-12T14:04:50Z,1,APPROVED,6.911388888888889,1,256,Merged
Bump Travis versions,2018-10-19T19:01:31Z,2018-10-29T02:16:59Z,2018-10-29T02:16:59Z,1,APPROVED,223.2577777777778,1,0,Merged
Grammar fixes and improved README,2018-10-24T22:58:09Z,2018-10-25T02:43:02Z,2018-10-25T02:43:02Z,1,APPROVED,3.7480555555555557,1,81,Merged
Fix setting basic auth password doc,2018-11-16T04:54:03Z,2018-11-19T02:55:22Z,2018-11-19T02:55:22Z,1,APPROVED,70.02194444444444,1,87,Merged
frpc: fixup ini config parse problem in sub command `status` and `rel…,2019-01-16T05:13:42Z,2019-01-16T06:34:21Z,2019-01-16T06:34:21Z,1,APPROVED,1.3441666666666667,2,734,Merged
log mismatch domain and location string,2019-02-11T10:06:15Z,,2019-02-12T03:32:11Z,1,REVIEW_REQUIRED,17.432222222222222,1,57,Closed
Add systemd unit,2019-03-21T03:44:07Z,2019-03-21T09:46:37Z,2019-03-21T09:46:37Z,1,APPROVED,6.041666666666667,4,139,Merged
resp.Body must be closed after function return,2019-05-30T14:33:50Z,2019-05-31T16:44:04Z,2019-05-31T16:44:04Z,2,APPROVED,26.170555555555556,4,104,Merged
replace the _,2019-06-01T02:09:32Z,2019-06-02T13:22:29Z,2019-06-02T13:22:29Z,1,REVIEW_REQUIRED,35.215833333333336,1,13,Merged
add support for customized http header when using https2http plugin,2019-08-13T13:15:51Z,2019-08-14T13:00:17Z,2019-08-14T13:00:17Z,2,APPROVED,23.740555555555556,4,0,Merged
Load assets for dashboard/admin panel on demand,2019-08-19T17:12:24Z,2019-08-20T03:03:06Z,2019-08-20T03:03:06Z,1,REVIEW_REQUIRED,9.845,2,700,Merged
Pass server configuration as an argument,2019-08-19T23:17:16Z,2019-08-20T16:30:03Z,2019-08-20T16:30:03Z,1,REVIEW_REQUIRED,17.213055555555556,14,486,Merged
" Add an ""assets_dir"" option for frpc",2019-08-20T00:23:30Z,2019-08-20T03:06:13Z,2019-08-20T03:06:13Z,1,REVIEW_REQUIRED,2.7119444444444443,5,336,Merged
Pass client configuration as an argument,2019-08-20T21:21:51Z,2019-08-21T16:14:57Z,2019-08-21T16:14:57Z,1,REVIEW_REQUIRED,18.885,19,396,Merged
"Add documentation for common configuration fields, common proxy configuration, and sessions",2019-08-24T22:29:33Z,2019-08-25T13:15:33Z,2019-08-25T13:15:33Z,1,REVIEW_REQUIRED,14.766666666666667,4,544,Merged
[Document improvement request] Add installation guide in README.md,2019-08-30T12:51:20Z,,2019-11-24T18:30:27Z,1,REVIEW_REQUIRED,2069.6519444444443,3,12,Closed
fix: encryption and compression didn't work in xtcp,2019-08-31T05:31:45Z,,2019-08-31T13:16:30Z,2,REVIEW_REQUIRED,7.745833333333334,1,0,Closed
