title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
bash keybinding: C-r remembers typed text.,2016-12-03T19:52:02Z,,2016-12-04T20:40:14Z,3,,24.803333333333335,1,145,Closed
Overhaul fish functions,2016-12-05T12:31:42Z,2016-12-14T06:37:27Z,2016-12-14T06:37:27Z,20,APPROVED,210.09583333333333,2,399,Merged
Support half page scrolling using Emacs key bindings.,2016-12-30T16:21:00Z,2017-01-16T02:58:14Z,2017-01-16T02:58:14Z,2,APPROVED,394.62055555555554,3,0,Merged
[vim] Run fzf-tmux asynchronously using Vim8/Neovim jobs (#775),2017-01-06T04:56:49Z,,2017-01-19T18:04:25Z,2,CHANGES_REQUESTED,325.12666666666667,1,457,Closed
"use ""type"" instead of ""cat"" on windows",2017-02-06T22:08:56Z,2017-02-07T05:42:08Z,2017-02-07T05:42:08Z,3,APPROVED,7.553333333333334,1,113,Merged
don't cd when cancelling alt+c keybind,2017-02-08T06:15:17Z,2017-02-09T05:05:03Z,2017-02-09T05:05:03Z,2,APPROVED,22.829444444444444,1,10,Merged
shell: Replace `sed` with `-mindepth 1` and `cut`,2017-02-15T15:09:58Z,2017-02-16T08:18:01Z,2017-02-16T08:18:01Z,3,APPROVED,17.134166666666665,3,0,Merged
Fixed #796,2017-04-02T04:12:04Z,2017-04-03T02:49:54Z,2017-04-03T02:49:54Z,3,,22.630555555555556,1,30,Merged
[vim] Use backslash for Windows filepaths,2017-04-02T20:27:26Z,2017-04-22T02:30:51Z,2017-04-22T02:30:51Z,8,,462.05694444444447,1,1170,Merged
[vim] Replace s:fzf_shellescape and s:shellesc with fzf#shellescape,2017-05-07T05:05:51Z,2017-05-29T01:06:06Z,2017-05-29T01:06:06Z,12,,524.0041666666667,2,676,Merged
Add table of contents to the README,2017-05-19T22:55:10Z,2017-05-20T10:08:57Z,2017-05-20T10:08:57Z,3,APPROVED,11.229722222222222,1,367,Merged
[vim] use utf-8 for cmd.exe,2017-05-21T01:00:25Z,2017-05-31T00:56:02Z,2017-05-31T00:56:02Z,7,,239.92694444444444,1,661,Merged
Support cygwin vim via cygpath and Windows binary,2017-05-31T03:05:49Z,2017-06-05T04:54:47Z,2017-06-05T04:54:47Z,9,,121.81611111111111,1,1059,Merged
