title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Adding 4 directories generated by GWT compiler.,2013-11-13T02:03:53Z,2013-11-27T03:48:41Z,2013-11-27T03:48:41Z,1,,337.74666666666667,1,177,Merged
Add an explanation to reduce PHP framework clutter,2015-03-01T02:00:01Z,2017-02-02T09:56:08Z,2017-02-02T09:56:08Z,1,,16903.93527777778,2,1096,Merged
Create Crystal.gitignore,2015-07-12T02:30:30Z,,2017-07-16T06:09:13Z,1,,17643.645277777778,1,924,Closed
Add .gitignore for the Clean programming language,2015-09-22T10:35:40Z,,2017-02-28T10:36:25Z,1,,12600.0125,1,246,Closed
Created gitignore file for the QuartusII IDE from Altera.,2015-10-01T20:11:53Z,,2018-11-22T20:02:22Z,1,CHANGES_REQUESTED,27551.84138888889,1,394,Closed
Added .gitignore for @phonegap/@cordova,2015-11-16T14:59:02Z,,2018-11-22T20:22:01Z,1,,26453.383055555554,1,114,Closed
add octobercms.gitignore,2015-11-26T11:58:42Z,,2018-11-23T11:38:59Z,1,,26231.671388888888,1,0,Closed
add gitignore for openFrameworks,2016-03-21T03:31:46Z,,2018-11-22T20:55:17Z,1,CHANGES_REQUESTED,23441.391944444444,1,72,Closed
Add Cordova gitignore,2016-06-06T22:11:39Z,,2018-11-22T20:21:36Z,1,,21574.165833333333,1,678,Closed
[Smalltalk] add support for Dolphin Smalltalk,2016-06-28T23:32:27Z,2018-11-23T18:54:51Z,2018-11-23T18:54:51Z,6,,21067.373333333333,1,274,Merged
for phalcon-phpstorm,2016-07-01T06:45:11Z,,2018-11-22T20:48:05Z,1,,20990.048333333332,1,197,Closed
added Arcanist gitignore,2016-07-09T22:26:38Z,,2017-02-23T01:50:00Z,1,,5475.389444444444,1,669,Closed
"[Python] correcting a wrong written ""extension""",2016-08-15T09:34:19Z,,2018-08-17T16:23:11Z,1,,17574.814444444444,1,330,Closed
[Scala] exclude Scala IDE related .cache-main .,2016-08-16T06:54:15Z,2017-02-16T10:58:40Z,2017-02-16T10:58:40Z,5,,4420.073611111111,1,100,Merged
[VisualStudio] ignore files after UWP package was created..,2016-08-25T22:06:54Z,,2018-06-17T19:36:56Z,3,,15861.500555555556,1,269,Closed
Add gitignore for Cypress Semiconductor IDE,2016-08-30T20:15:03Z,2018-10-27T22:33:29Z,2018-10-27T22:33:29Z,2,,18914.30722222222,1,537,Merged
"[ObjC, Swift, Xcode] Make Objective-C & Swift symlinks to Xcode",2016-09-05T12:38:43Z,,2018-11-23T18:45:29Z,3,,19422.112777777777,5,353,Closed
Android studio gitignore,2016-09-08T12:57:49Z,,2018-11-23T18:57:18Z,1,,19349.991388888888,1,678,Closed
Add support for Cake.Net,2016-09-15T07:50:48Z,2016-09-26T11:18:34Z,2016-09-26T11:18:34Z,4,,267.4627777777778,1,253,Merged
Add rustfmt gitignore,2016-09-15T10:27:33Z,2016-10-03T03:46:39Z,2016-10-03T03:46:39Z,1,,425.3183333333333,1,221,Merged
[Node/VisualStudio] ignore typings directory,2016-09-20T02:29:26Z,2017-02-02T11:00:35Z,2017-02-02T11:00:35Z,1,,3248.5191666666665,2,339,Merged
Update Node.gitignore,2016-09-21T06:23:59Z,2016-09-26T10:08:35Z,2016-09-26T10:08:35Z,2,,123.74333333333334,1,677,Merged
Don't ignore Python coverage configuration,2016-09-27T00:24:52Z,,2016-09-27T23:38:33Z,1,,23.228055555555557,1,95,Closed
A new template for Perl 6,2016-10-26T03:22:19Z,2018-06-21T14:39:12Z,2018-06-21T14:39:12Z,1,,14483.281388888889,1,549,Merged
Create IAR.gitignore,2016-11-02T12:51:40Z,,2024-06-03T20:59:01Z,1,APPROVED,66488.1225,1,248,Closed
Laravel: ignore homestead config and npm debug.,2016-11-18T12:47:46Z,2017-01-29T12:31:40Z,2017-01-29T12:31:40Z,6,,1727.7316666666666,1,461,Merged
Add zip and gzip extensions to Perl.gitignore,2016-12-02T01:04:05Z,2016-12-02T11:10:49Z,2016-12-02T11:10:49Z,3,,10.112222222222222,1,243,Merged
add lines from official codeigniter download,2016-12-20T11:48:03Z,2016-12-21T03:43:27Z,2016-12-21T03:43:27Z,2,,15.923333333333334,1,260,Merged
[Python] add .venv as file,2017-01-24T12:48:59Z,2017-02-01T16:57:15Z,2017-02-01T16:57:15Z,1,,196.13777777777779,1,524,Merged
Add .env to Node.gitignore,2017-01-25T03:18:10Z,2017-01-25T13:39:38Z,2017-01-25T13:39:38Z,1,,10.357777777777779,1,385,Merged
Ignoring more generated file for Java project,2017-02-02T01:57:55Z,,2017-02-03T04:07:01Z,3,,26.151666666666667,1,175,Closed
Adding a rule for ignoring the target directory from the build,2017-02-08T19:16:05Z,,2017-02-09T08:32:46Z,3,,13.278055555555556,1,180,Closed
Add comment for Java .class files,2017-02-13T22:02:44Z,2017-02-15T09:20:24Z,2017-02-15T09:20:24Z,1,,35.294444444444444,1,0,Merged
[Python Gitignore] Ignore Sage's parsed files,2017-02-20T05:52:48Z,2017-02-20T09:23:14Z,2017-02-20T09:23:14Z,2,,3.507222222222222,1,801,Merged
ignore IML files again,2017-02-22T17:19:04Z,,2018-11-22T20:50:52Z,3,,15315.53,1,1248,Closed
Prevent unintended folders from being ignored,2017-02-24T14:50:23Z,,2017-03-28T23:56:41Z,1,,777.105,1,690,Closed
D: Ignore generated test files,2017-02-26T11:19:20Z,,2018-10-27T23:01:51Z,1,,14603.708611111111,1,361,Closed
Added .vscode and tags for VSCode projects,2017-03-02T15:54:02Z,,2017-03-02T22:08:35Z,1,,6.2425,1,677,Closed
[VisualStudio] ASP.NET Core - bower - default config,2017-03-02T22:21:50Z,2018-11-23T20:15:50Z,2018-11-23T20:15:50Z,2,,15141.9,1,309,Merged
.gitignore for OpenFrameworks.cc,2017-03-03T19:24:09Z,,2018-11-23T19:54:22Z,1,CHANGES_REQUESTED,15120.503611111111,1,294,Closed
Add Crystal template,2017-03-04T13:24:56Z,,2018-11-23T19:58:42Z,1,,15102.562777777777,1,607,Closed
[Swift] adding new rules,2017-03-08T10:48:56Z,,2018-11-23T18:19:10Z,2,,15007.503888888888,1,1062,Closed
Improve Objc file,2017-03-08T10:50:24Z,,2018-11-23T18:19:40Z,1,CHANGES_REQUESTED,15007.487777777778,2,1062,Closed
Drastically simplify .gitignore for Dart,2017-03-11T00:35:18Z,2017-03-13T00:44:35Z,2017-03-13T00:44:35Z,1,,48.15472222222222,1,564,Merged
Add new gitignore for Ansible test driven development,2017-03-16T18:59:01Z,,2018-11-23T17:30:28Z,1,,14806.524166666666,1,1038,Closed
Added Salesforce .gitIgnore,2017-03-17T23:51:51Z,,2018-11-23T19:57:00Z,4,,14780.085833333333,1,264,Closed
ignore .DS_Store file in MacOS platform.,2017-03-26T15:55:13Z,,2017-03-26T21:35:38Z,1,,5.673611111111111,3,459,Closed
Update JetBrains.gitignore,2017-03-31T03:24:36Z,,2017-04-14T23:45:23Z,3,,356.3463888888889,1,245,Closed
Ignore mkdocs site directory,2017-03-31T08:54:05Z,2017-04-03T00:13:01Z,2017-04-03T00:13:01Z,2,,63.315555555555555,1,232,Merged
Upgrade gradle gitignore,2017-04-09T18:49:12Z,,2017-04-19T14:49:31Z,2,CHANGES_REQUESTED,236.0052777777778,1,549,Closed
[MPLabX] add new template,2017-04-17T15:01:27Z,,2021-12-04T15:38:12Z,3,,40608.6125,1,393,Closed
Update and rename Drupal.gitignore to Drupal7.gitignore,2017-04-23T22:27:50Z,,2018-11-22T20:40:22Z,1,,13870.208888888888,2,320,Closed
Create Drupal8.gitignore,2017-04-23T22:30:55Z,,2018-11-22T20:39:44Z,1,,13870.146944444445,1,327,Closed
Add gitignore for Construct2 projects,2017-05-07T09:35:20Z,,2018-11-23T19:02:11Z,1,,13569.4475,1,453,Closed
add .appx to VisualStudio.gitignore,2017-05-09T10:00:17Z,2017-05-20T05:07:54Z,2017-05-20T05:07:54Z,6,,259.12694444444446,1,490,Merged
Ywaby,2017-05-11T03:22:50Z,,2018-06-17T19:08:29Z,1,,9663.760833333334,2,201,Closed
Improve handling of VisualStudio Publish Profiles,2017-05-19T14:14:21Z,,2017-05-21T03:53:58Z,4,,37.66027777777778,1,622,Closed
Add .cpp,2017-05-22T11:51:54Z,,2017-05-23T08:06:34Z,1,,20.244444444444444,1,24,Closed
[Android] Cleanup and remove legacy stuff,2017-06-01T07:46:57Z,2021-12-03T19:58:15Z,2021-12-03T19:58:15Z,22,,39516.18833333333,1,1964,Merged
Add .gitignore file for Hugo.,2017-06-05T03:40:53Z,,2018-11-22T19:46:27Z,3,,12856.092777777778,1,673,Closed
Including recommended Symfony gitignore rules,2017-06-09T21:13:28Z,,2018-06-17T19:01:26Z,2,,8949.799444444445,1,259,Closed
Added SuperCharger,2017-06-23T15:56:02Z,,2017-06-26T09:57:12Z,2,,66.01944444444445,1,288,Closed
Add *.log and *.iml to JetBrains.gitignore,2017-06-24T08:48:29Z,,2018-06-17T19:02:16Z,1,,8602.229722222222,1,664,Closed
Remove TODO from VS.gitignore,2017-07-30T00:29:49Z,2017-07-31T12:18:18Z,2017-07-31T12:18:18Z,2,,35.808055555555555,1,219,Merged
Update VisualStudio.gitignore,2017-08-07T23:30:28Z,,2017-08-13T05:49:01Z,1,,126.30916666666667,1,210,Closed
Small fix - Meta files,2017-08-20T14:00:13Z,,2017-08-21T07:19:17Z,1,,17.317777777777778,1,169,Closed
Use desktop.ini instead of Desktop.ini,2017-08-22T12:55:20Z,,2017-10-23T10:01:44Z,2,,1485.1066666666666,1,466,Closed
Added Simulink model backups,2017-09-11T10:19:13Z,,2018-10-27T12:49:55Z,4,,9866.511666666667,1,550,Closed
Add cabal.project.local~ to Haskell.gitignore,2017-09-19T15:07:30Z,2017-11-29T01:04:16Z,2017-11-29T01:04:16Z,1,APPROVED,1689.9461111111111,1,648,Merged
Add *.snk strong name key files,2017-09-21T13:10:21Z,2017-12-26T03:30:10Z,2017-12-26T03:30:10Z,1,,2294.3302777777776,1,636,Merged
Add *.sta (standalone packages) for TeX,2017-09-21T17:39:51Z,2017-11-29T01:00:43Z,2017-11-29T01:00:43Z,1,APPROVED,1639.3477777777778,1,342,Merged
update gitignore for submodule inside assetfolder,2017-10-01T16:01:37Z,,2018-05-04T04:52:57Z,1,,5148.855555555556,1,417,Closed
Update VisualStudio.gitignore,2017-10-30T15:37:01Z,2017-11-29T00:47:26Z,2017-11-29T00:47:26Z,4,APPROVED,705.1736111111111,1,36,Merged
Update Android.gitignore,2017-11-30T21:00:48Z,,2018-03-11T21:57:45Z,1,,2424.9491666666668,1,133,Closed
Added Godot gitignore (https://godotengine.org/),2017-12-11T15:46:38Z,,2018-03-06T22:44:51Z,6,,2046.9702777777777,1,1028,Closed
Added a few common CAM file extensions,2017-12-25T21:57:02Z,2017-12-25T23:24:52Z,2017-12-25T23:24:52Z,1,,1.4638888888888888,1,315,Merged
update  Maven.gitignore file,2017-12-30T16:41:39Z,,2018-01-04T12:34:56Z,1,,115.88805555555555,1,210,Closed
[Xcode] add some new rules,2018-01-04T02:37:09Z,2019-05-12T13:24:49Z,2019-05-12T13:24:49Z,4,APPROVED,11842.794444444444,1,436,Merged
New template for Atom editor,2018-01-04T02:38:59Z,,2018-03-11T21:54:00Z,1,CHANGES_REQUESTED,1603.2502777777777,1,364,Closed
New Template file for Iconic3,2018-01-04T06:06:19Z,,2018-11-22T21:20:22Z,1,,7743.234166666667,1,564,Closed
Solidity/Truffle .gitignore,2018-01-22T16:40:01Z,,2018-11-23T18:34:33Z,1,,7321.908888888889,1,665,Closed
"Global/XilinxISE.gitignore: + Commenting *.ngc files to track compiled cores. +adding *.vhi, *.lo…",2018-01-24T13:19:13Z,,2018-11-23T18:10:30Z,1,CHANGES_REQUESTED,7276.854722222222,1,676,Closed
Update Python.gitignore,2018-01-31T16:23:42Z,,2018-02-04T08:36:20Z,1,,88.21055555555556,1,383,Closed
Create Godot.gitignore,2018-02-25T23:00:01Z,2018-03-11T21:32:57Z,2018-03-11T21:32:57Z,1,,334.5488888888889,1,259,Merged
"(Unity) Ignore /Library, /Temp, /Build, or /Builds not any directory",2018-03-07T08:55:47Z,,2018-06-20T02:37:34Z,3,,2513.696388888889,1,218,Closed
Update Swift.gitignore,2018-03-16T02:54:35Z,,2018-03-19T22:17:07Z,1,,91.37555555555555,1,98,Closed
Remove tfvars files from Terraform.gitignore,2018-04-04T17:59:59Z,2018-05-13T23:16:43Z,2018-05-13T23:16:43Z,1,APPROVED,941.2788888888889,1,876,Merged
add .history folder to gitignore,2018-04-05T09:51:32Z,,2018-06-17T18:41:24Z,3,,1760.831111111111,1,49,Closed
Fix the anchor to ignore section,2018-04-05T17:24:49Z,2018-04-07T00:47:17Z,2018-04-07T00:47:17Z,1,APPROVED,31.374444444444446,1,70,Merged
Python.gitignore improvements,2018-04-07T20:59:10Z,,2018-09-16T02:01:11Z,1,,3869.033611111111,1,1007,Closed
