title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
add function for bool in math/rand,2018-02-13T04:36:22Z,,2021-11-09T15:20:05Z,2,,32770.72861111111,1,48,Closed
runtime: fix typo in comment,2018-02-13T09:48:08Z,,2018-02-13T15:15:32Z,1,,5.456666666666667,1,29,Closed
doc: adds missing log package,2018-03-28T23:22:58Z,,2018-10-04T17:30:39Z,1,,4554.128055555556,1,2,Closed
encoding/json: include property name for marshal errors,2018-04-29T04:00:26Z,,2021-12-15T19:03:38Z,1,,31839.053333333333,2,365,Closed
net/http: add Post example,2018-10-02T17:24:09Z,,2020-11-10T19:18:07Z,3,,18481.899444444443,1,90,Closed
doc/code.html: update code.html to use go modules,2018-10-15T19:54:50Z,,2020-02-26T22:01:06Z,23,,11978.104444444445,1,89,Closed
runtime: remove no-op pointer writes in treap rotations,2018-10-26T15:11:14Z,,2019-10-10T19:25:36Z,2,,8380.239444444445,1,1,Closed
go/ast: break out after first variable in ExampleCommentMap,2018-11-04T09:56:39Z,,2019-02-27T00:00:57Z,1,,2750.0716666666667,1,106,Closed
encoding/json: add simple example,2018-11-06T19:53:20Z,,2021-12-15T19:03:59Z,2,,27239.1775,1,62,Closed
cmd/go: don't panic when go run is passed ... under nonexistent dir,2018-11-10T00:36:04Z,,2018-11-14T20:00:32Z,2,,115.40777777777778,2,195,Closed
doc: add missing import of the log package,2018-11-11T20:19:36Z,,2021-12-15T19:03:59Z,1,,27118.73972222222,1,137,Closed
encoding/json: document the unmarshalling of missing json fields,2018-11-12T10:23:06Z,,2021-12-15T19:04:00Z,1,,27104.681666666667,1,249,Closed
crypto/x509: remove redundant slice index in domainToReverseLabels,2019-01-10T04:00:06Z,,2019-06-11T00:38:33Z,1,,3644.6408333333334,1,1,Closed
crypto/x509: remove the redundant type declaration,2019-01-10T08:21:21Z,,2019-02-27T20:56:07Z,1,,1164.5794444444443,1,0,Closed
bytes: check Write error before written length,2019-01-30T17:30:48Z,,2019-02-03T16:08:23Z,1,APPROVED,94.62638888888888,1,0,Closed
bytes: add missing Write error check,2019-01-30T17:30:57Z,,2019-02-04T12:39:51Z,1,APPROVED,115.14833333333333,1,0,Closed
bytes: clean up a test,2019-01-30T17:31:05Z,,2019-02-26T23:18:18Z,1,APPROVED,653.7869444444444,1,0,Closed
cmd/compile/internal/ssa: ignore error from second call to MatchString in test,2019-01-30T17:31:21Z,,2019-03-02T17:37:33Z,1,,744.1033333333334,1,0,Closed
cmd/internal/obj/mips: use r instead of p.Reg in call to OP_IRR,2019-01-30T17:32:06Z,,2019-03-03T17:05:29Z,1,,767.5563888888889,1,0,Closed
cmd/internal/obj: stay consistent by defining loop variable outside loop header,2019-01-30T17:32:18Z,,2019-03-02T05:50:20Z,1,APPROVED,732.3005555555555,1,0,Closed
os: simplify check whether to run subtest of TestRemoveAll,2019-01-30T17:34:36Z,,2019-03-05T02:48:48Z,1,,801.2366666666667,1,0,Closed
misc: fix typos in various docs,2019-02-10T15:59:07Z,,2019-03-07T07:36:53Z,1,,591.6294444444444,4,0,Closed
net: add IP.IsLocal,2019-02-17T08:44:22Z,,2020-03-27T20:25:15Z,6,,9707.681388888888,2,12,Closed
cmd/compile: fix mips64 instruction UNPREDICTABLE bug,2019-02-28T06:45:02Z,,2019-03-05T03:55:37Z,1,,117.1763888888889,1,222,Closed
syscall: avoid zeroing unused syscall arguments,2019-04-21T12:37:28Z,,2019-09-16T14:20:52Z,1,,3553.7233333333334,3,0,Closed
encoding/binary : add float support to fast path,2019-05-02T14:54:14Z,,2019-11-08T18:45:22Z,1,,4563.852222222222,2,1971,Closed
