title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
add option to center window,2015-07-22T18:01:57Z,,2017-06-27T18:06:13Z,2,REVIEW_REQUIRED,16944.071111111112,5,216,Closed
Added lambda expressions and function object in GDScript.,2015-10-30T08:57:16Z,,2017-03-01T18:36:03Z,1,REVIEW_REQUIRED,11721.646388888888,9,448,Closed
Apply changes/Revert changes tools for instanced scenes,2016-05-18T07:34:16Z,,2017-01-11T08:59:45Z,1,REVIEW_REQUIRED,5713.424722222222,2,398,Closed
Reload scene if it was modified on disk.,2016-05-26T11:47:53Z,,2017-03-04T16:51:59Z,1,CHANGES_REQUESTED,6773.068333333334,4,127,Closed
Ragdoll Support: override centre of mass on 3D rigid bodies and set as toplevel during integration phase,2016-05-30T13:56:24Z,,2017-01-11T10:27:03Z,1,REVIEW_REQUIRED,5420.510833333334,8,3056,Closed
Redefine var results in an error,2016-05-30T15:39:42Z,2017-01-14T20:07:08Z,2017-01-14T20:07:08Z,1,REVIEW_REQUIRED,5500.457222222222,1,325,Merged
Add resource type and editor plugin for text files,2016-06-20T10:20:18Z,,2017-01-25T18:21:32Z,1,REVIEW_REQUIRED,5264.020555555556,8,377,Closed
Advanced String format with named/numbered parameters,2016-07-11T17:31:52Z,,2017-01-10T13:54:30Z,1,REVIEW_REQUIRED,4388.377222222222,3,3877,Closed
Add power battery% access,2016-07-23T11:18:54Z,,2017-03-04T17:06:46Z,3,REVIEW_REQUIRED,5381.797777777778,44,268,Closed
"Treat comma as a valid character in decimal number strings, closes #6028",2016-08-10T15:53:42Z,,2016-10-22T10:41:25Z,1,CHANGES_REQUESTED,1746.7952777777778,1,122,Closed
Add Node2d global rot/rotd/scale methods,2016-08-15T09:55:27Z,2016-08-29T17:04:24Z,2016-08-29T17:04:24Z,1,REVIEW_REQUIRED,343.14916666666664,3,267,Merged
magic _str method,2016-08-27T20:20:54Z,,2017-01-14T21:12:03Z,1,REVIEW_REQUIRED,3360.8525,1,501,Closed
Add WebM support,2016-09-14T21:26:35Z,2016-10-30T17:12:01Z,2016-10-30T17:12:01Z,6,REVIEW_REQUIRED,1099.7572222222223,322,905,Merged
Fix highlight current script when script temperature is disabled,2016-09-15T14:42:50Z,2016-09-17T16:36:23Z,2016-09-17T16:36:23Z,1,REVIEW_REQUIRED,49.8925,1,80,Merged
scons detects standalone MSVC on Windows,2016-09-15T16:08:43Z,2016-10-03T09:36:44Z,2016-10-03T09:36:44Z,1,APPROVED,425.46694444444444,4,1391,Merged
Add scrolling to Tree control in Drag and Drop mode,2016-09-17T19:51:29Z,2016-10-03T09:44:32Z,2016-10-03T09:44:32Z,1,APPROVED,373.88416666666666,3,602,Merged
"Add docs for XMLparser, VideoPlayer and most of Tree",2016-09-19T19:38:04Z,2016-09-20T04:21:28Z,2016-09-20T04:21:28Z,2,APPROVED,8.723333333333333,1,0,Merged
Use full width of TreeItem::Cell to change value in CELL_MODE_CHECK,2016-09-19T21:27:23Z,2016-10-09T11:54:36Z,2016-10-09T11:54:36Z,1,APPROVED,470.4536111111111,1,506,Merged
Fix for #6158,2016-09-20T04:37:19Z,2016-09-20T07:28:26Z,2016-09-20T07:28:26Z,3,APPROVED,2.8519444444444444,9,50,Merged
Fix manifest generation bug in Android export,2016-09-21T10:44:25Z,2016-09-23T05:28:04Z,2016-09-23T05:28:04Z,1,REVIEW_REQUIRED,42.7275,1,568,Merged
Tween reset/stop/resume/remove for all object properties at once,2016-09-25T21:49:08Z,2016-10-09T11:56:33Z,2016-10-09T11:56:33Z,5,REVIEW_REQUIRED,326.12361111111113,2,376,Merged
"minor cleanup for code in the ""platform"" section",2016-09-26T10:15:15Z,2016-09-28T14:51:41Z,2016-09-28T14:51:41Z,2,APPROVED,52.60722222222222,1,44,Merged
Fixes in Theora SCsub,2016-09-26T14:40:12Z,2016-10-03T10:33:57Z,2016-10-03T10:33:57Z,2,CHANGES_REQUESTED,163.89583333333334,1,96,Merged
"Code completion for is_action_just_{pressed, released}",2016-09-26T20:19:02Z,2016-09-27T07:23:02Z,2016-09-27T07:23:02Z,1,REVIEW_REQUIRED,11.066666666666666,1,94,Merged
Fix for crash when finding intersection on colliders that overlap,2016-09-27T02:43:10Z,2016-10-09T12:04:22Z,2016-10-09T12:04:22Z,1,REVIEW_REQUIRED,297.35333333333335,1,271,Merged
Windows: prevent huge prints from crashing the engine,2016-09-29T01:24:32Z,2016-09-29T07:31:52Z,2016-09-29T07:31:52Z,1,REVIEW_REQUIRED,6.122222222222222,1,781,Merged
"Adds Vector.angle_to(Vector other), fixes #3912",2016-10-01T19:22:11Z,2016-10-03T11:53:46Z,2016-10-03T11:53:46Z,1,CHANGES_REQUESTED,40.52638888888889,3,48,Merged
Add `String char(int ascii)` function to GDScript and Visual Script,2016-10-03T16:21:30Z,2016-10-17T07:40:39Z,2016-10-17T07:40:39Z,1,APPROVED,327.31916666666666,4,265,Merged
