title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Fix for Poe account creation,2023-04-23T21:51:40Z,2023-04-25T10:24:35Z,2023-04-25T10:24:35Z,2,APPROVED,36.548611111111114,6,306,Merged
Added GUI,2023-04-24T15:54:11Z,2023-04-24T18:08:55Z,2023-04-24T18:08:55Z,1,,2.2455555555555557,3,0,Merged
Spelling check,2023-04-24T15:54:42Z,2023-04-24T18:09:16Z,2023-04-24T18:09:16Z,1,,2.242777777777778,1,50,Merged
Update README.md + made a Jupyter notebook,2023-04-25T18:01:25Z,2023-04-26T07:55:12Z,2023-04-26T07:55:12Z,1,CHANGES_REQUESTED,13.89638888888889,1,613,Merged
update new gpt4/gpt3.5 website https://chat.forefront.ai/,2023-04-26T03:51:48Z,2023-04-26T07:56:20Z,2023-04-26T07:56:20Z,1,,4.075555555555556,1,57,Merged
Reformat code using PyCharm,2023-04-27T12:48:24Z,,2023-04-27T14:42:56Z,1,,1.9088888888888889,33,133,Closed
قم بإنشاء ملف جديد,2023-04-27T17:34:01Z,,2023-04-28T08:01:57Z,1,,14.465555555555556,1,8,Closed
added openai-rev package,2023-04-27T21:23:00Z,,2023-04-29T08:53:01Z,3,,35.500277777777775,71,140,Closed
Refactored code for improved efficiency and readability,2023-04-27T22:16:19Z,,2023-04-28T23:06:03Z,4,,24.82888888888889,1,1378,Closed
Update __init__.py,2023-04-28T10:44:18Z,,2023-04-28T11:50:55Z,1,,1.1102777777777777,1,40,Closed
easy deployment with docker-compose,2023-04-29T13:31:32Z,2023-04-30T11:15:59Z,2023-04-30T11:15:59Z,2,,21.740833333333335,2,0,Merged
refactor(gpt4free/cocalc/__init__.py): Refactored init file,2023-04-29T18:40:09Z,2023-04-30T11:19:14Z,2023-04-30T11:19:14Z,1,,16.65138888888889,3,210,Merged
Optimize dockerfile,2023-05-05T11:32:40Z,2023-05-07T20:00:38Z,2023-05-07T20:00:38Z,1,,56.46611111111111,1,87,Merged
Fixed error in gpt4free/usesless/__init__.py [IndexError: list index out of range],2023-05-23T19:46:50Z,2023-05-24T17:40:12Z,2023-05-24T17:40:12Z,1,,21.889444444444443,1,1510,Merged
Remove forced Streamlit version,2023-05-25T11:52:45Z,,2023-05-28T00:38:06Z,2,,60.755833333333335,1,132,Closed
