title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Issue #381,2016-03-11T17:27:13Z,,2017-02-11T23:08:36Z,1,REVIEW_REQUIRED,8093.689722222222,19,88,Closed
Issue #469: Event-based Asynchronous pattern,2016-08-08T22:35:58Z,2016-10-18T04:43:01Z,2016-10-18T04:43:01Z,3,REVIEW_REQUIRED,1686.1175,17,104,Merged
Caching pattern: Cache-Aside,2016-09-22T18:54:46Z,2016-10-17T19:49:17Z,2016-10-17T19:49:17Z,2,REVIEW_REQUIRED,600.9086111111111,11,184,Merged
Adds criticism to a Service Locator and Singleton patterns.,2016-10-04T12:37:44Z,2016-10-18T18:01:59Z,2016-10-18T18:01:59Z,2,APPROVED,341.40416666666664,2,84,Merged
Object Mother pattern #498,2016-10-06T18:15:38Z,2016-11-26T18:22:48Z,2016-11-26T18:22:48Z,4,CHANGES_REQUESTED,1224.1194444444445,11,65,Merged
Index Table Pattern and Pipeline pattern,2016-10-11T10:27:06Z,,2016-11-26T13:16:15Z,20,CHANGES_REQUESTED,1106.8191666666667,34,85,Closed
Module pattern #62,2016-10-27T10:33:41Z,2016-12-01T18:53:12Z,2016-12-01T18:53:12Z,6,CHANGES_REQUESTED,848.3252777777777,12,36,Merged
Issue #450. First commit. Queue Based Load Leveling,2016-11-20T11:05:54Z,2016-11-28T17:04:31Z,2016-11-28T17:04:31Z,3,CHANGES_REQUESTED,197.97694444444446,16,348,Merged
#450 Blog: Queue-Based Load Leveling Pattern ,2016-12-08T16:04:35Z,2017-01-13T11:18:06Z,2017-01-13T11:18:06Z,4,APPROVED,859.2252777777778,6,248,Merged
Thread Local Storage issue #77,2016-12-16T10:44:19Z,2017-04-01T09:29:03Z,2017-04-01T09:29:03Z,2,CHANGES_REQUESTED,2542.7455555555557,13,489,Merged
Adding initialization-on-demand idiom and noninstantiable class instead of interface constant idiom,2016-12-24T21:53:46Z,2017-01-23T06:21:08Z,2017-01-23T06:21:08Z,1,CHANGES_REQUESTED,704.4561111111111,13,65,Merged
Blog post for Proxy pattern,2016-12-26T17:37:38Z,2017-01-21T11:24:13Z,2017-01-21T11:24:14Z,1,,617.7763888888888,3,0,Merged
Combinator issue #499,2017-01-05T21:04:02Z,,2017-04-22T11:58:12Z,1,CHANGES_REQUESTED,2558.902777777778,18,0,Closed
#66 Balking Pattern,2017-01-06T00:32:54Z,2017-03-26T12:00:22Z,2017-03-26T12:00:22Z,3,APPROVED,1907.4577777777777,11,43,Merged
guarded suspension pattern #69,2017-01-06T00:35:27Z,2017-03-12T08:36:28Z,2017-03-12T08:36:28Z,3,APPROVED,1568.0169444444443,9,43,Merged
