title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add N queens problem bitwise solution,2018-05-24T11:13:23Z,2018-08-20T12:57:02Z,2018-08-20T12:57:02Z,1,CHANGES_REQUESTED,2113.7275,3,0,Merged
Radix sort,2018-05-28T18:29:39Z,2018-05-29T05:38:20Z,2018-05-29T05:38:20Z,1,APPROVED,11.144722222222223,5,123,Merged
Fix typos,2018-06-09T08:25:57Z,2018-06-12T14:46:40Z,2018-06-12T14:46:40Z,2,,78.34527777777778,8,26,Merged
added Bidirectional Conditional Insertion Sort,2018-06-13T20:22:41Z,,2018-06-14T15:45:28Z,2,,19.379722222222224,5,1121,Closed
Fix the insertion sort,2018-07-01T12:57:01Z,2018-07-03T08:56:35Z,2018-07-03T08:56:35Z,1,,43.992777777777775,1,97,Merged
Complex Number and Vector Class added,2018-07-03T14:38:54Z,,2018-07-24T10:07:47Z,2,,499.4813888888889,8,0,Closed
Fix knuthMorrisPratt for empty word request,2018-07-20T23:44:03Z,2018-07-24T09:26:23Z,2018-07-24T09:26:23Z,5,,81.70555555555555,2,512,Merged
Refactor Rabin-Karp,2018-07-24T19:02:53Z,2018-07-30T09:20:41Z,2018-07-30T09:20:41Z,1,,134.29666666666665,4,116,Merged
Refactored disjoint set data structure,2018-07-25T19:37:37Z,,2018-07-26T14:33:41Z,11,,18.934444444444445,7,104,Closed
New function 'fromArray',2018-07-30T13:08:00Z,,2018-08-06T13:19:25Z,5,,168.19027777777777,1,60,Closed
fibonacci logn iterative implementation,2018-08-03T03:11:31Z,,2018-10-29T22:09:22Z,3,,2106.9641666666666,3,194,Closed
Add karatsubaMultiplication,2018-08-11T17:38:42Z,,2019-10-14T13:01:34Z,1,,10291.381111111112,3,53,Closed
Add LinkedList traversal and reverse implementations,2018-08-31T15:42:52Z,2018-09-08T08:55:52Z,2018-09-08T08:55:52Z,1,,185.21666666666667,3,154,Merged
Improved the countSetBit,2018-09-03T15:54:54Z,,2018-09-04T16:03:50Z,2,,24.148888888888887,7,71,Closed
Properly detect min and max element in array,2018-10-13T09:23:18Z,2018-10-17T03:19:14Z,2018-10-17T03:19:14Z,1,,89.93222222222222,1,0,Merged
"fix typo ""リー"" to ""ツリー""",2019-02-10T12:12:34Z,2019-03-08T11:01:07Z,2019-03-08T11:01:08Z,1,,622.8091666666667,1,9,Merged
Caeser cipher,2020-07-29T00:07:17Z,2020-08-08T09:51:23Z,2020-08-08T09:51:23Z,1,,249.735,3,209,Merged
Add french translation for some chapters,2020-08-01T02:36:32Z,2020-08-09T12:10:16Z,2020-08-09T12:10:16Z,1,,201.56222222222223,10,171,Merged
Fix README typo,2020-08-04T03:55:58Z,2020-08-08T09:45:16Z,2020-08-08T09:45:16Z,2,,101.82166666666667,2,92,Merged
added prime-factors algorithms under maths algorithms,2020-08-27T21:03:06Z,2020-12-10T16:54:12Z,2020-12-10T16:54:12Z,1,,2515.8516666666665,4,193,Merged
Fix typo in comment,2020-09-15T07:26:16Z,2020-12-09T07:13:06Z,2020-12-09T07:13:06Z,1,,2039.7805555555556,1,94,Merged
"set Data Structure to ""Estrutura de Dados""",2020-09-25T03:04:34Z,2020-12-09T07:09:30Z,2020-12-09T07:09:30Z,1,,1804.0822222222223,1,53,Merged
Add Mini-max sum,2020-09-27T13:29:32Z,,2020-12-04T10:27:15Z,1,,1628.9619444444445,4,18,Closed
Create AVL Tree,2020-10-01T09:57:46Z,,2020-12-08T17:12:32Z,1,,1639.246111111111,1,0,Closed
Improved docsUpdate README.md,2020-10-01T11:01:10Z,,2020-12-08T17:10:53Z,1,,1638.1619444444445,1,0,Closed
Create taximete,2020-10-19T04:20:03Z,,2020-12-08T17:04:36Z,1,,1212.7425,1,0,Closed
Add Horner's Method,2020-11-17T00:51:16Z,2020-12-08T07:59:32Z,2020-12-08T07:59:32Z,3,,511.1377777777778,3,276,Merged
Update Branch & Bound description in README.md,2020-11-18T21:21:02Z,,2020-12-03T15:01:54Z,1,,353.68111111111114,0,81,Closed
fix error,2021-02-05T04:07:06Z,2022-01-27T20:02:10Z,2022-01-27T20:02:10Z,1,,8559.917777777779,1,0,Merged
"Create {{name.first | ""orada""}} ,",2021-02-16T16:16:03Z,,2021-02-18T07:03:30Z,1,,38.79083333333333,1,0,Closed
Update README.es-ES.md,2021-04-29T23:10:23Z,2021-05-06T04:43:28Z,2021-05-06T04:43:28Z,1,,149.55138888888888,1,48,Merged
Add type name to Big O table,2021-06-07T21:02:44Z,2022-01-26T19:38:56Z,2022-01-26T19:38:56Z,1,,5590.6033333333335,1,0,Merged
Fix error in Queue definition from README.ru-RU.md,2021-06-20T06:07:56Z,2022-01-27T08:50:47Z,2022-01-27T08:50:47Z,1,,5306.714166666667,1,0,Merged
