title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Missing console.log,2019-06-13T13:30:23Z,2019-06-24T05:31:04Z,2019-06-24T05:31:04Z,4,APPROVED,256.0113888888889,1,61,Merged
Fix question 11,2019-06-14T15:22:45Z,2019-06-15T15:53:53Z,2019-06-15T15:53:53Z,4,REVIEW_REQUIRED,24.51888888888889,1,401,Merged
Translate the question into Chinese,2019-06-16T03:49:03Z,2019-06-16T15:40:27Z,2019-06-16T15:40:27Z,2,REVIEW_REQUIRED,11.856666666666667,2,105,Merged
Fix the question 21,2019-06-16T14:20:04Z,2019-06-17T07:38:46Z,2019-06-17T07:38:46Z,1,APPROVED,17.311666666666667,1,108,Merged
Fixing typo,2019-06-16T21:02:52Z,2019-06-17T07:38:02Z,2019-06-17T07:38:02Z,2,APPROVED,10.58611111111111,1,0,Merged
Proofreading translation,2019-06-17T07:42:14Z,2019-06-17T11:12:40Z,2019-06-17T11:12:40Z,1,APPROVED,3.507222222222222,1,43,Merged
Fix typo,2019-06-17T09:43:28Z,2019-06-17T11:12:19Z,2019-06-17T11:12:19Z,1,APPROVED,1.4808333333333332,1,29,Merged
Translate into Spanish🇪🇸,2019-06-17T18:06:44Z,2019-06-23T21:08:15Z,2019-06-23T21:08:15Z,1,APPROVED,147.02527777777777,2,17,Merged
Translation to russian,2019-06-18T08:42:40Z,2019-06-19T06:21:57Z,2019-06-19T06:21:57Z,1,APPROVED,21.654722222222222,2,0,Merged
Western balkan translation,2019-06-18T18:53:32Z,2019-06-19T06:24:07Z,2019-06-19T06:24:07Z,1,APPROVED,11.509722222222223,2,14,Merged
Translate into Vietnamese,2019-06-19T02:56:01Z,2019-06-19T15:41:03Z,2019-06-19T15:41:03Z,1,APPROVED,12.750555555555556,2,0,Merged
Translate into German  🇩🇪,2019-06-19T11:29:10Z,2019-06-19T14:16:28Z,2019-06-19T14:16:28Z,1,APPROVED,2.7883333333333336,2,74,Merged
Update README.md,2019-06-19T12:57:55Z,2019-06-23T21:11:08Z,2019-06-23T21:11:08Z,2,APPROVED,104.22027777777778,1,60,Merged
German corrections,2019-06-19T14:59:47Z,,2019-06-22T10:13:37Z,1,APPROVED,67.23055555555555,5,118,Closed
Western Balkan link was outdated,2019-06-19T16:35:17Z,2019-06-20T07:09:26Z,2019-06-20T07:09:26Z,1,APPROVED,14.569166666666666,1,25,Merged
Update README-zh_CN.md,2019-06-20T02:13:07Z,2019-06-23T21:10:10Z,2019-06-23T21:10:10Z,2,APPROVED,90.95083333333334,1,20,Merged
[Vietnamese] correct typo and improve tranlation,2019-06-20T02:25:23Z,2019-06-24T05:32:30Z,2019-06-24T05:32:30Z,3,APPROVED,99.11861111111111,1,47,Merged
[Vietnamese]Update question 13 in README-vi.md,2019-06-20T03:01:49Z,2019-06-23T21:17:55Z,2019-06-23T21:17:55Z,1,APPROVED,90.26833333333333,1,19,Merged
