title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Default timezone to inherit php.ini date.timezone,2016-09-14T18:49:22Z,,2016-09-15T13:51:46Z,1,,19.04,1,73,Closed
S3 Disk Filesystem config from .env,2016-09-18T20:48:27Z,,2016-09-20T13:41:42Z,6,,40.8875,1,0,Closed
Add unique modifier,2016-09-20T06:24:45Z,2016-09-20T13:28:29Z,2016-09-20T13:28:29Z,1,,7.062222222222222,1,0,Merged
Update to use Vue.js 2.0.x,2016-10-03T02:40:16Z,2016-10-04T16:06:23Z,2016-10-04T16:06:23Z,8,,37.43527777777778,4,151,Merged
Add typehint for Factory,2016-10-07T13:09:10Z,2016-10-07T21:39:09Z,2016-10-07T21:39:09Z,2,,8.499722222222223,1,43,Merged
[5.3] add description in laravel framework,2016-10-16T06:07:47Z,,2016-10-16T13:44:42Z,2,,7.615277777777778,1,95,Closed
Add database Prefix in .env,2016-11-13T10:12:02Z,,2016-11-13T14:59:54Z,1,,4.797777777777778,2,187,Closed
"Correction values for ""exists""",2016-12-03T12:04:44Z,,2016-12-03T15:50:57Z,1,,3.770277777777778,1,0,Closed
Add properties docblocks for \App\User,2017-01-06T09:52:42Z,,2017-01-06T14:25:03Z,1,,4.539166666666667,1,98,Closed
Use const and destructuring assignment,2017-01-23T00:14:00Z,2017-01-23T14:09:29Z,2017-01-23T14:09:29Z,1,,13.924722222222222,1,92,Merged
Ensure cross-env gets executed by node,2017-01-25T10:06:49Z,2017-01-25T13:08:05Z,2017-01-25T13:08:05Z,1,,3.0211111111111113,1,47,Merged
Checking version php.,2017-02-28T07:51:54Z,,2017-02-28T10:54:03Z,1,CHANGES_REQUESTED,3.035833333333333,9,56,Closed
Migration bug fixed,2017-03-03T05:45:02Z,,2017-03-03T09:17:29Z,2,,3.5408333333333335,1,128,Closed
Add configuration file for make command,2017-03-04T10:18:28Z,,2017-03-06T14:50:58Z,1,,52.541666666666664,1,106,Closed
"Faker locale can be set in config, add that to the default config files",2017-03-04T10:25:34Z,,2017-03-04T14:11:24Z,1,,3.763888888888889,1,375,Closed
[5.4] Fix cross-env bin path,2017-03-04T16:59:28Z,2017-03-04T22:50:23Z,2017-03-04T22:50:23Z,1,,5.848611111111111,1,87,Merged
Mailtrap now reference smtp. for their host value.,2017-03-17T16:19:13Z,2017-03-17T18:02:55Z,2017-03-17T18:02:55Z,1,,1.7283333333333333,1,133,Merged
Add comment for lodash in bootstrap.js,2017-03-22T19:48:20Z,,2017-03-22T22:28:21Z,3,CHANGES_REQUESTED,2.6669444444444443,1,154,Closed
Added changelog,2017-03-25T16:34:43Z,2017-03-27T16:24:35Z,2017-03-27T16:24:35Z,4,APPROVED,47.83111111111111,2,76,Merged
meta all small caps,2017-04-30T05:33:09Z,,2017-04-30T16:31:31Z,2,CHANGES_REQUESTED,10.972777777777777,1,72,Closed
Add missing IPv4/IPv6 validation messages,2017-05-10T23:42:14Z,2017-05-11T12:42:03Z,2017-05-11T12:42:03Z,2,,12.996944444444445,1,150,Merged
Update ModelFactory.php,2017-05-11T13:00:06Z,,2017-05-11T14:10:24Z,1,,1.1716666666666666,1,15,Closed
Update packages versions,2017-05-16T20:20:51Z,,2017-05-18T12:56:19Z,3,,40.59111111111111,1,46,Closed
Use null coalescing operator,2017-06-23T07:00:55Z,,2017-06-23T08:43:31Z,3,,1.71,1,95,Closed
Removed some unnecessary redundancy,2017-08-07T00:04:30Z,,2017-08-07T13:43:10Z,2,CHANGES_REQUESTED,13.644444444444444,5,0,Closed
Reword the readme slightly and link the email address,2017-10-21T19:55:53Z,2017-10-22T13:52:21Z,2017-10-22T13:52:21Z,3,,17.941111111111113,1,407,Merged
Showing app name on welcome page.,2017-10-25T09:07:51Z,,2017-10-25T12:21:38Z,2,,3.229722222222222,1,281,Closed
Update package.json,2017-11-04T01:58:43Z,,2017-11-04T18:10:24Z,1,CHANGES_REQUESTED,16.19472222222222,1,33,Closed
update AppServiceProvider,2017-12-06T12:09:55Z,,2017-12-06T13:56:23Z,1,,1.7744444444444445,1,36,Closed
fix some php7 type hints,2018-01-16T06:38:24Z,,2018-01-16T13:36:18Z,1,,6.965,7,0,Closed
Added translation into Russian Language,2018-01-23T08:05:06Z,,2018-01-23T13:32:11Z,3,,5.451388888888889,18,0,Closed
Semicolon end of line,2018-01-26T14:17:13Z,,2018-01-28T02:27:35Z,5,,36.172777777777775,1,0,Closed
[5.7] Multiple mail connections,2018-03-15T14:06:00Z,,2018-06-12T14:57:15Z,1,,2136.8541666666665,2,370,Closed
[5.6] Add hashing configuration,2018-03-18T11:49:53Z,2018-03-24T21:26:23Z,2018-03-24T21:26:23Z,9,CHANGES_REQUESTED,153.60833333333332,1,91,Merged
Add MIT License to repo,2018-05-13T20:36:31Z,,2018-05-14T10:17:32Z,1,,13.68361111111111,1,0,Closed
[5.7] Email Verification (Skeleton),2018-06-21T16:16:42Z,2018-06-22T15:25:28Z,2018-06-22T15:25:28Z,8,,23.14611111111111,5,266,Merged
[5.6] Add config for EnsureRequestIsSecure middleware,2018-07-05T04:26:25Z,,2018-07-05T13:57:27Z,1,,9.517222222222221,2,308,Closed
[5.7] Persist the /storage/framework/cache/data directory,2018-09-12T20:09:44Z,2018-09-13T00:44:10Z,2018-09-13T00:44:10Z,1,,4.573888888888889,2,176,Merged
"[5.7] Remove the home directory from all controllers, and middlewares.",2018-10-16T07:51:55Z,,2018-10-17T05:07:49Z,1,,21.265,5,270,Closed
[5.8] Update welcome.blade.php,2018-10-21T19:42:27Z,,2018-10-22T13:46:52Z,2,,18.073611111111113,1,0,Closed
[5.7] Add framework version to welcome page,2018-10-31T13:58:48Z,,2018-10-31T17:30:43Z,2,CHANGES_REQUESTED,3.5319444444444446,1,27,Closed
[5.7] Bind LARAVEL_START into the container,2018-11-04T20:01:36Z,,2018-11-04T23:31:53Z,1,,3.504722222222222,1,446,Closed
[5.7] Add `log_channel` configuration option,2018-11-15T19:17:14Z,2018-11-16T14:09:37Z,2018-11-16T14:09:37Z,8,,18.873055555555556,1,0,Merged
[5.7] Add missing phpdoc comment,2018-11-19T12:50:14Z,,2018-11-19T13:51:56Z,1,,1.0283333333333333,1,0,Closed
Add APP_TIMEZONE in config,2019-01-02T08:30:17Z,,2019-01-02T09:51:55Z,1,,1.3605555555555555,1,170,Closed
Created MIT License file.,2019-01-12T20:43:08Z,,2019-01-14T13:58:00Z,1,,41.24777777777778,2,552,Closed
[5.7] Return 401 Unauthorised response if expects JSON,2019-01-28T05:51:56Z,,2019-01-28T14:01:50Z,1,CHANGES_REQUESTED,8.165,1,251,Closed
[5.7] Improve grammar and readability,2019-02-04T17:26:48Z,2019-02-05T13:37:34Z,2019-02-05T13:37:34Z,2,,20.179444444444446,1,0,Merged
