title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add oneliner for batch quantization,2023-03-11T17:45:06Z,,2023-03-13T16:26:23Z,3,CHANGES_REQUESTED,46.68805555555556,1,0,Closed
Feature/repeat penalty,2023-03-11T19:25:03Z,2023-03-12T09:27:42Z,2023-03-12T09:27:42Z,1,REVIEW_REQUIRED,14.044166666666667,3,265,Merged
Windows fixes,2023-03-12T03:27:55Z,2023-03-12T20:15:00Z,2023-03-12T20:15:00Z,2,APPROVED,16.78472222222222,4,522,Merged
Nix flake,2023-03-12T09:25:56Z,2023-03-17T22:03:48Z,2023-03-17T22:03:48Z,5,APPROVED,132.63111111111112,3,1469,Merged
Reduce model loading time,2023-03-12T10:43:37Z,2023-03-13T16:33:44Z,2023-03-13T16:33:44Z,3,APPROVED,29.835277777777776,1,226,Merged
Fix typo in README,2023-03-12T11:10:37Z,2023-03-12T20:30:09Z,2023-03-12T20:30:09Z,1,APPROVED,9.325555555555555,1,0,Merged
"use fprintf for diagnostic output, keep printf only for printing model output",2023-03-12T13:34:22Z,2023-03-13T16:39:56Z,2023-03-13T16:39:56Z,2,APPROVED,27.092777777777776,1,127,Merged
fix: add POSIX functionality for Linux compilation,2023-03-12T14:42:43Z,2023-03-22T17:20:25Z,2023-03-22T17:20:25Z,1,APPROVED,242.62833333333333,1,105,Merged
Add back top_k,2023-03-12T18:13:33Z,2023-03-12T20:23:15Z,2023-03-12T20:23:15Z,2,REVIEW_REQUIRED,2.1616666666666666,3,75,Merged
Misc: Make the conversion script executable,2023-03-13T00:09:01Z,,2023-03-14T17:13:39Z,1,REVIEW_REQUIRED,41.077222222222225,2,103,Closed
Misc: Use argparse,2023-03-13T00:35:52Z,,2023-03-13T16:17:55Z,2,REVIEW_REQUIRED,15.700833333333334,2,351,Closed
