title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
PR draft: Inject Kinesis throttling errors for testing,2016-12-28T04:16:33Z,2017-01-04T01:22:16Z,2017-01-04T01:22:16Z,10,,165.09527777777777,3,92,Merged
Feat/put records errors,2017-01-04T23:33:35Z,2017-01-05T01:08:25Z,2017-01-05T01:08:25Z,1,,1.5805555555555555,4,73,Merged
Web dashboard inside Docker image,2017-03-29T15:21:12Z,,2017-03-31T00:37:09Z,1,CHANGES_REQUESTED,33.26583333333333,5,226,Closed
docker-compose file,2017-05-03T05:46:36Z,2017-05-13T11:37:21Z,2017-05-13T11:37:21Z,2,,245.84583333333333,2,66,Merged
improving lambda APIs,2017-05-05T18:29:53Z,,2017-05-09T02:12:38Z,6,,79.7125,7,804,Closed
Adding Content-Length header only when one is not found during proxy,2017-07-14T13:50:47Z,2017-07-16T14:33:24Z,2017-07-16T14:33:24Z,4,,48.710277777777776,1,47,Merged
"Add CORS headers, `Access-Control-Allow-Headers` to proxy",2017-07-15T14:41:14Z,2017-07-15T15:50:18Z,2017-07-15T15:50:18Z,1,,1.1511111111111112,1,331,Merged
Fix issue with unsupplied headers to Lambda with Lambda proxy enabled,2017-07-31T23:06:03Z,2017-08-05T08:02:28Z,2017-08-05T08:02:28Z,13,,104.94027777777778,11,69,Merged
Add support for S3 REST Object POST,2017-08-27T06:59:16Z,2017-08-29T05:11:49Z,2017-08-29T05:11:49Z,1,,46.20916666666667,2,680,Merged
Enable flake8 and fix all lint errors,2017-09-04T12:45:12Z,2017-09-05T01:18:18Z,2017-09-05T01:18:18Z,1,,12.551666666666666,46,37,Merged
Added Lambda function details to create-function response,2017-09-11T20:51:32Z,2017-09-13T17:39:39Z,2017-09-13T17:39:39Z,1,,44.801944444444445,1,1038,Merged
Attempt to implement get_function_configuration,2017-09-14T14:48:45Z,,2017-10-08T20:04:36Z,1,,581.2641666666667,1,20,Closed
Aggregate all lambda information to a single map,2017-09-23T21:55:41Z,2017-09-25T01:00:41Z,2017-09-25T01:00:41Z,1,,27.083333333333332,4,0,Merged
Implement aliases in lambda API,2017-09-27T02:43:29Z,2017-09-30T04:25:39Z,2017-09-30T04:25:39Z,7,,73.70277777777778,4,118,Merged
Adding subject to the SNS request for http requests,2017-09-29T00:22:01Z,,2017-10-07T23:09:51Z,1,,214.79722222222222,1,184,Closed
Removing obsolete references to Moto features,2017-10-05T19:23:38Z,2018-09-02T19:33:46Z,2018-09-02T19:33:46Z,1,,7968.168888888889,1,222,Merged
DynamoDBStreams Now Returns Valid ShardIDs.,2017-10-13T18:10:40Z,2017-10-14T00:49:51Z,2017-10-14T00:49:51Z,4,,6.6530555555555555,1,648,Merged
adds test cases for >128k and <128k Java S3 uploads,2017-10-19T00:09:26Z,2017-10-23T23:33:44Z,2017-10-23T23:33:44Z,1,,119.405,1,1157,Merged
Set S3 ACL default value in case comes empty,2017-11-22T02:39:16Z,2017-11-22T13:40:43Z,2017-11-22T13:40:43Z,1,,11.024166666666666,2,505,Merged
Docker JUnit Test Runner,2017-12-07T20:57:39Z,2017-12-13T16:09:35Z,2017-12-13T16:09:35Z,2,,139.1988888888889,20,409,Merged
Use POJO Type for RequestHandler input,2017-12-08T13:46:25Z,2017-12-28T01:35:30Z,2017-12-28T01:35:30Z,2,,467.81805555555553,3,493,Merged
AWS Lambda Java - DynamoDB Event - Initial parser with test for the dynamo event,2017-12-19T11:18:49Z,2017-12-27T21:09:29Z,2017-12-27T21:09:29Z,2,,201.84444444444443,5,223,Merged
Implement basic Firehose -> ES destination,2018-01-11T19:30:39Z,2018-01-24T05:13:06Z,2018-01-24T05:13:06Z,1,,297.7075,1,241,Merged
"Lambda enhancements -- Docker configuration, including networking",2018-01-21T04:39:17Z,,2019-06-09T09:33:33Z,4,,12100.904444444444,14,1134,Closed
    S3 lambda/notification fixes ,2018-01-21T04:40:31Z,2018-01-21T17:40:32Z,2018-01-21T17:40:32Z,1,,13.000277777777777,1,124,Merged
S3 Fix: Set message subject when publishing to SNS,2018-01-22T23:51:23Z,2018-01-24T05:02:28Z,2018-01-24T05:02:28Z,1,,29.184722222222224,2,262,Merged
Mock missing local DynamoDB apis to avoid Terraform exceptions,2018-02-05T15:14:05Z,2018-02-18T20:24:24Z,2018-02-18T20:24:25Z,6,,317.1719444444444,3,509,Merged
Extracting the container logic from the JUnit runner,2018-03-13T21:29:52Z,2018-03-20T16:16:05Z,2018-03-20T16:16:05Z,1,,162.77027777777778,8,273,Merged
Support MessageStructure json - Fix 516,2018-03-15T21:09:29Z,2018-03-20T16:13:39Z,2018-03-20T16:13:39Z,1,,115.06944444444444,2,552,Merged
Allow content-length header to pass-through for HEAD requests,2018-03-17T16:30:08Z,2018-03-18T17:14:17Z,2018-03-18T17:14:17Z,2,,24.735833333333332,2,698,Merged
sqs: add ability to define the external port,2018-03-20T22:10:07Z,,2018-12-08T21:30:53Z,2,,6311.346111111111,3,1346,Closed
Add Filter Policy Support To Sns Subscriptions,2018-03-21T16:44:55Z,2018-03-31T18:28:07Z,2018-03-31T18:28:07Z,2,,241.72,3,778,Merged
Update to Elasticsearch API to support addition of tags during testing and access policy,2018-03-28T19:28:28Z,2018-05-02T00:54:33Z,2018-05-02T00:54:33Z,6,,821.4347222222223,2,263,Merged
updates to support Windows 10 using linux subsystem,2018-04-02T18:52:26Z,,2022-06-23T08:32:54Z,1,,37021.67444444444,2,924,Closed
v1.13.0 Kinesalite,2018-04-04T18:42:00Z,2018-04-05T13:02:17Z,2018-04-05T13:02:17Z,1,,18.338055555555556,1,230,Merged
Feat/junit 5,2018-05-03T22:42:49Z,2018-05-22T23:29:45Z,2018-05-22T23:29:45Z,1,,456.78222222222223,20,419,Merged
Fix errors deploying Serverless on OSX,2018-05-11T19:13:45Z,2018-05-24T12:22:01Z,2018-05-24T12:22:01Z,6,,305.1377777777778,2,280,Merged
Support resources with HTTP method 'ANY' in API Gateway,2018-06-20T23:19:11Z,2018-07-07T17:43:21Z,2018-07-07T17:43:21Z,2,,402.40277777777777,4,180,Merged
Fix Firehose Bucket Destination Configuration,2018-06-29T15:58:19Z,2018-07-05T04:58:31Z,2018-07-05T04:58:31Z,1,,133.00333333333333,1,46,Merged
changed `async` references to `asynchronous` to support Python 3.7,2018-07-02T20:31:36Z,2018-07-07T17:44:30Z,2018-07-07T17:44:30Z,1,,117.215,9,257,Merged
Added methods for async clients,2018-07-05T13:18:26Z,2019-03-13T14:16:21Z,2019-03-13T14:16:21Z,1,,6024.965277777777,4,162,Merged
Adding support for SNS DeleteTopic,2018-07-09T16:13:17Z,2018-12-08T17:24:08Z,2018-12-08T17:24:08Z,1,,3649.1808333333333,1,294,Merged
updated troubleshooting section,2018-07-23T11:40:47Z,2018-07-23T17:10:57Z,2018-07-23T17:10:57Z,1,,5.502777777777778,1,133,Merged
implemented TODO changes from testutil.py,2018-07-24T13:02:31Z,2018-08-02T15:47:56Z,2018-08-02T15:47:56Z,1,,218.75694444444446,1,30,Merged
Add support for arrays in sns filter policy,2018-07-24T21:09:07Z,2018-08-02T12:56:29Z,2018-08-02T12:56:29Z,1,,207.78944444444446,2,128,Merged
Firehose kinesis source,2018-08-02T16:40:25Z,2018-08-17T01:39:46Z,2018-08-17T01:39:46Z,1,,344.9891666666667,4,84,Merged
chore: bump elasticmq to v0.14.2,2018-08-03T14:32:32Z,2018-08-09T00:15:06Z,2018-08-09T00:15:06Z,4,,129.70944444444444,6,3023,Merged
Implement terraform FIFO support,2018-08-13T19:36:51Z,2018-09-03T13:23:47Z,2018-09-03T13:23:47Z,2,,497.78222222222223,1,581,Merged
Support --network switch when running lambda code,2018-08-13T23:07:21Z,2018-11-22T18:15:40Z,2018-11-22T18:15:40Z,1,,2419.138611111111,4,84,Merged
