title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Feature/doxygen,2016-05-06T11:52:12Z,,2019-02-08T06:52:02Z,103,REVIEW_REQUIRED,24186.99722222222,55,431,Closed
Feature: New Thread to poll files.,2016-05-21T11:40:14Z,,2018-09-23T18:39:20Z,3,REVIEW_REQUIRED,20526.985,5,343,Closed
mysql.chart.py and SocketService improvements,2016-09-17T17:33:53Z,2016-09-20T16:21:31Z,2016-09-20T16:21:31Z,1,REVIEW_REQUIRED,70.79388888888889,2,12,Merged
Add telegram messages to health monitoring,2016-09-21T14:40:15Z,2016-09-21T23:48:24Z,2016-09-21T23:48:24Z,2,REVIEW_REQUIRED,9.135833333333334,2,64,Merged
Fix warnings found by cppcheck,2016-09-25T10:43:30Z,2016-09-26T13:17:32Z,2016-09-26T13:17:32Z,10,APPROVED,26.567222222222224,6,79,Merged
alpine linux compatibility fixes,2016-09-26T23:01:54Z,2016-09-27T16:48:08Z,2016-09-27T16:48:08Z,3,REVIEW_REQUIRED,17.770555555555557,7,142,Merged
32/64 bit cpu detection with autoconf,2016-09-27T23:29:53Z,2016-09-28T15:28:27Z,2016-09-28T15:28:27Z,7,REVIEW_REQUIRED,15.976111111111111,6,58,Merged
fix unnecessary calls to realloc(),2016-09-30T17:26:45Z,2016-09-30T21:19:34Z,2016-09-30T21:19:34Z,7,REVIEW_REQUIRED,3.8802777777777777,13,424,Merged
netdata virtual memory size,2016-10-01T11:41:24Z,2016-10-01T13:52:52Z,2016-10-01T13:52:52Z,4,REVIEW_REQUIRED,2.1911111111111112,8,2596,Merged
Added pushbullet notifications support,2016-10-04T19:00:59Z,2016-10-23T19:21:08Z,2016-10-23T19:21:08Z,3,REVIEW_REQUIRED,456.3358333333333,4,145,Merged
alarm log is saved and loaded back; added fping.plugin,2016-10-16T00:55:43Z,2016-10-18T20:56:39Z,2016-10-18T20:56:39Z,1,REVIEW_REQUIRED,68.01555555555555,26,1021,Merged
Modified the nginx/phpfpm/redis plugin in python.d,2016-10-19T06:28:29Z,2016-11-16T20:50:23Z,2016-11-16T20:50:23Z,1,REVIEW_REQUIRED,686.365,5,237,Merged
twilio notifications,2016-11-05T01:22:31Z,2016-11-06T01:19:05Z,2016-11-06T01:19:05Z,9,REVIEW_REQUIRED,23.942777777777778,2,63,Merged
monitor IPC semaphores and related alarms,2016-11-09T22:52:23Z,,2016-11-13T00:05:02Z,1,REVIEW_REQUIRED,73.21083333333333,12,12,Closed
systemd unit small improvement,2016-11-22T10:58:23Z,,2016-11-27T19:19:07Z,2,REVIEW_REQUIRED,128.34555555555556,1,0,Closed
handle added/removed interrupts or softirqs,2016-11-30T16:12:59Z,2016-12-11T11:57:46Z,2016-12-11T11:57:46Z,7,REVIEW_REQUIRED,259.7463888888889,2,253,Merged
