title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Creating Fully Functional Docker Image,2018-02-07T00:29:32Z,,2018-02-08T23:30:03Z,3,,47.00861111111111,1,9,Closed
Update README.md,2018-02-07T00:31:31Z,,2018-10-17T03:26:14Z,3,,6050.911944444444,1,19,Closed
Use 0-clause BSD License,2018-02-07T00:34:25Z,,2022-12-06T02:31:11Z,1,,42313.94611111111,1,81,Closed
Add thorough ISSUE_TEMPLATE.md,2018-02-07T00:35:44Z,,2021-04-02T06:25:44Z,1,,27605.833333333332,1,0,Closed
Add examples file,2018-02-07T00:39:11Z,,2022-11-07T23:28:31Z,2,,41638.822222222225,1,85,Closed
Create .gitignore,2018-02-07T02:03:45Z,,2020-10-30T19:37:19Z,1,,23921.559444444443,1,0,Closed
Added Nothing,2018-02-07T02:36:03Z,,2019-03-27T19:19:18Z,2,,9928.720833333333,1,0,Closed
Proposal for streaming framework.,2018-02-07T03:34:19Z,,2018-02-20T16:05:14Z,2,,324.5152777777778,1,436,Closed
Add some examples.,2018-02-07T04:14:05Z,,2018-02-14T14:57:56Z,3,,178.73083333333332,0,0,Closed
Prevent people adding code by mistake,2018-02-07T05:28:52Z,,2022-12-23T21:41:28Z,9,,42736.21,1,376,Closed
​,2018-02-07T06:03:05Z,2018-08-29T19:14:35Z,2018-08-29T19:14:35Z,5,,4885.191666666667,0,4,Merged
"Add make support to automate builds, deployments, and life",2018-02-07T08:50:52Z,,2018-02-15T14:23:07Z,1,,197.5375,1,42,Closed
wouldn't want any code to creep in,2018-02-07T11:20:41Z,,2019-02-03T22:14:39Z,6,,8674.899444444445,1,11,Closed
Remove heartbleed vulnerability,2018-02-07T11:39:09Z,,2023-01-08T04:16:38Z,1,,43096.62472222222,0,32,Closed
Used to allow for the removal of potential code files at once,2018-02-07T12:54:57Z,,2022-03-08T16:52:39Z,4,,35763.96166666667,1,152,Closed
:scroll: added Doxygen documentation,2018-02-07T14:06:47Z,,2021-03-02T13:40:27Z,1,,26855.56111111111,51,150,Closed
Create .dockerignore,2018-02-07T15:41:27Z,,2020-06-24T19:11:01Z,1,,20835.492777777778,1,47,Closed
Add a gitignore,2018-02-07T18:44:14Z,,2019-09-06T20:39:35Z,2,,13825.9225,1,122,Closed
Maintain consistent coding styles across editors you won't use,2018-02-07T21:57:13Z,,2021-07-29T09:35:34Z,2,,30419.639166666668,1,0,Closed
Make README.md consistent,2018-02-07T21:59:05Z,,2019-01-10T15:00:50Z,1,,8081.029166666666,1,35,Closed
Nothing,2018-02-08T01:25:02Z,,2018-07-12T15:35:11Z,1,,3710.1691666666666,0,0,Closed
Saw some code - removed it to make it more secure!,2018-02-08T04:54:24Z,,2018-08-27T17:29:18Z,1,,4812.581666666667,1,0,Closed
Turkish translation,2018-02-08T13:59:34Z,,2019-03-23T18:01:59Z,1,,9796.040277777778,1,135,Closed
Sharing the best practice to the world!,2018-02-08T18:11:11Z,,2020-06-26T21:45:50Z,1,,20859.5775,4,333,Closed
Updates documentation to be more clear,2018-02-08T20:18:03Z,,2022-04-01T17:29:41Z,4,,36309.19388888889,1,19,Closed
Add Makefile,2018-02-08T21:29:38Z,,2024-09-18T08:02:36Z,3,,57922.54944444444,1,69,Closed
NO CODE NO KILLING,2018-02-09T09:05:37Z,,2018-10-31T03:07:36Z,1,,6330.033055555556,4,0,Closed
🐕🐕🐕🐕🐕,2018-02-09T19:54:34Z,,2024-08-05T22:53:26Z,2,,56858.98111111111,1,0,Closed
Update README.md,2018-02-10T09:06:52Z,,2023-02-03T02:58:48Z,1,,43649.86555555555,1,15,Closed
adding bug,2018-02-10T10:57:12Z,,2021-06-22T04:45:52Z,2,,29465.81111111111,1,14,Closed
Provide test example,2018-02-12T16:02:07Z,,2018-05-17T07:24:02Z,1,,2247.365277777778,1,61,Closed
