title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Fixed typo,2017-11-03T05:29:59Z,2017-11-03T15:28:15Z,2017-11-03T15:28:15Z,1,REVIEW_REQUIRED,9.971111111111112,1,54,Merged
Fix typo pitfal to pitfall,2017-11-03T10:53:36Z,2017-11-03T15:31:24Z,2017-11-03T15:31:24Z,1,REVIEW_REQUIRED,4.63,1,0,Merged
Update README.md,2017-11-03T14:26:53Z,2017-11-03T15:32:48Z,2017-11-03T15:32:48Z,1,REVIEW_REQUIRED,1.0986111111111112,1,48,Merged
Add spanish translation skeleton,2017-11-03T20:06:10Z,,2019-04-04T07:50:50Z,3,REVIEW_REQUIRED,12395.744444444445,7,55,Closed
Fixed some typos,2017-11-04T12:01:21Z,2017-11-05T21:19:01Z,2017-11-05T21:19:01Z,1,REVIEW_REQUIRED,33.294444444444444,1,40,Merged
[errorhandling] Format js code in the blog section,2017-11-04T17:33:15Z,2017-11-04T21:00:51Z,2017-11-04T21:00:51Z,1,REVIEW_REQUIRED,3.46,1,145,Merged
Update README.md,2017-11-04T21:57:40Z,2017-11-05T15:49:28Z,2017-11-05T15:49:28Z,1,REVIEW_REQUIRED,17.863333333333333,1,0,Merged
Fixed typos and optimized sentence syntax of sections,2017-11-06T18:24:01Z,2017-11-09T20:21:00Z,2017-11-09T20:21:00Z,1,REVIEW_REQUIRED,73.94972222222222,22,0,Merged
corrected typos in readme,2017-11-08T06:20:46Z,2017-11-08T19:54:03Z,2017-11-08T19:54:03Z,1,REVIEW_REQUIRED,13.554722222222223,1,151,Merged
Add Keymetrics to APM section,2017-11-08T13:39:48Z,,2018-09-19T08:36:36Z,1,REVIEW_REQUIRED,7554.946666666667,2,0,Closed
Fix link formatting,2017-11-09T14:54:00Z,2017-11-09T20:45:13Z,2017-11-09T20:45:13Z,2,REVIEW_REQUIRED,5.853611111111111,1,0,Merged
