title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add knife solo plugin command autocompletion to knife,2013-07-04T04:33:16Z,,2020-03-04T07:49:13Z,1,,58443.26583333333,1,0,Closed
add support to `take' for taking remote urls,2013-08-07T21:13:18Z,2021-06-12T04:09:08Z,2021-06-12T04:09:08Z,2,APPROVED,68766.93055555556,1,56,Merged
Merge rkj & rkj-repos themes and add some comments to them. Add git-note completion plugin.,2013-08-29T20:49:52Z,,2018-04-15T13:05:53Z,1,,40552.26694444445,3,0,Closed
Add Spotify controls to osx plugin,2013-12-15T03:49:49Z,,2016-09-30T17:53:54Z,1,,24494.068055555555,1,55,Closed
"plugins/archlinux: add pacls, pacowns, pacweb",2014-02-20T20:40:29Z,,2018-04-15T17:17:00Z,1,,36356.608611111114,1,127,Closed
Add function to search Dash.app,2014-02-23T04:03:17Z,2018-08-07T16:14:39Z,2018-08-07T16:14:39Z,1,,39036.18944444445,1,30,Merged
autocomplete hosts from hosts sections in ssh-config,2014-04-09T16:18:05Z,,2024-01-30T10:43:04Z,7,CHANGES_REQUESTED,85986.41638888889,1,245,Closed
Add arcanist plugin,2014-04-23T05:40:02Z,,2020-11-12T17:48:12Z,1,,57492.13611111111,1,147,Closed
[UPDATE] Plugin: git,2014-05-07T15:19:11Z,2015-06-05T15:01:31Z,2015-06-05T15:01:32Z,1,,9455.705555555556,4,1057,Merged
Add pyenv-virtualenvwrapper,2014-07-03T00:05:20Z,,2021-07-26T09:05:50Z,1,,61929.00833333333,1,54,Closed
Add Ag completion,2015-01-31T19:02:30Z,2021-06-12T15:49:08Z,2021-06-12T15:49:08Z,1,,55772.77722222222,2,73,Merged
Complete samtools bedtools,2015-02-12T08:15:20Z,2021-06-12T14:12:07Z,2021-06-12T14:12:07Z,1,APPROVED,55493.946388888886,4,80,Merged
Add curl plugin,2015-02-25T16:46:52Z,,2021-06-12T04:05:04Z,1,,55163.30333333334,2,235,Closed
Honor ZSH_TMUX_ITERM2 for new-session and attach,2015-09-28T16:47:18Z,,2024-06-12T10:20:22Z,1,,76313.55111111111,1,197,Closed
