title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
refactor,2023-06-27T19:29:54Z,2023-06-27T20:49:08Z,2023-06-27T20:49:08Z,3,APPROVED,1.3205555555555555,7,0,Merged
use poetry,2023-06-27T21:44:37Z,2023-06-28T14:36:35Z,2023-06-28T14:36:35Z,1,APPROVED,16.86611111111111,7,282,Merged
add prompt templates as j2 templates,2023-06-27T22:50:30Z,2023-06-28T14:37:03Z,2023-06-28T14:37:03Z,1,APPROVED,15.775833333333333,16,147,Merged
add with symlink,2023-06-28T16:26:42Z,,2023-06-30T18:54:22Z,2,APPROVED,50.46111111111111,1,0,Closed
batch model,2023-06-28T21:34:34Z,2023-06-29T00:10:39Z,2023-06-29T00:10:39Z,1,APPROVED,2.6013888888888888,2,141,Merged
update python version,2023-06-28T21:46:35Z,2023-06-29T00:12:03Z,2023-06-29T00:12:03Z,1,APPROVED,2.4244444444444446,3,49,Merged
use ctransformers as backup to llama.cpp,2023-06-29T00:26:07Z,2023-06-30T18:46:13Z,2023-06-30T18:46:14Z,4,APPROVED,42.335,12,0,Merged
use difflib.get_close_matches,2023-06-29T16:43:57Z,2023-06-30T18:54:07Z,2023-06-30T18:54:07Z,1,APPROVED,26.169444444444444,1,26,Merged
just in time install llama-cpp-python,2023-07-01T00:04:44Z,,2023-07-06T16:30:31Z,1,REVIEW_REQUIRED,136.4297222222222,5,0,Closed
upgrade fuzzy search library,2023-07-05T18:16:14Z,2023-07-05T19:16:19Z,2023-07-05T19:16:19Z,3,APPROVED,1.0013888888888889,4,144,Merged
Go run,2023-07-06T23:03:39Z,2023-07-07T00:18:58Z,2023-07-07T00:18:58Z,1,APPROVED,1.2552777777777777,7,0,Merged
pass model and predict options,2023-07-07T00:12:59Z,2023-07-07T17:59:11Z,2023-07-07T17:59:11Z,3,APPROVED,17.77,3,0,Merged
"if directory cannot be resolved, do not fail",2023-07-07T19:28:14Z,2023-07-08T03:18:25Z,2023-07-08T03:18:25Z,5,APPROVED,7.836388888888889,3,22,Merged
take all args as one prompt,2023-07-07T20:16:27Z,2023-07-10T10:05:09Z,2023-07-10T10:05:09Z,1,APPROVED,61.81166666666667,2,570,Merged
return error in generate response,2023-07-07T21:27:14Z,2023-07-10T21:03:47Z,2023-07-10T21:03:47Z,2,APPROVED,71.60916666666667,4,0,Merged
llama: replace bindings with `llama_*` calls,2023-07-10T02:44:43Z,,2023-07-10T22:51:37Z,2,REVIEW_REQUIRED,20.115,10,415,Closed
Do not seg fault on client disconnect,2023-07-10T11:46:30Z,2023-07-10T15:00:44Z,2023-07-10T15:00:45Z,1,APPROVED,3.237222222222222,2,103,Merged
call llama.cpp directly from go,2023-07-10T20:36:56Z,2023-07-11T19:01:03Z,2023-07-11T19:01:03Z,10,APPROVED,22.401944444444446,29,0,Merged
embeddings endpoint,2023-07-11T16:39:48Z,2023-08-10T15:49:55Z,2023-08-10T15:49:55Z,11,APPROVED,719.1686111111111,2,0,Merged
app: write logs to ~/.ollama/logs,2023-07-11T17:42:13Z,2023-07-11T18:45:21Z,2023-07-11T18:45:21Z,2,APPROVED,1.0522222222222222,3,0,Merged
Use embeddings to give the chat client session memory,2023-07-11T20:53:44Z,,2023-07-20T18:04:37Z,1,,213.18138888888888,7,316,Closed
