title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Include unistd.h to parallel.cpp on UNIX-like systems,2012-10-17T13:04:00Z,2012-10-19T10:59:08Z,2012-10-19T10:59:08Z,1,,45.91888888888889,1,51,Merged
Added parallel implementation of LogisticRegression::compute_gradient.,2016-03-29T08:17:35Z,2016-03-31T17:06:31Z,2016-03-31T17:06:31Z,1,,56.815555555555555,1,154,Merged
Improved method for chessboard detection,2016-07-13T08:46:52Z,2016-07-19T12:11:31Z,2016-07-19T12:11:31Z,1,,147.41083333333333,3,308,Merged
Fixed two chessboard detector bugs,2016-07-19T15:16:04Z,2016-09-27T13:33:48Z,2016-09-27T13:33:48Z,10,,1678.2955555555557,5,167,Merged
GSoC 2016 - Adding ALIASES for tutorial,2016-08-04T13:32:42Z,2016-12-15T12:32:12Z,2016-12-15T12:32:12Z,23,,3190.991666666667,13,267,Merged
Fix for incorrect line drawing beyond 32768 row or column,2016-08-24T14:30:26Z,2016-11-10T16:02:32Z,2016-11-10T16:02:32Z,2,,1873.535,4,136,Merged
OpenVX sample,2016-08-24T16:45:37Z,2016-11-22T19:11:04Z,2016-11-22T19:11:04Z,35,,2162.4241666666667,6,48,Merged
highgui: change behaviour of cv::waitKey,2016-08-29T12:52:56Z,,2016-12-15T12:42:15Z,1,,2591.8219444444444,3,75,Closed
Added support for V4L2_PIX_FMT_Y16,2016-08-29T20:55:00Z,,2016-09-15T21:18:14Z,1,,408.38722222222225,1,227,Closed
OpenVX HAL implementation extension,2016-08-31T14:22:22Z,2016-09-13T10:15:29Z,2016-09-13T10:15:29Z,1,,307.8852777777778,2,101,Merged
***WIP*** Add inline code backticks,2016-09-06T10:09:34Z,,2017-05-24T09:49:37Z,1,,6239.6675,2,10,Closed
supress numpy future warning with `None` comparison,2016-09-14T19:02:13Z,2016-09-16T09:58:09Z,2016-09-16T09:58:09Z,1,APPROVED,38.93222222222222,3,15,Merged
Removed some extra semi-colons,2016-09-14T20:25:28Z,2016-09-15T10:40:02Z,2016-09-15T10:40:02Z,1,APPROVED,14.242777777777778,3,35,Merged
