title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
fix(doc): npm run doc fixed,2019-11-19T05:33:13Z,2019-11-19T21:59:52Z,2019-11-19T21:59:52Z,4,,16.444166666666668,3,0,Merged
chore: remove unused files / events,2019-11-19T15:43:01Z,2019-11-19T18:49:10Z,2019-11-19T18:49:10Z,1,APPROVED,3.1025,3,0,Merged
docs: show browser test stats in the readme,2019-11-19T20:32:59Z,2019-11-20T00:30:25Z,2019-11-20T00:30:25Z,1,,3.957222222222222,3,0,Merged
chore: remove page.metrics API,2019-11-20T04:00:31Z,2019-11-20T17:28:23Z,2019-11-20T17:28:23Z,1,APPROVED,13.464444444444444,5,0,Merged
chore: remove page.queryObjects API,2019-11-20T04:24:51Z,2019-11-20T17:28:41Z,2019-11-20T17:28:41Z,1,APPROVED,13.063888888888888,4,0,Merged
feat(webkit): pass all keyboard tests,2019-11-20T23:31:55Z,2019-11-21T00:39:13Z,2019-11-21T00:39:13Z,1,,1.1216666666666666,5,131,Merged
chore: introduce injected source lazily evaluated by execution context,2019-11-21T01:09:15Z,2019-11-21T22:43:31Z,2019-11-21T22:43:31Z,3,APPROVED,21.57111111111111,6,83,Merged
chore: move interception API into features/,2019-11-21T04:56:59Z,2019-11-21T22:41:39Z,2019-11-21T22:41:39Z,1,APPROVED,17.744444444444444,18,0,Merged
feat(fill): option to wait for the element to become enabled before filling,2019-11-21T17:59:02Z,,2019-11-27T17:14:34Z,3,APPROVED,143.2588888888889,8,0,Closed
feat(select): allow to select options by value/label/id/index,2019-11-22T00:18:51Z,2019-11-22T05:19:21Z,2019-11-22T05:19:22Z,1,APPROVED,5.008333333333334,8,0,Merged
feat: remove all environment variables and references to puppeteer-core,2019-11-22T00:36:20Z,2019-11-22T05:17:24Z,2019-11-22T05:17:24Z,1,APPROVED,4.684444444444445,11,353,Merged
feat(chromium): roll Chromium to r717627,2019-11-22T01:11:47Z,2019-11-22T05:16:00Z,2019-11-22T05:16:00Z,1,,4.070277777777778,3,0,Merged
feat(engines): introduce a css selector engine and a way to query it,2019-11-22T01:29:39Z,2019-11-22T23:36:18Z,2019-11-22T23:36:18Z,3,APPROVED,22.110833333333332,17,0,Merged
chore: remove connection / session redundancy,2019-11-22T05:14:58Z,2019-11-22T18:05:33Z,2019-11-22T18:05:33Z,1,,12.843055555555555,4,0,Merged
chore: move wsEndpoint and browser target APIs to features/,2019-11-22T06:26:26Z,2019-11-22T19:25:53Z,2019-11-22T19:25:53Z,2,,12.990833333333333,6,0,Merged
chore: unify emulateMedia APIs,2019-11-22T16:59:30Z,2019-11-22T19:24:56Z,2019-11-22T19:24:56Z,2,,2.423888888888889,7,0,Merged
feat(page): support Page.evaluateOnNewDocument for WebKit,2019-11-22T19:54:38Z,2019-11-22T21:14:08Z,2019-11-22T21:14:08Z,3,,1.325,2,0,Merged
feat: playwright.downloadBrowser,2019-11-22T19:57:39Z,2019-12-05T01:58:38Z,2019-12-05T01:58:38Z,5,APPROVED,294.0163888888889,12,237,Merged
fix(page): support multiple bootstrap scripts,2019-11-22T22:09:46Z,2019-11-23T00:25:37Z,2019-11-23T00:25:37Z,1,APPROVED,2.2641666666666667,2,10,Merged
chore: introduce types for all evaluation functions,2019-11-23T21:13:58Z,,2019-11-25T23:07:28Z,3,APPROVED,49.891666666666666,17,573,Closed
chore(chromium): make WaitTask not depend on DOMWorld,2019-11-24T01:29:15Z,2019-11-26T00:55:03Z,2019-11-26T00:55:03Z,2,APPROVED,47.43,1,36,Merged
chore: reuse WaitTask between browsers,2019-11-24T01:29:21Z,2019-11-26T04:28:34Z,2019-11-26T04:28:34Z,1,APPROVED,50.98694444444445,4,0,Merged
chore: move methods with a single caller from DOMWorld to Frame,2019-11-24T16:59:50Z,2019-11-26T16:57:53Z,2019-11-26T16:57:53Z,1,APPROVED,47.9675,6,0,Merged
"chore: move Keyboard to common, with RawKeyboardImpl per vendor",2019-11-25T18:13:20Z,2019-11-25T19:19:20Z,2019-11-25T19:19:20Z,1,APPROVED,1.1,13,135,Merged
chore: move Mouse to common input with RawMouseImpl per vendor,2019-11-25T23:16:49Z,2019-11-26T15:52:55Z,2019-11-26T15:52:55Z,1,APPROVED,16.601666666666667,10,0,Merged
feat(webkit): dialogs,2019-11-25T23:20:46Z,2019-11-27T20:24:53Z,2019-11-27T20:24:53Z,10,APPROVED,45.06861111111111,5,0,Merged
chore: use eval types in firefox,2019-11-25T23:41:10Z,2019-11-26T00:42:38Z,2019-11-26T00:42:38Z,1,,1.0244444444444445,5,0,Merged
chore: use types for eval functions in webkit,2019-11-26T00:49:50Z,2019-11-26T15:53:48Z,2019-11-26T15:53:48Z,1,APPROVED,15.06611111111111,5,0,Merged
chore: reuse waitForSelectorOrXPath between browsers,2019-11-26T04:48:57Z,2019-11-26T15:55:35Z,2019-11-26T15:55:35Z,1,APPROVED,11.110555555555555,4,0,Merged
feat(cookies): move cookie management to BrowserContext,2019-11-26T06:03:21Z,2019-11-26T19:23:14Z,2019-11-26T19:23:14Z,1,APPROVED,13.331388888888888,12,0,Merged
feat(cookie): implement new set/clearCookies contract,2019-11-26T06:11:44Z,2019-11-26T17:00:11Z,2019-11-26T17:00:11Z,1,,10.8075,2,0,Merged
feat(headful): remove bringToFront,2019-11-26T16:04:02Z,2019-11-26T19:00:55Z,2019-11-26T19:00:55Z,1,APPROVED,2.9480555555555554,3,0,Merged
chore: move waitFor methods from DOMWorld to Frame,2019-11-26T17:28:09Z,2019-11-26T19:16:21Z,2019-11-26T19:16:21Z,1,APPROVED,1.8033333333333332,6,75,Merged
chrome(filechooser): align file chooser implementations,2019-11-26T19:54:51Z,2019-11-26T22:29:22Z,2019-11-26T22:29:22Z,1,APPROVED,2.575277777777778,10,0,Merged
chore(firefox): lint against the juggler protocol,2019-11-26T23:44:08Z,2019-12-04T18:33:29Z,2019-12-04T18:33:29Z,3,APPROVED,186.8225,10,9,Merged
feat(webkit): implement file chooser interception (backend),2019-11-27T02:52:45Z,2019-11-27T16:47:38Z,2019-11-27T16:47:38Z,3,APPROVED,13.914722222222222,2,0,Merged
feat(webkit): implement file chooser interception (frontend),2019-11-27T02:54:38Z,2019-11-27T21:50:25Z,2019-11-27T21:50:25Z,2,APPROVED,18.92972222222222,4,0,Merged
chore: reuse Frame between browsers,2019-11-27T17:06:28Z,2019-11-27T20:38:27Z,2019-11-27T20:38:27Z,1,APPROVED,3.5330555555555554,19,0,Merged
"chore: encapsulate dom-related logic to DOMWorld, part 1",2019-11-28T01:50:53Z,2019-11-28T20:50:53Z,2019-11-28T20:50:53Z,2,APPROVED,19.0,18,0,Merged
chore: put remoteObject directly on JSHandle,2019-11-29T05:06:19Z,2019-12-02T21:12:28Z,2019-12-02T21:12:28Z,4,APPROVED,88.1025,15,89,Merged
feat(screenshot): multiple element screenshots are now taken sequentially,2019-11-30T05:12:56Z,2019-12-02T18:53:59Z,2019-12-02T18:53:59Z,1,APPROVED,61.68416666666667,8,202,Merged
chore: reuse Dialog between browsers,2019-11-30T05:15:54Z,2019-12-02T18:53:24Z,2019-12-02T18:53:24Z,1,APPROVED,61.625,9,0,Merged
chore: reuse ConsoleMessage between browsers,2019-11-30T05:57:56Z,2019-12-02T21:01:01Z,2019-12-02T21:01:01Z,1,APPROVED,63.05138888888889,11,0,Merged
chore(scripts): ignore untracked files and print custom checkout path,2019-12-02T18:09:41Z,2019-12-02T20:58:45Z,2019-12-02T20:58:45Z,1,APPROVED,2.8177777777777777,1,0,Merged
feat(selectors): support various kinds of selectors,2019-12-02T22:35:26Z,2019-12-03T01:33:45Z,2019-12-03T01:33:45Z,1,,2.9719444444444445,6,115,Merged
"feat(launcher): throw on browser launch failure, default args",2019-12-02T23:07:20Z,2019-12-03T00:17:54Z,2019-12-03T00:17:54Z,1,,1.176111111111111,5,0,Merged
feat(cookies): implement cookies across the board,2019-12-02T23:20:45Z,2019-12-03T00:36:47Z,2019-12-03T00:36:47Z,1,APPROVED,1.2672222222222222,5,0,Merged
feat(selectors): support various selectors in waitFor methods,2019-12-03T01:41:13Z,2019-12-03T18:43:13Z,2019-12-03T18:43:13Z,2,APPROVED,17.033333333333335,4,0,Merged
"feat(selectors): support optional ""visible"" property in all selectors",2019-12-03T23:09:30Z,2019-12-04T21:11:10Z,2019-12-04T21:11:10Z,4,,22.02777777777778,16,0,Merged
fix: handle failures of adoptElementHandle,2019-12-04T21:25:22Z,2019-12-05T16:45:37Z,2019-12-05T16:45:37Z,4,APPROVED,19.3375,2,120,Merged
feat: use xvfb for WK on linux,2019-12-05T00:42:06Z,,2019-12-05T20:49:09Z,3,,20.1175,2,0,Closed
chore: move element coordinates handling to common,2019-12-05T00:52:20Z,2019-12-05T17:54:51Z,2019-12-05T17:54:51Z,2,APPROVED,17.041944444444443,11,74,Merged
feat: make JSHandle generic,2019-12-05T00:59:40Z,2019-12-06T00:26:09Z,2019-12-06T00:26:09Z,8,APPROVED,23.441388888888888,14,360,Merged
feat(webkit): add page back/forward commands,2019-12-05T02:12:16Z,2019-12-05T16:32:52Z,2019-12-05T16:32:53Z,2,APPROVED,14.343333333333334,2,0,Merged
fix(install): print version of the browser being downloaded instead of throwing an error,2019-12-05T06:58:39Z,2019-12-05T16:30:59Z,2019-12-05T16:30:59Z,1,APPROVED,9.53888888888889,4,0,Merged
chore: prepare to npm publish,2019-12-05T17:38:36Z,2019-12-05T19:29:17Z,2019-12-05T19:29:17Z,4,APPROVED,1.8447222222222222,5,140,Merged
chore: do not accumulate protocol messages for debugging,2019-12-05T19:44:03Z,2019-12-05T22:13:18Z,2019-12-05T22:13:18Z,1,,2.4875,1,0,Merged
chore: encapsulate target business in Browser class,2019-12-05T19:56:07Z,2019-12-05T22:11:48Z,2019-12-05T22:11:48Z,2,APPROVED,2.261388888888889,12,69,Merged
fix(fill): throw when the element isn't fillable,2019-12-05T23:08:44Z,2019-12-09T22:51:20Z,2019-12-09T22:51:20Z,3,APPROVED,95.71,3,201,Merged
feat: basic d.ts file,2019-12-05T23:55:35Z,2019-12-06T19:28:24Z,2019-12-06T19:28:24Z,1,APPROVED,19.546944444444446,10,341,Merged
chore: remove some usage of client from Page,2019-12-06T05:03:04Z,2019-12-06T21:36:48Z,2019-12-06T21:36:48Z,1,APPROVED,16.56222222222222,6,55,Merged
feat(webkit): Dialog.pageOpened,2019-12-06T22:54:42Z,,2019-12-09T22:49:38Z,2,,71.91555555555556,2,49,Closed
chore: remove most usages of session from firefox Page,2019-12-06T23:07:49Z,2019-12-07T00:34:27Z,2019-12-07T00:34:28Z,1,APPROVED,1.443888888888889,5,0,Merged
chore: unify frame lifecycle events between browsers,2019-12-07T01:52:44Z,2019-12-10T00:34:43Z,2019-12-10T00:34:43Z,1,APPROVED,70.69972222222222,12,194,Merged
fix(webkit): disable throttling and pass frameId to load/domcontentloaded,2019-12-07T05:15:02Z,2019-12-08T00:35:33Z,2019-12-08T00:35:33Z,1,APPROVED,19.341944444444444,2,0,Merged
feat(webkit): extend TargetInfo with information about related targets,2019-12-07T16:34:26Z,2019-12-08T01:15:32Z,2019-12-08T01:15:32Z,1,APPROVED,8.685,2,0,Merged
feat(webkit): implement setPauseOnStart in browser target agent,2019-12-08T07:17:02Z,2019-12-08T23:14:17Z,2019-12-08T23:14:17Z,1,APPROVED,15.954166666666667,2,96,Merged
chore: reuse BrowserFetcher between browsers,2019-12-08T18:17:58Z,2019-12-08T21:29:04Z,2019-12-08T21:29:04Z,1,APPROVED,3.185,14,0,Merged
feat(webkit): use NSEvents for mouse event simulation,2019-12-09T01:23:44Z,2019-12-09T20:20:58Z,2019-12-09T20:20:58Z,1,APPROVED,18.95388888888889,2,86,Merged
feat(webkit): support isolated worlds,2019-12-09T21:26:32Z,2019-12-09T23:22:12Z,2019-12-09T23:22:12Z,1,,1.9277777777777778,2,86,Merged
"chore: remove unneeded files, reuse events between browsers, no implicit any",2019-12-10T01:51:40Z,2019-12-10T19:15:15Z,2019-12-10T19:15:15Z,1,,17.393055555555556,30,0,Merged
feat(webkit): instrument frameAttached,2019-12-10T04:37:25Z,,2019-12-12T18:14:21Z,1,APPROVED,61.61555555555555,2,86,Closed
feat(webkit): implement page.exposeFunction,2019-12-10T07:25:50Z,2019-12-10T23:17:43Z,2019-12-10T23:17:43Z,3,APPROVED,15.864722222222222,4,0,Merged
browser(webkit): support keyboard on Mac & GTK,2019-12-10T08:28:26Z,2019-12-10T18:39:41Z,2019-12-10T18:39:41Z,3,APPROVED,10.1875,2,97,Merged
feat(webkit): emit proper mac editing commands for webkit,2019-12-10T08:31:22Z,2019-12-10T21:22:02Z,2019-12-10T21:22:02Z,4,APPROVED,12.844444444444445,10,96,Merged
chore: reuse BrowserContext across browsers,2019-12-10T21:56:04Z,2019-12-10T23:13:57Z,2019-12-10T23:13:57Z,3,APPROVED,1.2980555555555555,18,0,Merged
test(firefox): enable some tests that already firefox passes,2019-12-10T23:45:10Z,2019-12-11T01:09:06Z,2019-12-11T01:09:06Z,1,APPROVED,1.3988888888888888,4,0,Merged
feat(webkit): use new bypass csp method,2019-12-11T01:31:18Z,2019-12-11T03:26:14Z,2019-12-11T03:26:14Z,3,,1.9155555555555555,4,0,Merged
chore: reuse LifecycleWatcher between browsers,2019-12-11T02:06:27Z,2019-12-11T15:17:33Z,2019-12-11T15:17:33Z,1,APPROVED,13.185,10,0,Merged
chore: get rid of <Browser> templating,2019-12-11T04:47:06Z,2019-12-11T15:18:44Z,2019-12-11T15:18:44Z,1,APPROVED,10.527222222222223,11,0,Merged
fix(webkit): fullPage screenshot w/o viewport,2019-12-11T16:19:44Z,2019-12-11T19:26:34Z,2019-12-11T19:26:34Z,1,APPROVED,3.113888888888889,6,0,Merged
fix(csp): fix some of the csp tests,2019-12-11T18:10:25Z,2019-12-11T21:51:04Z,2019-12-11T21:51:04Z,1,APPROVED,3.6775,2,0,Merged
feat(selectors): introduce zs selector engine,2019-12-11T22:30:43Z,2019-12-12T17:02:38Z,2019-12-12T17:02:38Z,1,APPROVED,18.531944444444445,7,0,Merged
fix(firefox): setContent to properly listen for lifecycle events,2019-12-12T01:43:31Z,2019-12-13T04:11:34Z,2019-12-13T04:11:34Z,1,APPROVED,26.4675,5,0,Merged
fix(webkit): open URL passed in the command line,2019-12-12T05:42:08Z,2019-12-12T18:23:25Z,2019-12-12T18:23:26Z,2,APPROVED,12.688055555555556,2,86,Merged
feat(webkit): roll to 1029,2019-12-12T05:49:55Z,2019-12-12T16:59:34Z,2019-12-12T16:59:34Z,1,APPROVED,11.160833333333333,2,0,Merged
test: update console tests,2019-12-12T06:30:01Z,2019-12-12T16:58:38Z,2019-12-12T16:58:38Z,1,APPROVED,10.476944444444445,2,0,Merged
chore: merge DOMWorldDelegate and PageDelegate,2019-12-12T18:49:47Z,2019-12-13T01:51:06Z,2019-12-13T01:51:06Z,1,APPROVED,7.021944444444444,9,0,Merged
"chore: move frame id to Frame, remove unused events",2019-12-13T05:12:17Z,2019-12-13T18:52:34Z,2019-12-13T18:52:34Z,1,APPROVED,13.671388888888888,4,0,Merged
"chore: unify transports, serialize messages into tasks",2019-12-13T06:51:31Z,,2019-12-13T21:02:44Z,1,,14.186944444444444,5,0,Closed
fix(webkit): detect expected/aborted navigations based on network requests,2019-12-13T19:40:27Z,2019-12-13T21:03:53Z,2019-12-13T21:03:53Z,1,APPROVED,1.3905555555555555,3,0,Merged
fix(navigation): waitForNavigation to pick up aborted navigation,2019-12-13T23:11:57Z,2019-12-14T00:35:11Z,2019-12-14T00:35:11Z,2,APPROVED,1.3872222222222221,9,0,Merged
fix(navigation): expect navigation on navigation request,2019-12-14T01:56:32Z,2019-12-14T16:20:52Z,2019-12-14T16:20:52Z,1,APPROVED,14.405555555555555,9,34,Merged
fix(wk): fix gtk debug assertion,2019-12-14T17:23:09Z,,2019-12-16T19:59:50Z,2,,50.61138888888889,2,0,Closed
