title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Filter Media into separate categories,2016-10-18T02:59:48Z,2016-10-18T13:10:41Z,2016-10-18T13:10:41Z,2,,10.18138888888889,1,376,Merged
News Tab Created NYTimes API added,2016-11-07T09:35:08Z,2016-11-08T17:57:20Z,2016-11-08T17:57:20Z,1,,32.37,1,124,Merged
[WIP] JSON,2016-12-29T08:59:31Z,,2017-06-05T02:34:07Z,2,,3785.576666666667,5,335,Closed
Update contributing guide,2017-03-02T17:41:31Z,2017-03-03T18:00:30Z,2017-03-03T18:00:30Z,1,,24.316388888888888,1,0,Merged
Discord API isn't only for bots,2017-03-30T14:10:14Z,2017-04-01T19:39:35Z,2017-04-01T19:39:35Z,1,,53.48916666666667,1,0,Merged
Parcel tracking,2017-04-18T17:44:35Z,2017-04-27T07:49:13Z,2017-04-27T07:49:13Z,2,,206.07722222222222,1,129,Merged
Added air quality data in the environment section,2017-04-20T02:11:23Z,2017-04-20T14:51:51Z,2017-04-20T14:51:51Z,1,,12.674444444444445,1,126,Merged
Use CI to generate JSON for all API entries,2017-05-25T15:55:49Z,2017-06-03T16:25:26Z,2017-06-03T16:25:26Z,1,,216.4936111111111,7,508,Merged
Bring JSON generation into master branch,2017-06-03T16:29:46Z,2017-07-03T03:55:22Z,2017-07-03T03:55:22Z,1,,707.4266666666666,7,34,Merged
Jekyll site with search feature,2017-07-05T06:19:14Z,,2017-08-02T17:35:53Z,1,,683.2775,12,606,Closed
Add Format Validation to CI,2017-07-10T05:50:06Z,2017-07-10T15:08:52Z,2017-07-10T15:08:52Z,2,,9.312777777777777,4,780,Merged
"Stormpath is closing, joined forces with okta.com",2017-07-26T19:26:46Z,2017-08-06T02:06:48Z,2017-08-06T02:06:48Z,2,,246.66722222222222,3,124,Merged
Updated APIs list with ADS-B flight data API,2017-07-27T19:05:28Z,2017-07-28T14:34:21Z,2017-07-28T14:34:21Z,1,,19.48138888888889,1,840,Merged
Build changes,2017-07-27T23:57:29Z,,2018-01-14T17:53:31Z,3,,4097.933888888889,1,0,Closed
Add wikidata link,2017-08-04T05:13:47Z,2017-08-04T16:55:46Z,2017-08-04T16:55:46Z,2,,11.699722222222222,1,220,Merged
Rename Data Access to Open Data,2017-08-05T21:01:01Z,2017-08-07T08:32:33Z,2017-08-07T08:32:33Z,1,,35.525555555555556,1,11,Merged
Add Pull Request and Issue Template,2017-08-06T16:03:58Z,2017-08-07T14:05:48Z,2017-08-07T14:05:49Z,1,,22.030555555555555,4,510,Merged
Graphloc,2017-08-11T13:38:11Z,2017-08-11T15:33:56Z,2017-08-11T15:33:56Z,2,,1.9291666666666667,1,22,Merged
Alpha website candidate,2017-08-17T03:58:48Z,2017-08-20T17:02:43Z,2017-08-20T17:02:43Z,6,,85.06527777777778,6,466,Merged
Add Addok API (French Address Search),2017-08-18T13:46:24Z,2017-08-24T14:37:06Z,2017-08-24T14:37:06Z,2,,144.845,1,676,Merged
"Adding lots of new resources, a couple new categories",2017-09-13T15:22:52Z,2017-09-13T19:26:35Z,2017-09-13T19:26:35Z,5,,4.061944444444444,1,676,Merged
Add PiXHost API to readme,2017-10-07T13:22:01Z,2017-10-24T14:34:21Z,2017-10-24T14:34:21Z,1,,409.2055555555556,1,1316,Merged
Adding more apis,2017-10-13T19:12:41Z,2017-10-17T14:46:08Z,2017-10-17T14:46:08Z,20,,91.5575,1,636,Merged
Create Mock Data section,2017-10-16T21:20:29Z,2017-10-19T13:29:00Z,2017-10-19T13:29:00Z,2,,64.14194444444445,1,909,Merged
Add note about PR label in template,2017-10-24T14:32:49Z,,2017-10-25T14:43:08Z,2,,24.171944444444446,1,410,Closed
"JSON is auto-generated, don't touch",2017-10-26T07:49:54Z,2017-10-26T12:03:06Z,2017-10-26T12:03:06Z,1,,4.22,1,14,Merged
Add check to see if /json was changed,2017-10-26T15:17:12Z,2017-10-26T16:25:20Z,2017-10-26T16:25:20Z,1,,1.1355555555555557,2,194,Merged
Added Reed and changed Bungie,2017-11-19T09:29:30Z,2017-11-20T16:04:05Z,2017-11-20T16:04:05Z,2,,30.57638888888889,1,0,Merged
Update readme file,2018-03-20T16:23:29Z,,2018-05-06T23:03:53Z,1,,1134.6733333333334,1,638,Closed
Update README.md,2018-03-29T02:10:33Z,,2018-05-06T23:02:29Z,1,,932.8655555555556,1,59,Closed
Add Gitlab and edit Github APIs,2018-03-29T22:07:13Z,2018-04-10T23:46:47Z,2018-04-10T23:46:47Z,1,,289.65944444444443,1,772,Merged
Added Super Smash Bros. API,2018-04-24T21:48:58Z,,2018-05-22T20:20:42Z,1,,670.5288888888889,1,847,Closed
Added Whatsapp & crypto APIs,2018-06-06T11:10:31Z,,2018-07-01T14:01:56Z,2,,602.8569444444445,1,847,Closed
Adding Belgium Government Open Data,2018-06-11T15:09:21Z,2018-06-11T16:59:51Z,2018-06-11T16:59:51Z,1,,1.8416666666666666,1,847,Merged
Replace dead inqstats api by population.io api,2018-06-16T16:23:28Z,2018-07-13T02:44:33Z,2018-07-13T02:44:33Z,2,,634.3513888888889,1,201,Merged
Added Cloudmersive Natural Language Processing,2018-07-08T23:14:05Z,,2018-07-14T22:36:42Z,1,,143.37694444444443,1,863,Closed
Added Star Trek API,2018-07-31T18:48:36Z,2018-08-16T21:12:57Z,2018-08-16T21:12:57Z,2,,386.4058333333333,1,0,Merged
Add new news apis,2018-08-04T00:48:35Z,2018-08-16T21:13:18Z,2018-08-16T21:13:18Z,2,,308.41194444444443,1,881,Merged
Added CoinLayer API,2018-08-05T09:45:10Z,2018-09-04T02:14:14Z,2018-09-04T02:14:14Z,4,,712.4844444444444,1,847,Merged
Update Format Validator to support Title links,2018-08-12T22:58:30Z,,2018-09-10T01:42:47Z,1,,674.7380555555555,1,132,Closed
