title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
"Add lint package.json lint script, .editorconfig file, fix linting errors",2017-06-19T21:43:22Z,2017-06-19T22:58:31Z,2017-06-19T22:58:31Z,2,,1.2525,3,16,Merged
WIP: use chrome-launcher for handling the browser.,2017-06-19T23:50:38Z,,2017-07-11T23:43:43Z,4,,527.8847222222222,3,159,Closed
Make InPageCallback async,2017-06-20T01:04:02Z,2017-06-20T21:54:54Z,2017-06-20T21:54:54Z,1,,20.84777777777778,6,31,Merged
Tweaks to readme. API doc link,2017-06-20T02:17:49Z,2017-06-20T18:32:21Z,2017-06-20T18:32:21Z,5,,16.24222222222222,1,72,Merged
Add travis config,2017-06-20T22:29:42Z,2017-06-21T00:04:25Z,2017-06-21T00:04:25Z,4,,1.5786111111111112,3,314,Merged
Extract navigator logic that waits for network idle!,2017-06-20T23:58:00Z,2017-06-21T20:44:12Z,2017-06-21T20:44:12Z,4,,20.77,2,0,Merged
Allow emulating devices,2017-06-21T21:33:17Z,,2017-07-18T01:57:50Z,1,,628.4091666666667,3,0,Closed
fix(Navigator): add better network idle definition,2017-06-23T00:53:27Z,2017-06-28T21:39:37Z,2017-06-28T21:39:37Z,16,,140.76944444444445,5,333,Merged
Basic input,2017-06-27T22:50:02Z,2017-06-28T01:27:23Z,2017-06-28T01:27:23Z,7,,2.6225,4,79,Merged
add navigator test,2017-06-28T00:08:16Z,2017-06-28T05:02:46Z,2017-06-28T05:02:46Z,11,,4.908333333333333,4,74,Merged
Implement documentation linter,2017-06-28T02:34:01Z,2017-07-07T16:36:45Z,2017-07-07T16:36:45Z,3,,230.04555555555555,11,1372,Merged
$ and $$ for querySelector and querySelectorAll,2017-07-07T20:36:04Z,,2017-07-12T22:17:05Z,2,,121.6836111111111,28,0,Closed
Added frame.waitFor(selector),2017-07-07T20:49:37Z,2017-07-07T22:39:03Z,2017-07-07T22:39:03Z,6,,1.823888888888889,4,56,Merged
Page.uploadFile,2017-07-08T00:54:01Z,2017-07-10T18:21:47Z,2017-07-10T18:21:47Z,10,,65.46277777777777,8,3,Merged
Add tests for all public methods on Page,2017-07-08T02:14:27Z,2017-07-10T17:09:59Z,2017-07-10T17:09:59Z,3,,62.925555555555555,3,3,Merged
Mouse input,2017-07-11T00:00:07Z,,2017-07-21T21:16:03Z,3,,261.2655555555556,6,70,Closed
Add use cases and FAQ on Selenium,2017-07-11T18:03:31Z,2017-07-11T23:27:46Z,2017-07-11T23:27:46Z,1,,5.404166666666667,1,464,Merged
Capture native resolution while emulating.,2017-07-11T22:38:04Z,2017-07-18T01:13:04Z,2017-07-18T01:13:04Z,2,,146.58333333333334,9,0,Merged
Cleanup _frameIdToExecutionContextId properly,2017-07-12T00:51:09Z,2017-07-12T04:52:09Z,2017-07-12T04:52:09Z,2,,4.016666666666667,1,0,Merged
Keyboard,2017-07-12T19:27:55Z,2017-07-18T01:49:53Z,2017-07-18T01:49:53Z,18,,126.36611111111111,11,70,Merged
$ and $$ as shortcuts for querySelector and querySelectorAll,2017-07-12T22:23:10Z,2017-07-18T01:56:56Z,2017-07-18T01:56:56Z,17,APPROVED,123.56277777777778,8,86,Merged
Addded builtins object,2017-07-14T23:55:38Z,,2017-08-01T00:32:22Z,3,,408.6122222222222,3,148,Closed
Introduce waitForNavigation.,2017-07-18T19:09:35Z,2017-07-19T01:54:25Z,2017-07-19T01:54:25Z,1,,6.747222222222222,5,0,Merged
Remove keyboard.type and keyboard.press,2017-07-19T22:28:55Z,2017-07-22T03:00:09Z,2017-07-22T03:00:09Z,2,,52.52055555555555,4,43,Merged
Mouse,2017-07-21T21:15:47Z,2017-07-22T03:29:31Z,2017-07-22T03:29:31Z,2,,6.228888888888889,17,4,Merged
Wait for raf after all mouse events.,2017-07-25T07:32:52Z,2017-07-26T00:03:14Z,2017-07-26T00:03:14Z,3,,16.50611111111111,1,5,Merged
Move missing methods from page onto frame.,2017-07-25T08:27:38Z,2017-07-25T18:37:46Z,2017-07-25T18:37:46Z,1,,10.168888888888889,3,60,Merged
Move inner evaluate helpers into frame class.,2017-07-25T18:59:28Z,2017-07-25T21:30:05Z,2017-07-25T21:30:05Z,1,,2.5102777777777776,3,0,Merged
page.evaluate takes a string in addition to function,2017-07-25T23:27:39Z,2017-07-27T19:23:42Z,2017-07-27T19:23:42Z,13,,43.93416666666667,6,11,Merged
Trace only string method names,2017-07-26T09:18:07Z,2017-07-26T18:48:41Z,2017-07-26T18:48:41Z,1,,9.509444444444444,1,72,Merged
coverage,2017-07-26T22:25:33Z,2017-07-27T23:16:38Z,2017-07-27T23:16:38Z,6,,24.851388888888888,3,70,Merged
"Simplify frame manager, do not fetch resources upfront.",2017-07-27T23:47:52Z,2017-07-28T23:52:38Z,2017-07-28T23:52:38Z,2,,24.079444444444444,3,58,Merged
Event coverage and debugging,2017-07-28T00:04:18Z,2017-07-28T18:45:05Z,2017-07-28T18:45:05Z,10,,18.67972222222222,2,112,Merged
Fix injectfile test on Windows,2017-07-28T17:17:58Z,2017-07-28T18:48:41Z,2017-07-28T18:48:41Z,2,,1.5119444444444445,1,64,Merged
