title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Enable JSX files extension,2016-01-10T06:03:28Z,,2016-01-12T16:25:53Z,2,,58.37361111111111,3,147,Closed
Apply User-Agent header correctly to Android WebView,2016-02-08T19:30:42Z,,2016-10-26T15:44:55Z,1,,6260.236944444445,1,75,Closed
"iOS Text - Modify ""onChange"" behaviour to allow for all changes in contentSize",2016-03-04T04:21:06Z,,2016-12-15T04:56:32Z,1,,6864.5905555555555,1,660,Closed
Fix ScrollView's snap index when scrolling forward and user taps the screen again while still scrolling,2016-04-10T20:31:41Z,,2016-09-26T23:14:37Z,2,,4058.7155555555555,1,1188,Closed
Better error for ART <Group />,2016-04-23T19:26:46Z,,2016-12-12T13:47:11Z,1,,5586.340277777777,1,26,Closed
Packaging an iOS component ,2016-05-02T05:07:19Z,,2016-12-15T19:19:50Z,1,,5462.208611111111,4,174,Closed
Support multiple HMR clients,2016-05-09T16:46:14Z,,2016-12-16T00:25:18Z,2,,5287.651111111111,3,405,Closed
"slider add properties:thumbImage,progressColor,progressBackgroundColor,thumbColor",2016-05-19T02:54:39Z,,2016-11-15T00:22:59Z,1,,4317.472222222223,7,368,Closed
Android: Support HTTP headers for source prop on <Image> components,2016-05-27T01:40:13Z,,2017-02-18T15:45:19Z,12,,6422.085,13,806,Closed
Hook up Android intent to Linking.js #7079,2016-06-06T00:49:07Z,,2016-06-06T01:58:41Z,1,,1.1594444444444445,6,26,Closed
Fix bug where library is generated in the wrong place (node_modules),2016-06-07T13:05:10Z,,2016-12-15T20:58:11Z,2,,4591.883611111111,1,696,Closed
Remote notification completion handler,2016-06-10T00:12:27Z,,2016-10-27T04:44:16Z,2,,3340.530277777778,3,1510,Closed
Added Activity interpretation from AndroidManifest.xml,2016-06-17T14:52:07Z,,2016-11-21T18:52:33Z,1,,3772.007222222222,1,521,Closed
Initialize ImagePipelineFactory in ImageLoadedModule,2016-06-24T07:10:39Z,,2016-11-07T15:39:50Z,11,,3272.486388888889,3,196,Closed
Add one more parameter(keyboardType) to AlertIOS.promot().,2016-07-14T13:23:38Z,,2017-01-19T22:44:09Z,2,,4545.341944444444,3,220,Closed
Add evaluateJavaScript to iOS WebView,2016-07-14T23:26:43Z,,2017-02-09T01:18:55Z,1,,5017.87,4,483,Closed
Fix #5432: prevent jumping on refreshing,2016-07-19T12:14:32Z,,2016-09-21T08:19:53Z,2,,1532.0891666666666,1,227,Closed
Expose setAllowUniversalAccessFromFileURLs in Android WebView,2016-07-19T19:42:13Z,,2016-11-08T16:44:04Z,4,,2685.0308333333332,2,686,Closed
Fixing #5932 TouchableOpacity respect style opacity,2016-07-19T23:38:24Z,,2017-05-15T16:42:53Z,1,,7193.074722222223,1,93,Closed
Add iOS support for numberOfLines prop on multiline TextInput,2016-07-25T20:49:25Z,,2017-02-24T06:36:19Z,1,,5121.781666666667,4,1892,Closed
Add support for springs for NativeAnimated on iOS,2016-07-27T16:43:43Z,,2016-10-21T11:29:32Z,2,,2058.763611111111,7,292,Closed
give more warning context,2016-08-01T18:54:14Z,,2016-11-08T14:44:28Z,1,,2371.8372222222224,4,383,Closed
Remove required props for values having defaultProps,2016-08-03T13:08:49Z,,2017-02-02T08:50:28Z,1,,4387.694166666667,1,254,Closed
Listview section footers,2016-08-14T19:29:59Z,,2017-07-20T17:17:23Z,2,,8157.79,6,1087,Closed
Navigator - Fix wrong scene transformation after pop,2016-08-22T07:20:28Z,,2016-10-26T07:14:02Z,1,,1559.8927777777778,1,13,Closed
run-android-on-specific-device,2016-08-24T12:49:31Z,,2016-12-16T03:43:54Z,5,,2726.906388888889,1,1509,Closed
[NativeAnimated][iOS] Add support for native animated events on iOS,2016-08-26T05:17:55Z,,2016-11-01T10:59:18Z,2,,1613.6897222222221,9,158,Closed
[NativeAnimated][iOS] Value offsets,2016-08-28T15:40:16Z,,2016-09-26T17:29:03Z,2,,697.8130555555556,5,237,Closed
Apple TV support 1: existing Objective C code should compile for tvOS,2016-08-29T21:27:57Z,,2016-09-27T13:29:02Z,9,,688.0180555555555,29,116,Closed
fix sometimes _updateVisibleRows will not work,2016-09-01T03:13:56Z,,2017-02-08T22:44:41Z,6,,3859.5125,1,227,Closed
"Add Dimensions 'changed' event listener, expose size classes on iOS",2016-09-01T11:09:26Z,,2017-06-03T20:39:39Z,2,,6609.503611111111,3,558,Closed
[React] Change React version to 15.3.1 (no more RC),2016-09-07T05:34:27Z,,2016-09-16T13:14:03Z,1,,223.66,1,52,Closed
[CLI] Support node_modules/react-native as a symlink,2016-09-07T09:09:46Z,,2016-12-15T20:57:35Z,4,,2387.7969444444443,3,373,Closed
[local-cli] Support symlinks-to-symlinks,2016-09-07T16:13:31Z,,2016-09-15T12:29:00Z,1,,188.25805555555556,2,786,Closed
Fix iOS unchanged local assets refetched from packager in development,2016-09-07T17:07:41Z,,2016-09-19T17:44:29Z,3,,288.61333333333334,2,843,Closed
[ResolutionRequest] Fix node_modules resolution error messages,2016-09-10T00:28:02Z,,2016-09-20T20:59:18Z,7,,260.5211111111111,1,938,Closed
Navigator: Add optional navigationBarPosition prop,2016-09-10T17:40:04Z,,2016-11-15T00:17:18Z,2,,1566.6205555555555,1,418,Closed
Enable TLS 1.1 and TLS 1.2 on Android 4.1-4.4,2016-09-10T17:48:38Z,,2016-10-29T00:14:26Z,4,,1158.43,2,537,Closed
[TextInput] Call onChangeText when auto-correction updates text value,2016-09-12T11:47:39Z,,2016-12-01T00:02:34Z,4,,1908.2486111111111,1,81,Closed
Add very basic usage example for android toast,2016-09-12T17:40:50Z,,2016-09-19T13:44:27Z,5,,164.06027777777777,1,300,Closed
[Website] Restore Android setup instructions in the Getting Started,2016-09-12T22:53:28Z,,2016-09-19T19:14:27Z,2,,164.34972222222223,4,350,Closed
Remove deprecated APIs and modules,2016-09-13T20:15:34Z,,2016-10-11T14:44:21Z,2,,666.4797222222222,19,344,Closed
optimize getNativeProps method,2016-09-14T08:08:16Z,,2016-09-15T01:35:17Z,2,,17.450277777777778,2,281,Closed
Packager: deep react-native field (also known as browser/resolve.alias) shim,2016-09-14T14:04:15Z,,2016-12-01T00:08:11Z,2,,1858.0655555555556,2,1228,Closed
Add .mm to RCTNetwork subspec,2016-09-14T16:26:38Z,,2016-09-15T21:59:18Z,1,,29.544444444444444,1,394,Closed
More flexible IP address for xcode packager script,2016-09-14T22:57:25Z,,2016-11-11T21:01:26Z,1,,1390.0669444444445,1,246,Closed
Docs fix: link for releases points to react-native repo,2016-09-15T15:01:54Z,,2016-09-15T16:14:07Z,1,,1.2036111111111112,1,100,Closed
adds `Keyboard.dismiss()` function and document Keyboard,2016-09-15T16:03:46Z,,2016-09-29T01:14:04Z,9,,321.1716666666667,2,185,Closed
[Android] Expose ArgumentExtractor to BaseJavaModule subclasses,2016-09-15T18:12:36Z,,2017-02-02T11:52:36Z,5,,3353.6666666666665,3,819,Closed
[e2e-testing][Appium] Adding support for android:id,2016-09-16T10:43:17Z,,2016-11-04T14:05:16Z,34,,1179.3663888888889,32,794,Closed
Using evaluateJavascript to fix #9749,2016-09-16T13:53:02Z,,2016-11-07T12:45:41Z,1,,1246.8775,2,259,Closed
[Android] Implement ScrollView sticky headers on Android,2016-09-16T21:47:39Z,,2016-12-06T01:49:53Z,1,,1924.0372222222222,15,1478,Closed
FIX #9617 - Correct find local IP address when running on iOS device,2016-09-17T17:20:35Z,,2016-09-26T08:28:48Z,2,,207.13694444444445,1,596,Closed
fix a broken link and provide a trick to diable log,2016-09-19T01:22:41Z,,2016-09-22T14:44:01Z,5,,85.35555555555555,1,226,Closed
Allow Promise to display error strings and not just error objects.,2016-09-19T23:26:40Z,,2017-03-09T22:31:25Z,5,,4103.079166666666,2,0,Closed
"[Packager] Add ""assetPlugin"" option to allow arbitrary asset processing",2016-09-20T06:13:12Z,,2016-09-20T20:44:23Z,1,,14.519722222222223,4,798,Closed
