title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
"Add Realtime, allowing realtime-js to initialise sockets from inside",2019-11-07T09:57:11Z,2019-11-08T04:31:24Z,2019-11-08T04:31:24Z,3,REVIEW_REQUIRED,18.57027777777778,9,0,Merged
Update docusaurus.config.js,2020-06-10T18:10:46Z,2020-06-11T11:36:45Z,2020-06-11T11:36:45Z,2,APPROVED,17.433055555555555,1,43,Merged
chore: Update traction chart,2020-06-15T14:37:24Z,2020-06-16T04:33:28Z,2020-06-16T04:33:28Z,3,REVIEW_REQUIRED,13.934444444444445,3,103,Merged
examples(slack-clone): Sync changes with next.js repo.,2020-08-09T09:04:17Z,2020-08-13T07:14:35Z,2020-08-13T07:14:35Z,1,REVIEW_REQUIRED,94.17166666666667,12,376,Merged
feature: UMD bundle example,2020-08-28T09:09:51Z,2020-08-29T07:27:15Z,2020-08-29T07:27:15Z,4,APPROVED,22.29,2,295,Merged
feature: adds docs for password reset and email confirmation,2020-08-28T12:07:55Z,,2020-11-02T03:36:23Z,1,REVIEW_REQUIRED,1575.4744444444445,4,103,Closed
feature: adds umd example for vanilla html/js,2020-08-28T13:17:20Z,2020-08-31T14:03:00Z,2020-08-31T14:03:00Z,2,REVIEW_REQUIRED,72.7611111111111,7,36,Merged
Documentation for the new DX,2020-10-15T14:20:10Z,2020-11-02T03:08:02Z,2020-11-02T03:08:02Z,3,REVIEW_REQUIRED,420.79777777777775,189,447,Merged
WIP : Supabase UI testing components,2020-12-11T06:36:35Z,,2020-12-23T07:13:01Z,4,CHANGES_REQUESTED,288.6072222222222,21,222,Closed
Improve auth doc,2020-12-11T23:02:33Z,2020-12-16T23:10:36Z,2020-12-16T23:10:37Z,1,APPROVED,120.13416666666667,5,129,Merged
Better organize guides/auth.mdx (for policies),2020-12-16T19:45:22Z,2020-12-16T23:12:55Z,2020-12-16T23:12:55Z,1,APPROVED,3.4591666666666665,5,251,Merged
"fix: Javascript -> JavaScript, Typescript -> TypeScript",2020-12-16T21:01:07Z,2020-12-16T23:08:19Z,2020-12-16T23:08:19Z,1,APPROVED,2.12,17,112,Merged
Regenerated client docs,2020-12-17T00:30:35Z,,2020-12-23T18:49:54Z,1,REVIEW_REQUIRED,162.32194444444445,3,225,Closed
Handling password reset request,2020-12-17T03:33:41Z,2021-01-08T11:27:42Z,2021-01-08T11:27:42Z,1,REVIEW_REQUIRED,535.9002777777778,6,517,Merged
Adds buttons contrast on primary buttons,2020-12-23T13:32:14Z,2020-12-29T14:25:45Z,2020-12-29T14:25:45Z,3,APPROVED,144.89194444444445,2,934,Merged
fix(examples/nextjs-todo-list): Add Supabase UI Auth component,2021-01-15T10:08:55Z,2021-01-16T03:58:02Z,2021-01-16T03:58:02Z,1,APPROVED,17.81861111111111,12,200,Merged
feat: add cra-todo-list-auth in examples,2021-01-15T11:42:31Z,2021-01-21T06:24:16Z,2021-01-21T06:24:16Z,3,REVIEW_REQUIRED,138.69583333333333,22,469,Merged
adding myself as a contributor,2021-02-18T11:43:02Z,2021-02-18T12:51:43Z,2021-02-18T12:51:43Z,3,REVIEW_REQUIRED,1.1447222222222222,1,328,Merged
Added Quick Start info in Examples,2021-02-22T08:05:44Z,2021-02-22T09:29:39Z,2021-02-22T09:29:39Z,1,APPROVED,1.398611111111111,4,858,Merged
Adds a post for cron jobs,2021-03-06T05:24:41Z,2021-03-08T01:29:52Z,2021-03-08T01:29:52Z,4,REVIEW_REQUIRED,44.08638888888889,3,20,Merged
fix: limit docs with embedded resources,2021-03-08T07:33:42Z,2021-03-12T09:26:25Z,2021-03-12T09:26:25Z,2,REVIEW_REQUIRED,97.87861111111111,1,48,Merged
doc: add note to Realtime removeSubscription() doc,2021-03-10T00:57:23Z,2021-03-10T11:54:06Z,2021-03-10T11:54:06Z,1,REVIEW_REQUIRED,10.945277777777777,2,480,Merged
Chore/blog,2021-03-15T07:28:20Z,2021-03-17T09:10:28Z,2021-03-17T09:10:28Z,6,REVIEW_REQUIRED,49.702222222222225,167,0,Merged
fixed typo in title,2021-03-22T08:05:19Z,2021-03-24T06:34:51Z,2021-03-24T06:34:51Z,1,APPROVED,46.492222222222225,2,328,Merged
