title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
add Base16 color scheme,2017-07-04T05:47:17Z,2017-07-04T14:15:18Z,2017-07-04T14:15:18Z,2,APPROVED,8.466944444444444,6,754,Merged
feat(tab): enable cycle tab selection,2017-12-14T05:50:52Z,2017-12-14T18:48:49Z,2017-12-14T18:48:49Z,2,APPROVED,12.965833333333334,2,931,Merged
"Update Windows icon, more room for tabs",2018-10-10T11:31:19Z,2018-10-10T13:56:14Z,2018-10-10T13:56:14Z,1,,2.415277777777778,6,0,Merged
Feature/rename tab qol,2018-12-14T22:58:51Z,2018-12-19T09:17:09Z,2018-12-19T09:17:09Z,2,APPROVED,106.305,7,342,Merged
Update windows-swca dependency,2019-01-29T20:38:23Z,2019-01-30T15:48:12Z,2019-01-30T15:48:12Z,3,CHANGES_REQUESTED,19.163611111111113,4,0,Merged
Add support for windows 10 mutiple windows and fix various tab/window related bugs,2019-07-18T00:29:19Z,2019-08-07T13:10:25Z,2019-08-07T13:10:26Z,4,CHANGES_REQUESTED,492.685,9,214,Merged
Bump @types/node from 12.7.4 to 12.7.5 in /terminus-ssh,2019-09-12T04:23:41Z,2019-09-18T19:06:58Z,2019-09-18T19:06:58Z,1,APPROVED,158.7213888888889,1,3116,Merged
Bump @types/node from 12.7.4 to 12.7.5 in /app,2019-09-12T04:24:32Z,2019-09-18T18:58:48Z,2019-09-18T18:58:48Z,1,APPROVED,158.57111111111112,2,3116,Merged
Bump @types/node from 12.7.4 to 12.7.5,2019-09-12T04:24:48Z,2019-09-18T18:58:34Z,2019-09-18T18:58:34Z,1,APPROVED,158.56277777777777,2,3116,Merged
Bump xterm-addon-search from 0.2.0 to 0.3.0-beta2 in /terminus-terminal,2019-09-13T04:25:02Z,2019-09-21T17:09:47Z,2019-09-21T17:09:47Z,1,APPROVED,204.74583333333334,2,3082,Merged
Bump xterm-addon-webgl from 0.2.0 to 0.3.0-beta2 in /terminus-terminal,2019-09-13T04:25:30Z,2019-09-21T17:33:27Z,2019-09-21T17:33:27Z,1,APPROVED,205.1325,2,3079,Merged
Bump ssh2-streams from 0.4.4 to 0.4.5 in /terminus-ssh,2019-09-16T04:23:59Z,2019-09-18T19:05:25Z,2019-09-18T19:05:25Z,1,APPROVED,62.690555555555555,1,4482,Merged
Bump cross-env from 5.2.1 to 6.0.0,2019-09-18T04:23:45Z,2019-09-18T18:58:22Z,2019-09-18T18:58:22Z,1,APPROVED,14.576944444444445,2,3836,Merged
Bump webpack-cli from 3.3.8 to 3.3.9,2019-09-18T04:24:18Z,2019-09-18T19:06:40Z,2019-09-18T19:06:40Z,2,APPROVED,14.706111111111111,2,4373,Merged
"Adding Tab Location ""left""",2020-10-18T10:03:53Z,2020-12-06T18:20:18Z,2020-12-06T18:20:18Z,3,,1184.2736111111112,8,455,Merged
Add Hide Tab Index and Hide Tab Close Button,2020-11-16T20:20:33Z,2020-12-06T16:25:20Z,2020-12-06T16:25:20Z,1,CHANGES_REQUESTED,476.07972222222224,6,106,Merged
SFTP Feature: implement Create Folder,2022-03-29T16:32:04Z,2022-03-30T17:18:17Z,2022-03-30T17:18:17Z,4,CHANGES_REQUESTED,24.77027777777778,7,81,Merged
Bump utils-decorators from 1.10.4 to 2.0.3,2022-04-14T04:03:47Z,,2022-05-16T04:04:36Z,1,,768.0136111111111,2,3388,Closed
Created Indonesian Readme,2022-08-22T09:47:43Z,2022-08-23T10:52:39Z,2022-08-23T10:52:39Z,1,,25.08222222222222,7,57,Merged
Mark duplicate hotkeys,2022-12-18T20:10:33Z,2022-12-19T00:07:21Z,2022-12-19T00:07:21Z,1,CHANGES_REQUESTED,3.9466666666666668,8,215,Merged
Bump lru-cache from 6.0.0 to 7.18.3,2023-03-06T05:03:13Z,,2023-04-13T04:59:54Z,1,,911.9447222222223,2,5394,Closed
Bump @types/node from 16.0.1 to 18.14.6 in /tabby-ssh,2023-03-06T05:05:10Z,,2023-04-13T05:00:10Z,1,,911.9166666666666,2,2134,Closed
[feature] add configurable behavior when session ends,2023-04-12T22:06:27Z,2023-04-24T04:07:07Z,2023-04-24T04:07:07Z,6,APPROVED,270.0111111111111,8,593,Merged
Bump @vaadin/vaadin-context-menu from 5.0.0 to 23.3.11 in /tabby-web,2023-04-24T04:35:48Z,,2023-05-01T05:03:53Z,1,,168.46805555555557,2,7204,Closed
Feat #6518: add disconnect current tab hotkey and context menu item,2023-06-15T19:38:19Z,2023-06-16T16:08:11Z,2023-06-16T16:08:11Z,1,CHANGES_REQUESTED,20.497777777777777,7,721,Merged
Implement Window Controls Overlay,2023-07-14T07:21:10Z,2023-07-16T21:02:59Z,2023-07-16T21:02:59Z,3,CHANGES_REQUESTED,61.69694444444445,8,2632,Merged
Various fix/enhancement about Profiles,2023-07-20T18:42:44Z,2023-08-25T21:36:46Z,2023-08-25T21:36:46Z,11,APPROVED,866.9005555555556,39,1413,Merged
add setting to hide tray (menubar for macos),2024-05-07T16:16:05Z,2024-06-19T10:20:24Z,2024-06-19T10:20:24Z,1,,1026.0719444444444,4,95,Merged
wsl: Get the distro icon from the package family name,2024-07-01T02:18:39Z,2024-07-09T08:04:05Z,2024-07-09T08:04:06Z,3,CHANGES_REQUESTED,197.75722222222223,4,338,Merged
Fix Issue #4946 Basic folder upload for sftp electron.,2024-08-21T05:56:58Z,2024-08-24T21:49:47Z,2024-08-24T21:49:47Z,2,CHANGES_REQUESTED,87.88027777777778,7,1148,Merged
