title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add responsive sample to default config,2017-11-01T16:12:45Z,2017-11-01T17:56:51Z,2017-11-01T17:56:51Z,1,,1.735,1,54,Merged
Min-width typo,2017-11-01T21:11:53Z,2017-11-01T22:33:27Z,2017-11-01T22:33:27Z,2,,1.3594444444444445,1,19,Merged
Add form examples,2017-11-03T05:47:11Z,2017-11-03T15:39:42Z,2017-11-03T15:39:42Z,1,,9.875277777777777,2,139,Merged
Register config file with Webpack for watching,2017-11-03T13:55:45Z,2017-11-03T15:04:09Z,2017-11-03T15:04:09Z,5,APPROVED,1.14,14,302,Merged
Build dist assets on prepare,2017-11-03T14:19:35Z,2017-11-03T15:31:21Z,2017-11-03T15:31:21Z,1,APPROVED,1.1961111111111111,1,227,Merged
Add all margin-auto utilities,2017-11-03T15:21:16Z,2017-11-06T16:22:59Z,2017-11-06T16:22:59Z,2,APPROVED,73.0286111111111,10,160,Merged
Make docs config compatible with older versions of node,2017-11-03T16:22:43Z,2017-11-03T18:24:42Z,2017-11-03T18:24:42Z,3,,2.0330555555555554,1,139,Merged
Allow controlling where responsive utilities are rendered using optional `@tailwind screens;` directive,2017-11-03T18:47:33Z,2017-11-09T20:11:38Z,2017-11-09T20:11:38Z,9,CHANGES_REQUESTED,145.4013888888889,5,429,Merged
remove empty media queries,2017-11-03T19:54:11Z,2017-11-03T23:13:49Z,2017-11-03T23:13:49Z,6,APPROVED,3.3272222222222223,2,339,Merged
Add ESLint and Prettier formatting and run initial formatting,2017-11-04T05:44:29Z,2017-11-06T20:10:09Z,2017-11-06T20:10:09Z,5,,62.42777777777778,58,733,Merged
[0.2] Support cascading border colors and styles,2017-11-06T16:20:37Z,2017-11-06T20:38:31Z,2017-11-06T20:38:32Z,1,,4.298333333333333,5,2420,Merged
Algolia's DocSearch ready! ✨,2017-11-06T17:39:58Z,2017-11-08T12:49:07Z,2017-11-08T12:49:07Z,4,,43.1525,6,1875,Merged
Make examples more accessible,2017-11-07T03:25:58Z,2017-11-07T13:11:38Z,2017-11-07T13:11:38Z,1,,9.761111111111111,4,0,Merged
Fix Laravel Mix code samples,2017-11-07T08:31:53Z,2017-11-07T13:12:38Z,2017-11-07T13:12:38Z,4,,4.679166666666666,1,168,Merged
Add a code of conduct,2017-11-07T15:34:38Z,2017-11-07T17:03:58Z,2017-11-07T17:03:59Z,1,,1.488888888888889,1,76,Merged
Move errant SVG and extract nav links to a partial,2017-11-08T14:49:46Z,2017-11-09T16:41:37Z,2017-11-09T16:41:37Z,3,APPROVED,25.864166666666666,4,139,Merged
"Add ""prefix"" and ""important"" options to config",2017-11-10T22:07:50Z,,2017-11-11T13:14:19Z,1,APPROVED,15.108055555555556,4,4013,Closed
"Add ""prefix"" and ""important"" options to config",2017-11-11T13:14:07Z,2017-11-11T15:40:13Z,2017-11-11T15:40:13Z,1,APPROVED,2.435,4,4110,Merged
Add badge alert example,2017-11-21T20:54:35Z,2017-11-21T21:55:11Z,2017-11-21T21:55:11Z,1,APPROVED,1.01,1,208,Merged
Allow enabling/disabling modules and specifying variants from config file,2017-11-23T16:37:03Z,2017-11-24T14:25:28Z,2017-11-24T14:25:28Z,1,APPROVED,21.806944444444444,40,1427,Merged
[0.3] Remove margins on lists by default,2017-11-28T13:16:32Z,2017-11-28T14:29:49Z,2017-11-28T14:29:49Z,5,APPROVED,1.2213888888888889,4,770,Merged
Add variants section to docs,2017-12-02T17:18:30Z,2017-12-03T15:36:15Z,2017-12-03T15:36:15Z,1,,22.295833333333334,50,168,Merged
CSS Transitions,2018-02-08T07:00:33Z,,2019-12-25T18:50:13Z,2,,16451.827777777777,7,354,Closed
Support for active state variant,2018-02-09T19:37:19Z,2018-03-13T12:12:55Z,2018-03-13T12:12:55Z,2,,760.5933333333334,56,647,Merged
Fix property reference syntax,2018-02-12T11:19:51Z,2018-02-12T13:42:51Z,2018-02-12T13:42:51Z,1,,2.3833333333333333,1,717,Merged
Add support for custom container classes,2018-05-29T21:56:02Z,,2019-03-16T20:44:26Z,1,,6982.806666666666,2,576,Closed
"Add ""outline-none"" and ""shadow-outline"" utilities",2018-06-14T18:16:38Z,2018-06-20T18:22:01Z,2018-06-20T18:22:01Z,4,,144.08972222222224,5,641,Merged
Add more default spacing sizes,2018-06-20T19:14:19Z,2018-06-21T12:05:51Z,2018-06-21T12:05:51Z,1,,16.858888888888888,2,773,Merged
Update normalize.css to v8.0.0,2018-08-19T23:06:43Z,2018-09-13T12:08:09Z,2018-09-13T12:08:09Z,1,,589.0238888888889,2,453,Merged
CLI Beautification,2018-09-14T13:29:13Z,2018-09-24T13:30:19Z,2018-09-24T13:30:19Z,2,,240.01833333333335,15,2952,Merged
Restructure config file for 1.0,2019-02-01T18:49:06Z,2019-02-05T18:56:03Z,2019-02-05T18:56:03Z,2,REVIEW_REQUIRED,96.11583333333333,126,14824,Merged
Support using closures as theme values to enable self-referencing,2019-02-06T01:44:06Z,2019-02-06T19:49:46Z,2019-02-06T19:49:46Z,2,REVIEW_REQUIRED,18.094444444444445,5,1146,Merged
Add first class support for extending the default theme,2019-02-14T03:22:42Z,2019-02-14T19:33:32Z,2019-02-14T19:33:32Z,4,REVIEW_REQUIRED,16.180555555555557,2,4013,Merged
Load tailwind.config.js automatically if present,2019-03-04T21:23:46Z,2019-03-05T14:42:16Z,2019-03-05T14:42:16Z,2,REVIEW_REQUIRED,17.308333333333334,4,797,Merged
"Remove negativeMargin plugin, handle negative values in regular margin plugin",2019-04-24T00:22:51Z,2019-04-24T19:33:33Z,2019-04-24T19:33:33Z,5,REVIEW_REQUIRED,19.178333333333335,7,4192,Merged
Increase precision of percentage widths,2019-06-08T12:42:12Z,2019-06-11T00:15:07Z,2019-06-11T00:15:08Z,1,,59.548611111111114,3,256,Merged
Add support for :visited state variant,2019-06-18T11:28:31Z,2019-07-10T12:31:12Z,2019-07-10T12:31:12Z,1,,529.0447222222223,2,461,Merged
Add first-child and last-child variants,2019-07-12T16:58:11Z,2019-07-20T15:16:56Z,2019-07-20T15:16:56Z,2,,190.3125,2,1118,Merged
Replaces use of Lodash isArray with built-in Array.isArray,2019-07-13T14:53:53Z,2019-07-20T14:44:29Z,2019-07-20T14:44:29Z,1,,167.84333333333333,7,130,Merged
add boxSizing classes,2019-07-17T20:31:31Z,,2019-12-27T14:11:22Z,1,,3905.6641666666665,5,435,Closed
Add stroke-width plugin,2019-08-22T21:15:02Z,2019-12-30T14:23:48Z,2019-12-30T14:23:49Z,4,,3113.146111111111,6,394,Merged
Make Inter the default font,2019-12-21T19:54:22Z,,2019-12-24T00:53:05Z,2,,52.978611111111114,8,1608,Closed
Add transition utilities,2019-12-24T13:35:10Z,2020-01-08T15:13:31Z,2020-01-08T15:13:31Z,3,APPROVED,361.63916666666665,7,4722,Merged
Add `checked` variant,2019-12-27T16:13:01Z,2020-07-08T16:27:10Z,2020-07-08T16:27:10Z,1,,4656.235833333333,2,156,Merged
Support import syntax even if not using postcss-import,2020-01-25T17:19:44Z,2020-02-01T18:01:53Z,2020-02-01T18:01:53Z,1,,168.7025,3,482,Merged
Add missing clear-none,2020-03-02T08:53:35Z,2020-03-12T00:00:44Z,2020-03-12T00:00:44Z,1,,231.11916666666667,3,55,Merged
Add support for `target: 'ie11'` config option,2020-04-27T13:21:20Z,2020-04-29T20:31:05Z,2020-04-29T20:31:05Z,2,,55.1625,44,5839,Merged
