title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
add a reference for Penn Tree Bank,2016-04-14T14:19:32Z,2016-04-14T16:56:59Z,2016-04-14T16:56:59Z,2,,2.6241666666666665,1,59,Merged
update local repo,2016-05-09T10:49:45Z,,2016-05-09T13:45:06Z,1,,2.9225,3000,0,Closed
Added code to raise ValueError if parent directory of  path Saver.save…,2016-08-08T07:46:15Z,2016-08-17T00:42:47Z,2016-08-17T00:42:47Z,3,,208.94222222222223,3,1016,Merged
Allow using custom initializers for batch norm params,2016-08-22T17:34:41Z,2016-09-22T04:30:21Z,2016-09-22T04:30:21Z,1,APPROVED,730.9277777777778,2,0,Merged
extend tf.select to broadcast a scalar condition #3945,2016-08-23T21:18:31Z,,2016-10-20T23:58:53Z,3,,1394.6727777777778,8,85,Closed
549 unsorted segment max,2016-08-26T08:37:18Z,,2017-01-15T19:17:24Z,12,,3418.6683333333335,9,40,Closed
modify scatter_update to hack variable initialization check,2016-08-27T18:37:02Z,2016-09-29T16:53:06Z,2016-09-29T16:53:06Z,19,,790.2677777777777,8,13,Merged
Use canonical cuda include directory path in CROSSTOOL.,2016-08-29T18:20:13Z,2016-10-31T16:15:24Z,2016-10-31T16:15:25Z,1,,1509.9197222222222,1,12,Merged
add Rint operation,2016-08-31T01:56:13Z,2016-11-16T18:05:20Z,2016-11-16T18:05:20Z,16,,1864.1519444444446,12,124,Merged
set attr num_sampled <= range_max,2016-09-01T02:01:49Z,,2016-11-04T18:31:25Z,2,,1552.4933333333333,1,107,Closed
add specialized size_t comparison macros to reduce number of warnings,2016-09-01T22:04:25Z,2016-09-20T17:55:55Z,2016-09-20T17:55:55Z,3,APPROVED,451.85833333333335,1,0,Merged
Add decode_image Op,2016-09-06T03:55:17Z,2016-12-01T00:58:06Z,2016-12-01T00:58:06Z,14,,2061.0469444444443,5,387,Merged
Fix bazel dependency failure for non-standard cuda toolkit path,2016-09-06T20:09:51Z,2016-09-19T20:41:26Z,2016-09-19T20:41:26Z,1,,312.5263888888889,2,96,Merged
Improve documentation about custom GPU op compilation,2016-09-07T05:42:34Z,2016-09-19T21:14:57Z,2016-09-19T21:14:57Z,1,APPROVED,303.5397222222222,1,39,Merged
Fix Make build under Linux (Ubuntu),2016-09-08T01:03:26Z,2016-09-21T03:07:29Z,2016-09-21T03:07:29Z,1,APPROVED,314.0675,1,114,Merged
Force clean+fetch when re-running configure with different settings.,2016-09-08T21:09:53Z,2016-09-21T19:50:41Z,2016-09-21T19:50:41Z,1,,310.68,4,423,Merged
fixes load_csv_with_header to respect features_dtype,2016-09-09T11:39:10Z,2016-09-20T15:56:22Z,2016-09-20T15:56:22Z,1,APPROVED,268.2866666666667,1,56,Merged
Pass through -fno-canonical-system-headers,2016-09-10T06:06:35Z,2016-09-15T01:50:56Z,2016-09-15T01:50:56Z,1,APPROVED,115.73916666666666,1,989,Merged
Add Substr Op,2016-09-12T20:00:17Z,2016-11-04T18:20:48Z,2016-11-04T18:20:48Z,23,,1270.3419444444444,6,115,Merged
added einsum op and allow more broadcasting dims,2016-09-14T08:08:33Z,2016-09-20T17:23:34Z,2016-09-20T17:23:34Z,2,APPROVED,153.25027777777777,7,193,Merged
fix comment grammar,2016-09-14T12:23:01Z,2016-09-15T01:38:20Z,2016-09-15T01:38:20Z,1,APPROVED,13.255277777777778,1,0,Merged
"List of 2Ds -> 3D Tensor, seq2seq_loss",2016-09-14T12:51:10Z,2017-01-15T19:55:09Z,2017-01-15T19:55:09Z,1,,2959.066388888889,3,313,Merged
Removed duplicate section in Tensorboard README,2016-09-14T13:44:58Z,,2016-09-21T00:50:16Z,1,,155.08833333333334,1,153,Closed
Set operation name in SyncReplicasOptimizer.apply_gradients.,2016-09-15T04:34:59Z,2016-09-19T23:19:41Z,2016-09-19T23:19:41Z,1,APPROVED,114.745,1,131,Merged
Update README.md to refer to 0.10.0 nightly images.,2016-09-15T17:26:21Z,2016-09-15T19:54:15Z,2016-09-15T19:54:15Z,1,,2.465,1,0,Merged
Update bazel version in devel dockerfiles.,2016-09-15T19:56:40Z,2016-09-16T00:26:34Z,2016-09-16T00:26:34Z,1,,4.498333333333333,2,47,Merged
update and fix problem in API doc.,2016-09-15T23:16:35Z,2016-09-19T22:20:57Z,2016-09-19T22:20:57Z,3,,95.07277777777777,1,70,Merged
Deal with 1d shape in variance_scaling_initializer.,2016-09-16T03:39:40Z,2016-09-19T22:30:10Z,2016-09-19T22:30:10Z,1,APPROVED,90.84166666666667,2,159,Merged
Support Python 2 and 3 in notebooks,2016-09-16T12:58:02Z,2016-09-19T23:33:27Z,2016-09-19T23:33:27Z,1,APPROVED,82.59027777777777,3,36,Merged
Add gradient to BiasAddGrad op.,2016-09-16T13:43:50Z,2016-09-27T16:19:39Z,2016-09-27T16:19:39Z,16,APPROVED,266.59694444444443,2,42,Merged
Update artifact version in tools/dist_test,2016-09-16T20:08:06Z,2016-09-16T22:16:51Z,2016-09-16T22:16:51Z,1,,2.1458333333333335,4,0,Merged
Update example link in the docs preprocessing section,2016-09-17T02:06:45Z,2016-09-19T23:37:37Z,2016-09-19T23:37:37Z,1,APPROVED,69.51444444444445,1,106,Merged
Fix cmake files for highwayhash and re2.,2016-09-18T09:01:23Z,,2016-09-23T17:35:39Z,2,,128.57111111111112,2,99,Closed
Fix to run on Xcode 8.0,2016-09-19T02:21:08Z,2016-09-20T15:46:57Z,2016-09-20T15:46:57Z,1,,37.430277777777775,1,238,Merged
Fixed cuda_configure.bzl for Windows,2016-09-19T09:08:50Z,2016-09-19T23:42:57Z,2016-09-19T23:42:57Z,1,,14.56861111111111,1,210,Merged
Fixed ./configure on Windows,2016-09-19T09:11:06Z,2016-09-19T23:07:46Z,2016-09-19T23:07:46Z,1,,13.944444444444445,2,95,Merged
Set re2 repository commit to the latest,2016-09-19T09:52:48Z,2016-09-20T15:49:18Z,2016-09-20T15:49:18Z,1,,29.941666666666666,1,82,Merged
contrib/quantization: Open file in binary mode,2016-09-19T10:16:08Z,2016-09-19T23:43:26Z,2016-09-19T23:43:26Z,1,,13.455,1,124,Merged
Make grpc buildable on Windows,2016-09-19T11:01:37Z,2016-09-20T17:51:09Z,2016-09-20T17:51:09Z,1,,30.825555555555557,2,196,Merged
Improved iOS camera example and binary footprint optimizations,2016-09-19T11:51:03Z,2016-09-20T15:46:05Z,2016-09-20T15:46:05Z,9,,27.91722222222222,11,266,Merged
Fix farmhash build on Windows,2016-09-19T13:32:30Z,2016-09-28T02:10:51Z,2016-09-28T02:10:51Z,6,,204.63916666666665,1,183,Merged
[done] update zeros_initializer(),2016-09-19T14:27:38Z,2016-09-21T05:41:18Z,2016-09-21T05:41:19Z,10,APPROVED,39.227777777777774,7,697,Merged
