title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
Add a switch for exporting settings,2017-08-15T16:17:16Z,2018-04-25T21:18:49Z,2018-04-25T21:18:49Z,5,,6077.025833333333,4,118,Merged
Dynamically generate list of parsers,2017-08-28T17:06:15Z,2018-04-25T21:23:47Z,2018-04-25T21:23:47Z,1,APPROVED,5764.292222222222,6,1426,Merged
Add support for using ColorTool in WSL,2018-01-19T21:51:17Z,2018-10-02T17:24:39Z,2018-10-02T17:24:39Z,2,APPROVED,6139.556111111111,3,385,Merged
Change listing of available schemes to use directory of executable,2018-04-29T15:46:49Z,2018-04-30T15:26:33Z,2018-04-30T15:26:33Z,1,APPROVED,23.662222222222223,1,250,Merged
Adjust 'ANSI 8' color to be more visible against background. Fixes #180,2018-05-16T16:52:11Z,2018-10-02T16:11:50Z,2018-10-02T16:11:50Z,1,APPROVED,3335.3275,2,0,Merged
"Markdown fixes, also add a description",2018-05-17T10:29:06Z,2018-05-17T15:18:04Z,2018-05-17T15:18:04Z,1,APPROVED,4.816111111111111,1,0,Merged
Consolidate schemes path search code,2018-05-31T11:01:45Z,2018-06-06T21:54:29Z,2018-06-06T21:54:30Z,1,APPROVED,154.8788888888889,3,310,Merged
Fix UIntTocolor,2018-08-19T05:16:39Z,2018-10-02T16:09:49Z,2018-10-02T16:09:49Z,1,APPROVED,1066.8861111111112,1,119,Merged
Add an example application that uses the pseudoconsole APIs,2018-08-31T00:03:48Z,2018-09-11T03:07:18Z,2018-09-11T03:07:18Z,31,APPROVED,267.05833333333334,8,73,Merged
Add csharp conpty sample,2018-09-20T15:21:40Z,2018-10-04T17:18:35Z,2018-10-04T17:18:35Z,5,APPROVED,337.9486111111111,14,1304,Merged
Add the new ConPTY samples to the readme,2018-10-06T10:53:24Z,2018-10-08T16:09:02Z,2018-10-08T16:09:02Z,1,APPROVED,53.260555555555555,1,204,Merged
Added location flag to colortool and updated help.,2018-10-10T20:26:41Z,2019-03-28T23:59:38Z,2019-03-28T23:59:38Z,7,APPROVED,4059.5491666666667,2,45,Merged
