title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
 fix: minor typos,2023-01-24T18:05:08Z,2023-01-26T16:29:49Z,2023-01-26T16:29:49Z,1,APPROVED,46.41138888888889,4,0,Merged
feat: toggle theme icon at the same time,2023-01-24T18:46:26Z,,2023-02-19T06:17:52Z,3,REVIEW_REQUIRED,611.5238888888889,4,92,Closed
Update README.md (Small typo),2023-01-24T20:50:14Z,2023-01-25T15:42:18Z,2023-01-25T15:42:18Z,1,APPROVED,18.86777777777778,1,161,Merged
Issue #7 - Fix,2023-01-25T00:56:10Z,,2023-01-26T18:15:47Z,1,REVIEW_REQUIRED,41.32694444444444,1,487,Closed
fix: Docs typo,2023-01-25T10:08:17Z,2023-01-26T16:29:28Z,2023-01-26T16:29:28Z,1,APPROVED,30.353055555555557,1,0,Merged
Update installation.mdx,2023-01-25T13:22:48Z,2023-01-29T10:18:09Z,2023-01-29T10:18:09Z,3,APPROVED,92.9225,1,36,Merged
Update installation.mdx,2023-01-25T16:24:12Z,,2023-01-29T23:38:03Z,2,REVIEW_REQUIRED,103.23083333333334,1,107,Closed
feat: navigation-menu,2023-01-27T14:34:00Z,2023-01-29T17:28:13Z,2023-01-29T17:28:13Z,4,CHANGES_REQUESTED,50.90361111111111,21,136,Merged
feat: toast,2023-01-27T20:55:49Z,2023-02-10T06:03:52Z,2023-02-10T06:03:52Z,7,REVIEW_REQUIRED,321.13416666666666,15,209,Merged
feat: implement destructive variant for button,2023-01-28T05:02:34Z,2023-01-29T09:49:29Z,2023-01-29T09:49:29Z,1,APPROVED,28.781944444444445,4,0,Merged
feat/toggle,2023-01-28T12:07:08Z,2023-02-04T06:44:50Z,2023-02-04T06:44:50Z,1,APPROVED,162.62833333333333,12,132,Merged
fix: switch position issue,2023-01-29T15:21:23Z,2023-01-29T19:35:45Z,2023-01-29T19:35:45Z,1,APPROVED,4.239444444444445,1,433,Merged
Fix: Issue 42: Use light text in TabsPrimitive.Trigger when dark mode,2023-01-30T18:10:54Z,2023-01-31T17:21:34Z,2023-01-31T17:21:34Z,1,APPROVED,23.177777777777777,1,354,Merged
Text + Border Color changes,2023-01-31T00:20:58Z,2023-01-31T06:29:46Z,2023-01-31T06:29:46Z,1,APPROVED,6.1466666666666665,2,11,Merged
feat(sheet): add sheet component,2023-02-01T16:02:44Z,2023-03-02T10:57:44Z,2023-03-02T10:57:44Z,1,APPROVED,690.9166666666666,7,455,Merged
feat:toggle group,2023-02-03T21:17:27Z,,2023-11-12T18:04:22Z,4,CHANGES_REQUESTED,6764.781944444445,11,244,Closed
fix(slider): value prop not being passed,2023-02-04T20:20:46Z,2023-02-05T06:41:00Z,2023-02-05T06:41:00Z,1,APPROVED,10.337222222222222,2,173,Merged
docs(dialog): trigger dialog from context menu or dropdown,2023-02-05T02:11:57Z,2023-02-08T17:18:44Z,2023-02-08T17:18:44Z,1,APPROVED,87.11305555555556,1,382,Merged
Fix bg color link button,2023-02-05T04:49:06Z,2023-02-19T06:01:00Z,2023-02-19T06:01:00Z,1,APPROVED,337.1983333333333,1,106,Merged
fix(popover): side left and right no animation,2023-02-05T13:06:58Z,2023-02-10T05:56:38Z,2023-02-10T05:56:38Z,1,APPROVED,112.82777777777778,1,60,Merged
chore: add husky prepare,2023-02-05T13:20:33Z,2023-02-06T11:25:29Z,2023-02-06T11:25:29Z,1,APPROVED,22.08222222222222,1,512,Merged
"fix: broken navigation menu in small screen, #40",2023-02-05T23:05:06Z,2023-02-07T09:02:14Z,2023-02-07T09:02:14Z,1,APPROVED,33.952222222222225,2,151,Merged
feat: slide left and right animations for Dropdown,2023-02-06T14:35:54Z,2023-02-08T17:11:32Z,2023-02-08T17:11:32Z,1,APPROVED,50.59388888888889,1,70,Merged
Fix broken link,2023-02-08T00:15:30Z,2023-02-08T03:46:40Z,2023-02-08T03:46:40Z,1,APPROVED,3.5194444444444444,1,0,Merged
fix: alert-dialog demo typo,2023-02-08T14:42:48Z,2023-02-08T17:15:16Z,2023-02-08T17:15:17Z,1,APPROVED,2.5411111111111113,1,0,Merged
Add Font instructions when adding to an existing project,2023-02-08T17:24:31Z,,2023-10-15T11:22:33Z,1,REVIEW_REQUIRED,5969.9672222222225,1,8,Closed
fix(docs): fix destructive toast example src,2023-02-11T13:29:55Z,2023-02-12T05:53:18Z,2023-02-12T05:53:18Z,1,APPROVED,16.389722222222222,1,66,Merged
"fixing a11y issue with ""destructive"" button",2023-02-13T13:12:47Z,2023-02-19T06:11:08Z,2023-02-19T06:11:08Z,2,APPROVED,136.9725,2,0,Merged
fix: correct padding of command groups when list is filtered,2023-02-14T22:14:45Z,2023-02-19T06:08:22Z,2023-02-19T06:08:22Z,1,APPROVED,103.89361111111111,1,623,Merged
fix: buttons added scale down on click/tap,2023-02-15T14:52:22Z,2023-02-16T08:39:01Z,2023-02-16T08:39:01Z,1,APPROVED,17.7775,3,94,Merged
Add style when NavigationMenuLink is active ,2023-02-16T08:51:46Z,2023-02-19T06:10:22Z,2023-02-19T06:10:22Z,2,APPROVED,69.31,1,395,Merged
feat: make icon reflect theme setting,2023-02-16T14:15:55Z,2023-02-19T06:17:11Z,2023-02-19T06:17:11Z,1,APPROVED,64.02111111111111,3,0,Merged
feat: Add loading state to the Button,2023-02-17T04:15:24Z,,2023-10-15T11:57:58Z,1,REVIEW_REQUIRED,5767.709444444445,1,315,Closed
fix(www/command-menu): command menu keybinding not working,2023-02-18T11:36:43Z,2023-02-18T18:32:08Z,2023-02-18T18:32:08Z,1,APPROVED,6.923611111111111,1,185,Merged
fix(example/playground): save preset input value,2023-02-22T23:25:46Z,2023-03-01T13:26:06Z,2023-03-01T13:26:06Z,1,APPROVED,158.00555555555556,1,45,Merged
fixed import to inlcude everything,2023-02-23T00:42:56Z,,2023-09-18T12:51:44Z,1,APPROVED,4980.1466666666665,1,0,Closed
Unexpected lexical declaration in case block,2023-02-25T02:56:58Z,2023-03-01T13:07:53Z,2023-03-01T13:07:53Z,1,APPROVED,106.18194444444444,1,48,Merged
feat: add close functionalitiy for dialog and sheet components,2023-03-10T22:57:48Z,,2023-10-15T11:54:27Z,2,REVIEW_REQUIRED,5244.944166666667,2,17,Closed
feat(breadcrumb): add breadcrumb component,2023-03-21T18:46:29Z,2024-03-07T18:42:39Z,2024-03-07T18:42:39Z,9,REVIEW_REQUIRED,8447.93611111111,23,107,Merged
fix(docs): typo in sheet usage section,2023-03-21T21:44:08Z,,2023-04-02T16:28:58Z,1,REVIEW_REQUIRED,282.7472222222222,1,0,Closed
refactor(theme-toggle): simplify transitions and unify naming,2023-03-22T12:14:18Z,,2023-04-18T10:43:40Z,3,REVIEW_REQUIRED,646.4894444444444,4,235,Closed
Fix description in `scroll-area.mdx`,2023-03-22T16:16:31Z,2023-04-03T04:14:59Z,2023-04-03T04:14:59Z,1,APPROVED,275.97444444444443,1,331,Merged
Fix description in `dialog.mdx`,2023-03-22T16:27:37Z,2023-04-03T04:19:48Z,2023-04-03T04:19:48Z,1,APPROVED,275.8697222222222,1,314,Merged
docs: change wrong import,2023-03-28T11:32:31Z,2023-04-01T04:06:07Z,2023-04-01T04:06:07Z,1,APPROVED,88.56,1,177,Merged
Replacing third party @next/font with Next.js inbuilt next/font,2023-03-28T18:55:20Z,2023-04-03T05:15:24Z,2023-04-03T05:15:24Z,1,APPROVED,130.33444444444444,3,133,Merged
fix: remove extra curly brace in style tag,2023-03-31T13:25:21Z,2023-04-01T03:52:48Z,2023-04-01T03:52:48Z,1,APPROVED,14.4575,1,60,Merged
fix select placeholder style,2023-03-31T23:03:50Z,,2024-01-14T08:38:23Z,1,APPROVED,6921.575833333333,3,113,Closed
docs: missing imports for collapsible,2023-04-02T11:11:50Z,2023-04-03T04:30:51Z,2023-04-03T04:30:51Z,1,APPROVED,17.316944444444445,1,192,Merged
feat(toast): add example of promise toast and add shake animation,2023-04-15T12:05:06Z,,2023-12-23T11:17:49Z,1,REVIEW_REQUIRED,6047.211944444444,7,227,Closed
feat(button): support render delegation with asChild parameter,2023-04-17T03:13:35Z,2023-04-30T08:01:42Z,2023-04-30T08:01:42Z,1,APPROVED,316.8019444444444,4,510,Merged
Add type keyword to ClassValue,2023-04-17T16:39:12Z,2023-04-18T06:10:19Z,2023-04-18T06:10:19Z,1,APPROVED,13.518611111111111,1,93,Merged
fix: typo in badge component,2023-04-17T23:30:48Z,2023-04-18T01:45:45Z,2023-04-18T01:45:45Z,1,APPROVED,2.2491666666666665,3,0,Merged
Badge: Update destructive bg color on hover,2023-04-18T09:16:49Z,2023-04-20T05:34:32Z,2023-04-20T05:34:32Z,1,APPROVED,44.29527777777778,1,56,Merged
docs(www): Fix typo in alert component usage,2023-04-18T14:38:49Z,2023-04-20T08:49:15Z,2023-04-20T08:49:15Z,1,APPROVED,42.17388888888889,1,0,Merged
docs(www): Fix a typo in FAQ,2023-04-18T15:24:09Z,2023-04-19T15:56:05Z,2023-04-19T15:56:05Z,1,APPROVED,24.532222222222224,1,0,Merged
fix(ui): add pl-11 utility class if svg is present (for firefox),2023-04-19T18:36:28Z,,2023-04-21T00:18:53Z,4,REVIEW_REQUIRED,29.706944444444446,1,125,Closed
docs(www): Set correct colors for card in darkmode,2023-04-19T21:45:39Z,2023-04-20T12:36:38Z,2023-04-20T12:36:38Z,1,APPROVED,14.849722222222223,1,193,Merged
fix: component selection in copy-button,2023-04-20T09:08:14Z,2023-04-20T12:20:14Z,2023-04-20T12:20:14Z,1,APPROVED,3.2,1,128,Merged
fix(www): set icon fill to currentColor,2023-04-23T20:28:50Z,2023-04-29T14:52:25Z,2023-04-29T14:52:25Z,1,APPROVED,138.39305555555555,1,25,Merged
fix(json): added toaster component to the toast component json,2023-04-24T11:34:44Z,,2023-10-15T11:03:54Z,2,REVIEW_REQUIRED,4175.486111111111,1,25,Closed
feat(cli): add config files and examples in docs,2023-04-24T14:55:23Z,2023-05-28T06:21:11Z,2023-05-28T06:21:11Z,1,APPROVED,807.43,5,1524,Merged
feat(Table): Add Table component,2023-04-25T22:09:12Z,2023-05-08T11:49:19Z,2023-05-08T11:49:19Z,1,APPROVED,301.6686111111111,1,0,Merged
fix: add missing deps for Button,2023-05-01T06:51:07Z,2023-05-13T09:07:39Z,2023-05-13T09:07:39Z,3,APPROVED,290.27555555555557,4,526,Merged
