title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
add release config,2021-07-13T16:54:13Z,,2022-04-14T03:32:43Z,5,,6586.641666666666,2,228,Closed
Small Change,2021-07-15T16:10:13Z,,2021-10-12T16:43:16Z,1,,2136.5508333333332,1,45,Closed
Feat: Handle DNS multiple A Records,2021-07-16T04:25:13Z,,2021-07-22T06:18:42Z,1,,145.89138888888888,2,1003,Closed
Fix `require-v-for-key` (from `eslint-plugin-vue`),2021-07-18T01:12:26Z,2021-07-22T03:16:19Z,2021-07-22T03:16:19Z,2,,98.06472222222222,10,220,Merged
Implement retries (#56),2021-07-19T16:33:01Z,2021-07-22T16:11:24Z,2021-07-22T16:11:24Z,8,,71.63972222222222,13,1344,Merged
Display certificate Info (#1),2021-07-21T04:22:10Z,2021-07-26T15:05:16Z,2021-07-26T15:05:17Z,13,,130.71833333333333,8,398,Merged
Add a /metrics endpoint for Prometheus monitoring,2021-07-22T07:22:46Z,2021-07-27T15:21:48Z,2021-07-27T15:21:48Z,17,,127.98388888888888,5,319,Merged
Add ESLint and StyleLint,2021-07-26T00:39:50Z,2021-07-28T12:53:00Z,2021-07-28T12:53:00Z,11,,60.21944444444444,33,318,Merged
Certificate renewal notifications,2021-07-27T05:35:05Z,,2021-10-23T13:30:39Z,5,,2119.926111111111,225,0,Closed
Fix: Update ESLint to handle class static member ,2021-07-29T06:34:41Z,2021-07-30T07:21:15Z,2021-07-30T07:21:15Z,3,,24.77611111111111,4,134,Merged
Reduce Docker image size,2021-07-29T08:59:01Z,,2021-09-11T10:49:43Z,4,,1057.845,2,52,Closed
[WIP] Implement Public Dashboard,2021-07-30T07:02:58Z,2021-09-23T08:54:07Z,2021-09-23T08:54:07Z,2,,1321.8525,41,69,Merged
Fix: [DB] Add default for created_date in monitor,2021-08-03T09:45:28Z,2021-08-03T14:58:56Z,2021-08-03T14:58:56Z,1,,5.224444444444444,2,24,Merged
FEAT: darkmode,2021-08-03T13:50:21Z,2021-08-08T05:47:29Z,2021-08-08T05:47:30Z,1,,111.95222222222222,15,83,Merged
Feat: Implement Max.Redirects & Accepted Status Codes,2021-08-05T11:13:10Z,2021-08-08T13:19:20Z,2021-08-08T13:19:20Z,1,,74.10277777777777,11,710,Merged
Discord enhancements,2021-08-05T16:16:14Z,2021-08-08T03:04:11Z,2021-08-08T03:04:11Z,6,,58.799166666666665,3,115,Merged
Test reviewdog,2021-08-08T16:20:36Z,,2021-08-10T07:56:34Z,3,,39.599444444444444,4,0,Closed
Add certificate monitoring to the Prometheus handler,2021-08-10T07:03:04Z,2021-08-12T16:26:58Z,2021-08-12T16:26:58Z,4,,57.39833333333333,2,308,Merged
Adds http_code to heartbeatJSON,2021-08-14T02:51:55Z,,2021-08-15T12:27:10Z,3,APPROVED,33.5875,4,138,Closed
Added user choice heartbeat bar,2021-08-15T18:52:32Z,2021-08-18T07:16:57Z,2021-08-18T07:16:57Z,2,,60.40694444444444,6,445,Merged
"Fix: Improve Chart axis, use 24Hr format",2021-08-16T15:59:25Z,2021-08-17T12:05:48Z,2021-08-17T12:05:48Z,1,,20.10638888888889,1,132,Merged
added K8s-Deployment and edited README,2021-08-18T08:41:24Z,2021-08-20T18:00:33Z,2021-08-20T18:00:33Z,12,,57.31916666666667,8,162,Merged
Added DNS Monitor Type,2021-08-22T22:18:07Z,2021-08-27T16:21:10Z,2021-08-27T16:21:10Z,10,APPROVED,114.05083333333333,9,417,Merged
Discord notification updates,2021-08-25T11:09:04Z,2021-08-26T15:03:32Z,2021-08-26T15:03:32Z,1,,27.907777777777778,1,132,Merged
Added import and export function,2021-09-01T15:15:41Z,2021-09-09T08:15:49Z,2021-09-09T08:15:49Z,6,,185.00222222222223,5,662,Merged
Add Dutch/Nederlands language (nl_NL),2021-09-02T09:12:21Z,2021-09-03T16:05:05Z,2021-09-03T16:05:05Z,2,,30.878888888888888,2,54,Merged
"Notifications Content Improvements: SMTP, LunaSea, PushBullet",2021-09-02T13:58:57Z,2021-09-05T03:52:50Z,2021-09-05T03:52:50Z,3,,61.89805555555556,1,551,Merged
[LANG] `pl` fixes,2021-09-05T18:56:49Z,2021-09-06T04:44:57Z,2021-09-06T04:44:57Z,1,,9.802222222222222,1,77,Merged
Added the option for default notifications,2021-09-05T21:31:59Z,2021-09-08T04:49:14Z,2021-09-08T04:49:14Z,5,,55.2875,20,206,Merged
Debian Dockerfile refactoring and improvements,2021-09-07T02:31:36Z,2021-09-07T07:21:19Z,2021-09-07T07:21:19Z,1,,4.828611111111111,1,727,Merged
Added simple TOTP Two Factor Authentication,2021-09-09T19:27:23Z,2021-09-12T15:47:42Z,2021-09-12T15:47:42Z,8,,68.3386111111111,12,688,Merged
Added support for a retry interval to monitors,2021-09-11T17:00:54Z,2021-09-15T16:21:54Z,2021-09-15T16:21:54Z,6,,95.35,6,2662,Merged
Move timezones to npm package and convert util-frontend.js to typescript,2021-09-12T11:30:07Z,2021-09-13T11:57:24Z,2021-09-13T11:57:24Z,2,,24.454722222222223,4,338,Merged
fix(settings): add some button bottom margin for narrow screens,2021-09-12T11:40:40Z,2021-09-12T15:49:21Z,2021-09-12T15:49:22Z,1,,4.144722222222223,1,112,Merged
add possibility to have a prefixMessage in discord notification before the embed,2021-09-12T15:57:44Z,2021-09-13T12:02:55Z,2021-09-13T12:02:55Z,3,,20.086388888888887,2,246,Merged
Add microsoft teams notification provider,2021-09-12T17:57:22Z,2021-09-15T08:38:57Z,2021-09-15T08:38:57Z,1,,62.69305555555555,4,615,Merged
Hide 2FA section if disabled auth,2021-09-12T19:59:48Z,2021-09-13T01:16:09Z,2021-09-13T01:16:09Z,1,,5.2725,1,101,Merged
Add legacy octopush (Octopush-DM from 2011 to 2020 accounts) version,2021-09-13T08:31:06Z,2021-10-07T17:40:57Z,2021-10-07T17:40:58Z,3,,585.1641666666667,2,150,Merged
Added search key,2021-09-14T15:48:55Z,2021-09-14T17:20:51Z,2021-09-14T17:20:51Z,1,,1.5322222222222222,2,18,Merged
"Simple ""Add to Homescreen"" manifest (PWA)",2021-09-15T17:14:57Z,2021-09-16T06:42:56Z,2021-09-16T06:42:56Z,1,,13.466388888888888,4,1016,Merged
Added import/export compatibility for version 1.7,2021-09-15T20:11:35Z,2021-09-24T06:00:28Z,2021-09-24T06:00:28Z,2,,201.81472222222223,2,341,Merged
Add dumb-init to avoid zombie processes,2021-09-16T01:54:45Z,,2021-09-24T11:25:14Z,1,,201.50805555555556,2,325,Closed
chore(NotificationDialog): Convert notification form to separate component,2021-09-17T08:11:28Z,2021-09-30T09:53:36Z,2021-09-30T09:53:36Z,2,,313.70222222222225,20,0,Merged
Docker entrypoint to run the application as non-root user,2021-09-17T21:32:17Z,2021-09-19T06:33:20Z,2021-09-19T06:33:20Z,9,,33.0175,3,968,Merged
Add Overall Status and Uptime to DashboardHome,2021-09-18T02:31:12Z,,2022-04-14T03:27:49Z,1,,4992.943611111111,22,212,Closed
Add missing entries to dockerignore,2021-09-18T17:54:05Z,2021-09-19T04:58:55Z,2021-09-19T04:58:55Z,2,,11.080555555555556,1,74,Merged
Label images,2021-09-19T10:41:45Z,,2021-09-25T13:11:42Z,7,,146.49916666666667,68,240,Closed
Add comments from `util.ts` to `util.js`,2021-09-19T21:13:03Z,2021-09-21T09:23:12Z,2021-09-21T09:23:12Z,5,,36.16916666666667,3,0,Merged
Notification form i18n,2021-09-21T05:05:55Z,2021-10-07T06:13:08Z,2021-10-07T06:13:08Z,8,,385.1202777777778,22,22,Merged
Add Header Authentication for SSO,2021-09-24T14:36:05Z,,2022-07-07T15:45:24Z,2,,6865.155277777778,2,637,Closed
