title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
add compile options test,2016-06-29T16:30:33Z,2016-06-30T15:01:37Z,2016-06-30T15:01:37Z,1,,22.517777777777777,1,18,Merged
Add undefined check for instance methods,2016-09-10T20:25:14Z,2016-09-11T14:54:47Z,2016-09-11T14:54:47Z,3,,18.4925,1,410,Merged
"[next] [discussion] Add warning for those using Vue.set with only two arguments, as in Vue 1",2016-09-12T03:20:27Z,,2016-10-12T04:56:07Z,2,,721.5944444444444,1,810,Closed
Allow for function as child,2016-09-20T20:00:18Z,,2016-10-12T04:56:07Z,1,,512.9302777777777,5,1817,Closed
Update `$refs` type declaration,2016-09-26T04:17:05Z,2016-09-28T19:04:08Z,2016-09-28T19:04:08Z,1,,62.784166666666664,2,421,Merged
fix directive sort compare,2016-09-26T14:13:46Z,2016-09-27T18:37:50Z,2016-09-27T18:37:50Z,2,,28.40111111111111,2,113,Merged
warn user calling Vue() without new,2016-09-27T22:38:15Z,2016-09-28T19:33:29Z,2016-09-28T19:33:29Z,2,,20.920555555555556,2,562,Merged
fix IE/Edge select remembering selection,2016-09-28T16:21:38Z,2016-09-28T19:32:59Z,2016-09-28T19:32:59Z,3,APPROVED,3.1891666666666665,1,49,Merged
Fix $createElement and Vue.extend,2016-09-30T04:47:28Z,2016-09-30T17:57:39Z,2016-09-30T17:57:39Z,4,,13.169722222222223,6,192,Merged
Fix #3824 Allow text nodes on static templates in components,2016-10-01T17:31:48Z,2016-10-05T19:13:14Z,2016-10-05T19:13:14Z,2,,97.69055555555556,2,74,Merged
Fix links to docs in Readme,2016-10-05T17:06:15Z,2016-10-05T20:04:32Z,2016-10-05T20:04:32Z,1,CHANGES_REQUESTED,2.971388888888889,1,131,Merged
Switch to https,2016-10-07T07:41:05Z,2016-10-07T21:39:51Z,2016-10-07T21:39:51Z,1,,13.979444444444445,6,47,Merged
add getTypeList to process mutli-type prop,2016-10-09T14:18:06Z,2016-10-10T23:20:44Z,2016-10-10T23:20:44Z,3,CHANGES_REQUESTED,33.04388888888889,1,138,Merged
Add promise support to nextTick,2016-10-17T23:51:02Z,2016-11-20T14:50:38Z,2016-11-20T14:50:38Z,11,,806.9933333333333,4,473,Merged
Fix typo in 'component',2016-10-18T19:00:33Z,2016-10-19T14:33:17Z,2016-10-19T14:33:17Z,1,,19.545555555555556,1,149,Merged
Typo fix: optimizier -> optimizer,2016-10-22T21:14:15Z,2016-10-24T12:25:08Z,2016-10-24T12:25:08Z,1,,39.18138888888889,1,70,Merged
".number modifier should work with select, radio, checkbox (fix #4018)",2016-10-24T14:29:52Z,2016-11-01T15:50:22Z,2016-11-01T15:50:22Z,4,,193.34166666666667,7,10,Merged
fix problematic use of 'deprecated' in warnings,2016-10-27T05:27:55Z,2016-11-01T15:17:25Z,2016-11-01T15:17:25Z,1,APPROVED,129.825,3,13,Merged
Check and warn for falsy class name (fixes #4050),2016-10-28T07:12:17Z,2016-11-01T15:30:43Z,2016-11-01T15:30:43Z,2,,104.30722222222222,1,189,Merged
Small performance improvement in watcher.js,2016-10-31T02:53:08Z,2016-11-01T15:48:47Z,2016-11-01T15:48:47Z,5,,36.9275,2,73,Merged
"[RFC] fix #4055, generate style on custom component, Don't Merge",2016-10-31T15:21:38Z,2016-11-04T13:38:52Z,2016-11-04T13:38:52Z,4,,94.28722222222223,3,80,Merged
introduce a warning with misusage binding in dev mode,2016-11-01T15:23:17Z,,2016-11-01T18:14:19Z,2,,2.8505555555555557,2,118,Closed
change FunctionalComponentOptions to a generic interface,2016-11-02T03:21:27Z,,2016-11-03T15:26:19Z,3,,36.08111111111111,4,40,Closed
Add support attribute module,2016-11-02T19:21:57Z,2016-11-03T14:53:43Z,2016-11-03T14:53:43Z,3,APPROVED,19.529444444444444,2,28,Merged
"fix #4041, warn overriding Vue's internal methods",2016-11-04T05:40:07Z,2016-11-04T11:44:47Z,2016-11-04T11:44:47Z,3,CHANGES_REQUESTED,6.0777777777777775,2,0,Merged
Modifier once for v-on,2016-11-21T13:09:03Z,2016-11-30T17:15:18Z,2016-11-30T17:15:18Z,6,,220.10416666666666,5,187,Merged
Support v-if multiple conditions,2016-11-21T17:18:01Z,2016-11-21T20:24:54Z,2016-11-21T20:24:54Z,6,,3.1147222222222224,10,285,Merged
Fix nested templates in SFC,2016-11-23T15:33:32Z,,2016-11-23T18:17:45Z,3,,2.7369444444444446,3,285,Closed
improve examples html title,2016-11-29T10:25:56Z,2016-11-29T11:49:33Z,2016-11-29T11:49:33Z,2,APPROVED,1.3936111111111111,7,87,Merged
Modifier key v-on modifier for keyboard event && Spelling correct &&…,2016-12-01T06:22:08Z,,2016-12-01T19:32:28Z,2,,13.172222222222222,3,112,Closed
