title,createdAt,mergedAt,closedAt,reviewsCount,reviewDecision,reviewTimeHours,filesChanged,description,result
新增糖醋鲤鱼,2021-02-15T02:54:48Z,2021-02-15T05:48:01Z,2021-02-15T05:48:01Z,1,REVIEW_REQUIRED,2.8869444444444445,4,48,Merged
TAGOST ADD #油泼辣子,2021-04-30T07:36:18Z,2021-06-03T08:01:18Z,2021-06-03T08:01:19Z,1,CHANGES_REQUESTED,816.4166666666666,1,0,Merged
增加太阳蛋做法,2022-02-15T09:29:25Z,2022-02-17T06:26:30Z,2022-02-17T06:26:30Z,3,APPROVED,44.951388888888886,2,0,Merged
肉的一段处理第3步不严谨，需加入水,2022-02-17T02:56:02Z,2022-02-17T06:25:50Z,2022-02-17T06:25:50Z,1,APPROVED,3.4966666666666666,1,0,Merged
Create 辣椒炒肉.md,2022-02-17T04:27:55Z,2022-02-17T06:24:32Z,2022-02-17T06:24:32Z,1,APPROVED,1.9436111111111112,1,12,Merged
Create 牛排.md,2022-02-17T13:11:33Z,,2024-01-20T05:30:43Z,3,REVIEW_REQUIRED,16840.319444444445,1,0,Closed
add 清炒黄瓜的做法,2022-02-18T03:03:35Z,,2022-02-28T23:48:47Z,5,CHANGES_REQUESTED,260.75333333333333,2,0,Closed
添加老干妈拌面和醪糟小汤圆,2022-02-18T03:47:58Z,2022-02-18T05:00:27Z,2022-02-18T05:00:27Z,3,REVIEW_REQUIRED,1.2080555555555557,3,0,Merged
Add 厨房基本操作注意事项,2022-02-18T09:31:47Z,2022-02-19T14:30:29Z,2022-02-19T14:30:29Z,4,CHANGES_REQUESTED,28.97833333333333,1,14,Merged
更新了西红柿鸡蛋,2022-02-18T10:38:09Z,,2022-02-19T16:02:18Z,3,CHANGES_REQUESTED,29.4025,1,15,Closed
优化一些形式化描述,2022-02-18T11:53:48Z,2022-02-19T17:44:57Z,2022-02-19T17:44:57Z,3,REVIEW_REQUIRED,29.8525,2,0,Merged
Update 米饭.md,2022-02-18T12:39:29Z,2022-02-18T16:31:39Z,2022-02-18T16:31:39Z,1,APPROVED,3.8694444444444445,1,44,Merged
Add: 速冻水饺,2022-02-18T14:07:24Z,2022-02-19T15:55:20Z,2022-02-19T15:55:20Z,4,APPROVED,25.79888888888889,1,21,Merged
add missing spaces between half and full-width characters,2022-02-18T15:11:54Z,2022-02-19T06:05:32Z,2022-02-19T06:05:32Z,3,APPROVED,14.893888888888888,1,62,Merged
Suppress MD024,2022-02-18T16:33:31Z,2022-02-19T06:42:05Z,2022-02-19T06:42:05Z,2,APPROVED,14.142777777777777,1,14,Merged
Update 米粥.md,2022-02-18T19:58:45Z,,2022-02-19T16:06:29Z,1,CHANGES_REQUESTED,20.128888888888888,1,39,Closed
改进计算菜的数量的算法,2022-02-19T00:54:46Z,,2022-02-20T08:32:31Z,6,CHANGES_REQUESTED,31.629166666666666,1,123,Closed
尖椒炒牛肉,2022-02-19T04:35:11Z,2022-02-19T08:56:00Z,2022-02-19T08:56:00Z,4,REVIEW_REQUIRED,4.3469444444444445,2,0,Merged
添加皮蛋瘦肉粥操作,2022-02-19T06:49:03Z,2022-02-19T10:44:11Z,2022-02-19T10:44:11Z,2,APPROVED,3.918888888888889,2,42,Merged
[Contributing Rule Change] 贡献指南规范化,2022-02-19T10:02:43Z,2022-02-20T09:20:34Z,2022-02-20T09:20:34Z,6,REVIEW_REQUIRED,23.2975,3,0,Merged
小炒肉,2022-02-19T12:19:26Z,2022-02-19T15:33:33Z,2022-02-19T15:33:34Z,2,CHANGES_REQUESTED,3.2352777777777777,2,5,Merged
日式咖喱饭的做法,2022-02-19T12:23:17Z,2022-02-19T14:41:30Z,2022-02-19T14:41:30Z,2,APPROVED,2.303611111111111,3,2,Merged
add 蒜香酱油,2022-02-19T12:37:06Z,2022-02-19T13:51:28Z,2022-02-19T13:51:28Z,3,REVIEW_REQUIRED,1.2394444444444443,2,10,Merged
微波炉蛋糕的做法,2022-02-19T18:30:24Z,2022-02-20T11:17:38Z,2022-02-20T11:17:38Z,4,APPROVED,16.787222222222223,3,0,Merged
Create 速冻汤圆.md,2022-02-19T18:43:42Z,2022-02-20T07:13:50Z,2022-02-20T07:13:50Z,2,REVIEW_REQUIRED,12.502222222222223,3,0,Merged
Create 洋葱炒猪肉.md,2022-02-19T18:56:28Z,2022-02-20T07:17:19Z,2022-02-20T07:17:19Z,3,REVIEW_REQUIRED,12.3475,2,1,Merged
添加饺子的做法,2022-02-20T02:59:23Z,,2023-01-05T02:20:14Z,1,CHANGES_REQUESTED,7655.3475,2,0,Closed
"[U] 优化了对油温,辣度控制",2022-02-20T04:54:00Z,2022-02-20T07:08:53Z,2022-02-20T07:08:53Z,1,APPROVED,2.2480555555555557,1,0,Merged
Create 水煮玉米.md,2022-02-20T06:57:40Z,2022-02-21T02:09:40Z,2022-02-21T02:09:40Z,4,REVIEW_REQUIRED,19.2,2,0,Merged
feat: 改进计算菜的数量的算法,2022-02-20T08:32:25Z,,2022-06-09T07:22:58Z,2,CHANGES_REQUESTED,2614.8425,1,34,Closed
Update 烙饼.md,2022-02-20T13:19:48Z,2022-02-20T14:42:37Z,2022-02-20T14:42:37Z,1,APPROVED,1.3802777777777777,1,14,Merged
加入罗宋汤做法,2022-02-20T13:38:55Z,,2022-02-23T12:23:13Z,3,CHANGES_REQUESTED,70.73833333333333,1,7,Closed
Add 家常菜-酸辣土豆丝,2022-02-20T15:50:30Z,2022-02-21T02:20:52Z,2022-02-21T02:20:52Z,1,REVIEW_REQUIRED,10.50611111111111,2,4,Merged
增加腌（肉）的教程,2022-02-20T16:56:01Z,2022-02-21T02:20:04Z,2022-02-21T02:20:04Z,1,APPROVED,9.400833333333333,2,0,Merged
Update 蛋炒饭.md,2022-02-20T20:17:08Z,,2022-02-21T17:17:39Z,4,CHANGES_REQUESTED,21.00861111111111,1,44,Closed
Added 咕噜肉,2022-02-21T03:09:53Z,,2022-02-21T07:21:20Z,3,CHANGES_REQUESTED,4.190833333333333,2,0,Closed
Add 清蒸鲈鱼,2022-02-21T04:34:07Z,2022-02-21T06:55:11Z,2022-02-21T06:55:11Z,2,APPROVED,2.351111111111111,3,0,Merged
Update 炒与煎.md,2022-02-21T06:00:39Z,2022-02-21T07:40:01Z,2022-02-21T07:40:01Z,9,APPROVED,1.656111111111111,1,7,Merged
添加红烧肉的做法,2022-02-21T06:23:44Z,2022-02-21T08:12:40Z,2022-02-21T08:12:40Z,1,APPROVED,1.8155555555555556,4,0,Merged
水煮肉片;,2022-02-21T07:20:19Z,2022-02-22T07:30:26Z,2022-02-22T07:30:26Z,3,APPROVED,24.16861111111111,2,0,Merged
Added 黄瓜炒肉.md,2022-02-21T08:43:45Z,2022-02-21T12:33:15Z,2022-02-21T12:33:15Z,2,APPROVED,3.825,2,0,Merged
家常菜：芹菜叶炒鸡蛋,2022-02-21T11:03:44Z,,2022-02-21T14:54:44Z,1,CHANGES_REQUESTED,3.85,1,20,Closed
feat:(水煮肉片.md): Add file.,2022-02-21T12:47:44Z,,2022-02-22T07:28:43Z,2,CHANGES_REQUESTED,18.683055555555555,3,0,Closed
完善披萨饼皮制作相关信息,2022-02-21T13:40:16Z,,2022-02-22T05:33:40Z,5,CHANGES_REQUESTED,15.89,4,22,Closed
Add “鱼香茄子”,2022-02-21T14:15:38Z,,2022-02-22T12:14:22Z,11,CHANGES_REQUESTED,21.97888888888889,10,8,Closed
new-dish: 芹菜叶炒鸡蛋,2022-02-21T14:57:58Z,,2022-02-23T02:17:42Z,4,CHANGES_REQUESTED,35.32888888888889,2,16,Closed
Update README.md,2022-02-21T14:59:55Z,,2022-03-04T16:13:11Z,1,CHANGES_REQUESTED,265.2211111111111,1,11,Closed
docs: add dish *香干芹菜炒肉* to the recipe,2022-02-21T17:08:59Z,2022-02-22T11:13:21Z,2022-02-22T11:13:21Z,5,CHANGES_REQUESTED,18.072777777777777,3,0,Merged
Update 厨房准备.md,2022-02-22T01:06:53Z,,2022-03-04T16:12:56Z,2,CHANGES_REQUESTED,255.10083333333333,1,7,Closed
上传白菜猪肉炖粉条的做法,2022-02-22T01:43:36Z,2022-02-22T05:03:43Z,2022-02-22T05:03:43Z,1,REVIEW_REQUIRED,3.335277777777778,2,12,Merged
Update 蛋炒饭.md,2022-02-22T02:20:19Z,2022-02-22T05:02:29Z,2022-02-22T05:02:29Z,1,APPROVED,2.702777777777778,1,13,Merged
chore: 添加油温判断技巧,2022-02-22T02:51:26Z,2022-02-22T05:00:49Z,2022-02-22T05:00:49Z,1,APPROVED,2.156388888888889,2,0,Merged
Added 杨枝甘露,2022-02-22T03:10:50Z,2022-02-22T04:57:56Z,2022-02-22T04:57:56Z,3,APPROVED,1.785,2,0,Merged
Update 焯水.md,2022-02-22T03:51:34Z,2022-02-22T04:57:19Z,2022-02-22T04:57:19Z,1,APPROVED,1.0958333333333334,1,7,Merged
Add 水煮肉片,2022-02-22T05:15:29Z,,2022-02-24T04:00:54Z,1,CHANGES_REQUESTED,46.75694444444444,4,0,Closed
2/22 feat: 宫保鸡丁,2022-02-22T06:40:54Z,,2022-02-22T16:02:36Z,1,CHANGES_REQUESTED,9.361666666666666,3,9,Closed
add 海绵蛋糕,2022-02-22T06:45:28Z,,2022-03-19T12:46:01Z,7,CHANGES_REQUESTED,606.0091666666667,9,21,Closed
Create 自制水饺.md,2022-02-22T06:45:36Z,2022-02-22T09:46:04Z,2022-02-22T09:46:05Z,3,CHANGES_REQUESTED,3.0077777777777777,1,42,Merged
Update 回锅肉.md,2022-02-22T07:13:29Z,,2022-09-02T04:43:49Z,6,REVIEW_REQUIRED,4605.5055555555555,0,0,Closed
Create 香菇滑鸡,2022-02-22T07:20:29Z,2022-02-22T08:21:52Z,2022-02-22T08:21:52Z,5,APPROVED,1.0230555555555556,3,19,Merged
Create 咖喱炒蟹.md,2022-02-22T07:25:23Z,2022-02-22T11:31:31Z,2022-02-22T11:31:31Z,4,REVIEW_REQUIRED,4.102222222222222,2,0,Merged
Create 家常菜/菠菜炒鸡蛋 汤与粥/昂刺鱼豆腐汤,2022-02-22T07:32:41Z,2022-02-22T10:37:04Z,2022-02-22T10:37:04Z,4,APPROVED,3.0730555555555554,7,0,Merged
Create 家常菜/血浆鸭,2022-02-22T08:15:00Z,2022-02-22T10:03:36Z,2022-02-22T10:03:36Z,9,APPROVED,1.81,4,24,Merged
feat: 新增半成品蛋挞的做法,2022-02-22T08:42:44Z,,2022-02-22T13:44:01Z,1,CHANGES_REQUESTED,5.021388888888889,1,8,Closed
增加紫菜蛋花汤,2022-02-22T08:56:41Z,2022-02-22T10:08:15Z,2022-02-22T10:08:15Z,5,REVIEW_REQUIRED,1.1927777777777777,2,450,Merged
增加红烧可乐鸡翅做法,2022-02-22T09:07:56Z,2022-04-12T12:56:41Z,2022-04-12T12:56:41Z,3,CHANGES_REQUESTED,1179.8125,3,381,Merged
add 手工饺子.md,2022-02-22T09:23:22Z,,2022-02-22T11:51:21Z,1,CHANGES_REQUESTED,2.466388888888889,2,499,Closed
添加调料计量技巧,2022-02-22T10:00:52Z,,2022-03-04T18:26:56Z,1,CHANGES_REQUESTED,248.43444444444444,2,501,Closed
create: 上汤娃娃菜,2022-02-22T10:01:18Z,2022-02-23T07:08:35Z,2022-02-23T07:08:35Z,6,REVIEW_REQUIRED,21.121388888888887,3,501,Merged
增加了一个关于炒糖色的文档,2022-02-22T10:13:31Z,2022-02-22T11:34:35Z,2022-02-22T11:34:35Z,9,CHANGES_REQUESTED,1.3511111111111112,4,501,Merged
建议：在模板中提升部分词汇的描述精度,2022-02-22T10:28:15Z,,2022-02-23T05:10:46Z,2,CHANGES_REQUESTED,18.70861111111111,1,516,Closed
feat：醋溜炸蛋,2022-02-22T11:01:08Z,,2023-04-06T04:19:34Z,4,CHANGES_REQUESTED,9785.307222222222,3,584,Closed
新增炒馍,2022-02-22T11:20:00Z,2022-02-22T13:03:50Z,2022-02-22T13:03:50Z,3,APPROVED,1.7305555555555556,2,490,Merged
Create 手抓饼.md,2022-02-22T11:52:49Z,,2022-05-16T08:38:53Z,5,CHANGES_REQUESTED,1988.7677777777778,1,501,Closed
Update README.md,2022-02-22T11:53:16Z,,2022-03-04T18:25:53Z,1,CHANGES_REQUESTED,246.54361111111112,1,501,Closed
烤蛋挞.md,2022-02-22T12:59:41Z,,2022-02-22T15:03:41Z,6,CHANGES_REQUESTED,2.066666666666667,2,455,Closed
feat:增加鱼香茄子的做法,2022-02-22T13:12:48Z,2022-02-23T12:24:11Z,2022-02-23T12:24:11Z,7,REVIEW_REQUIRED,23.189722222222223,9,32,Merged
feat: 新增懒人蛋挞的做法,2022-02-22T14:12:26Z,2022-02-24T04:15:45Z,2022-02-24T04:15:45Z,5,CHANGES_REQUESTED,38.055277777777775,3,670,Merged
添加红烧日本豆腐做法,2022-02-22T15:01:46Z,,2023-05-13T15:34:42Z,3,CHANGES_REQUESTED,10680.548888888889,0,670,Closed
添加烤蛋挞,2022-02-22T15:02:22Z,2022-02-22T16:15:19Z,2022-02-22T16:15:19Z,3,CHANGES_REQUESTED,1.2158333333333333,3,670,Merged
feat(drink): 金酒特调,2022-02-22T15:41:49Z,2022-02-23T18:06:23Z,2022-02-23T18:06:23Z,2,APPROVED,26.409444444444443,5,670,Merged
添加西红柿土豆炖牛肉,2022-02-22T15:59:13Z,2022-02-23T04:57:45Z,2022-02-23T04:57:45Z,2,APPROVED,12.975555555555555,3,670,Merged
feat: 宫保鸡丁,2022-02-22T16:21:45Z,2022-02-23T06:51:27Z,2022-02-23T06:51:27Z,1,REVIEW_REQUIRED,14.495,3,632,Merged
